contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date
IWM210305C00204000,2021-03-01 19:51:19,204.0,22.19,22.43,22.55,call,2021-03-05
IWM210305C00205000,2021-02-26 20:56:26,205.0,21.22,21.47,15.17,call,2021-03-05
IWM210305C00206000,2021-03-01 19:50:59,206.0,20.28,20.51,20.63,call,2021-03-05
IWM210305C00207000,2021-03-01 19:23:02,207.0,19.27,19.5,19.18,call,2021-03-05
IWM210305C00207500,2021-02-26 15:17:10,207.5,18.78,19.03,11.5,call,2021-03-05
IWM210305C00208000,2021-03-01 16:10:08,208.0,18.29,18.57,17.08,call,2021-03-05
IWM210305C00209000,2021-03-01 20:29:26,209.0,17.34,17.6,17.45,call,2021-03-05
IWM210305C00210000,2021-03-01 20:44:27,210.0,16.38,16.63,16.5,call,2021-03-05
IWM210305C00211000,2021-02-26 20:17:24,211.0,15.48,15.68,15.22,call,2021-03-05
IWM210305C00212000,2021-03-01 21:06:41,212.0,14.53,14.74,14.66,call,2021-03-05
IWM210305C00212500,2021-03-01 16:19:18,212.5,14.03,14.3,13.2,call,2021-03-05
IWM210305C00213000,2021-03-01 17:41:41,213.0,13.59,13.81,12.48,call,2021-03-05
IWM210305C00214000,2021-03-01 21:06:41,214.0,12.66,12.89,12.83,call,2021-03-05
IWM210305C00215000,2021-03-01 21:06:41,215.0,11.82,12.04,11.9,call,2021-03-05
IWM210305C00216000,2021-03-01 19:13:44,216.0,10.87,11.11,10.92,call,2021-03-05
IWM210305C00217000,2021-03-01 20:25:10,217.0,10.0,10.23,9.82,call,2021-03-05
IWM210305C00217500,2021-03-01 15:40:18,217.5,9.57,9.8,8.22,call,2021-03-05
IWM210305C00218000,2021-03-01 20:45:18,218.0,9.14,9.38,9.23,call,2021-03-05
IWM210305C00219000,2021-03-01 20:58:03,219.0,8.29,8.52,8.1,call,2021-03-05
IWM210305C00220000,2021-03-01 21:14:44,220.0,7.51,7.71,7.61,call,2021-03-05
IWM210305C00221000,2021-03-01 20:41:24,221.0,6.68,6.92,6.73,call,2021-03-05
IWM210305C00222000,2021-03-01 21:11:09,222.0,5.94,6.13,6.14,call,2021-03-05
IWM210305C00222500,2021-03-01 21:02:49,222.5,5.57,5.75,5.65,call,2021-03-05
IWM210305C00223000,2021-03-01 21:12:09,223.0,5.2,5.38,5.43,call,2021-03-05
IWM210305C00224000,2021-03-01 21:11:09,224.0,4.52,4.67,4.69,call,2021-03-05
IWM210305C00225000,2021-03-01 21:14:00,225.0,3.85,4.0,3.98,call,2021-03-05
IWM210305C00226000,2021-03-01 21:14:00,226.0,3.23,3.37,3.35,call,2021-03-05
IWM210305C00227000,2021-03-01 21:13:10,227.0,2.66,2.78,2.79,call,2021-03-05
IWM210305C00227500,2021-03-01 21:03:32,227.5,2.4,2.51,2.49,call,2021-03-05
IWM210305C00228000,2021-03-01 21:07:35,228.0,2.15,2.26,2.24,call,2021-03-05
IWM210305C00229000,2021-03-01 21:14:20,229.0,1.7,1.81,1.81,call,2021-03-05
IWM210305C00230000,2021-03-01 21:14:38,230.0,1.32,1.42,1.4,call,2021-03-05
IWM210305C00231000,2021-03-01 21:12:04,231.0,0.99,1.08,1.09,call,2021-03-05
IWM210305C00232000,2021-03-01 21:12:04,232.0,0.76,0.8,0.82,call,2021-03-05
IWM210305C00232500,2021-03-01 20:45:34,232.5,0.63,0.69,0.65,call,2021-03-05
IWM210305C00233000,2021-03-01 21:07:39,233.0,0.53,0.59,0.57,call,2021-03-05
