contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date
TSLA210305C00620000,2021-03-02 20:44:32,620.0,68.7,70.1,70.75,call,2021-03-05
TSLA210305C00625000,2021-03-02 20:43:23,625.0,64.0,65.3,64.5,call,2021-03-05
TSLA210305C00630000,2021-03-02 20:59:01,630.0,59.5,60.9,61.0,call,2021-03-05
TSLA210305C00635000,2021-03-02 20:24:36,635.0,55.0,56.2,57.0,call,2021-03-05
TSLA210305C00640000,2021-03-02 20:47:54,640.0,50.6,51.9,52.06,call,2021-03-05
TSLA210305C00645000,2021-03-02 20:47:54,645.0,46.4,47.6,48.0,call,2021-03-05
TSLA210305C00650000,2021-03-02 20:54:57,650.0,42.2,43.45,43.9,call,2021-03-05
TSLA210305C00655000,2021-03-02 20:41:43,655.0,38.2,39.3,39.65,call,2021-03-05
TSLA210305C00660000,2021-03-02 20:46:38,660.0,34.3,35.45,35.9,call,2021-03-05
TSLA210305C00665000,2021-03-02 20:58:09,665.0,30.65,31.65,32.0,call,2021-03-05
TSLA210305C00670000,2021-03-02 20:59:22,670.0,27.15,28.15,28.7,call,2021-03-05
TSLA210305C00675000,2021-03-02 20:57:17,675.0,23.9,24.8,24.7,call,2021-03-05
TSLA210305C00680000,2021-03-02 20:58:09,680.0,20.9,21.7,21.4,call,2021-03-05
TSLA210305C00685000,2021-03-02 20:59:36,685.0,18.1,18.85,18.5,call,2021-03-05
TSLA210305C00690000,2021-03-02 20:59:33,690.0,16.0,16.25,16.0,call,2021-03-05
TSLA210305C00695000,2021-03-02 20:59:55,695.0,13.3,13.8,13.5,call,2021-03-05
TSLA210305C00700000,2021-03-02 20:59:39,700.0,11.25,11.65,11.53,call,2021-03-05
TSLA210305C00702500,2021-03-02 20:57:24,702.5,10.2,10.55,10.72,call,2021-03-05
TSLA210305C00705000,2021-03-02 20:59:56,705.0,9.25,9.95,10.0,call,2021-03-05
TSLA210305C00707500,2021-03-02 20:56:18,707.5,8.45,8.85,8.78,call,2021-03-05
TSLA210305C00710000,2021-03-02 20:59:55,710.0,7.75,8.2,8.0,call,2021-03-05
TSLA210305C00712500,2021-03-02 20:59:27,712.5,7.15,7.5,7.55,call,2021-03-05
TSLA210305C00715000,2021-03-02 20:59:52,715.0,6.25,6.85,6.61,call,2021-03-05
TSLA210305C00717500,2021-03-02 20:58:55,717.5,5.8,6.25,6.0,call,2021-03-05
TSLA210305C00720000,2021-03-02 20:59:58,720.0,5.15,5.6,5.4,call,2021-03-05
TSLA210305C00722500,2021-03-02 20:58:34,722.5,4.6,5.15,4.95,call,2021-03-05
TSLA210305C00725000,2021-03-02 20:59:51,725.0,4.3,4.65,4.48,call,2021-03-05
TSLA210305C00727500,2021-03-02 20:54:45,727.5,3.65,4.2,3.9,call,2021-03-05
TSLA210305C00730000,2021-03-02 20:59:41,730.0,3.5,3.8,3.6,call,2021-03-05
TSLA210305C00732500,2021-03-02 20:59:18,732.5,3.15,3.45,3.35,call,2021-03-05
TSLA210305C00735000,2021-03-02 20:59:25,735.0,2.7,3.05,3.05,call,2021-03-05
TSLA210305C00737500,2021-03-02 20:59:35,737.5,2.38,2.87,2.77,call,2021-03-05
TSLA210305C00740000,2021-03-02 20:59:47,740.0,2.26,2.47,2.4,call,2021-03-05
