contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date
AAPL210305C00110000,2021-03-03 20:58:58,110.0,12.0,12.5,12.2,call,2021-03-05
AAPL210305C00111000,2021-02-26 20:59:45,111.0,11.05,11.55,15.2,call,2021-03-05
AAPL210305C00112000,2021-03-03 20:15:26,112.0,10.05,10.55,10.55,call,2021-03-05
AAPL210305C00113000,2021-03-03 20:26:02,113.0,8.85,9.55,9.35,call,2021-03-05
AAPL210305C00114000,2021-03-03 17:24:11,114.0,8.2,8.6,8.7,call,2021-03-05
AAPL210305C00115000,2021-03-03 20:11:52,115.0,7.25,7.4,8.0,call,2021-03-05
AAPL210305C00116000,2021-03-03 19:16:04,116.0,6.3,6.5,7.05,call,2021-03-05
AAPL210305C00117000,2021-03-03 20:49:25,117.0,5.35,5.5,5.45,call,2021-03-05
AAPL210305C00118000,2021-03-03 20:57:44,118.0,4.5,4.7,4.85,call,2021-03-05
AAPL210305C00119000,2021-03-03 20:56:35,119.0,3.6,3.85,3.7,call,2021-03-05
AAPL210305C00120000,2021-03-03 20:59:42,120.0,2.9,3.0,2.9,call,2021-03-05
AAPL210305C00121000,2021-03-03 20:59:24,121.0,2.21,2.3,2.22,call,2021-03-05
AAPL210305C00122000,2021-03-03 20:59:34,122.0,1.63,1.69,1.66,call,2021-03-05
AAPL210305C00123000,2021-03-03 20:59:34,123.0,1.14,1.24,1.15,call,2021-03-05
AAPL210305C00124000,2021-03-03 20:59:45,124.0,0.76,0.8,0.79,call,2021-03-05
AAPL210305C00125000,2021-03-03 20:59:56,125.0,0.49,0.53,0.5,call,2021-03-05
AAPL210305C00126000,2021-03-03 20:59:40,126.0,0.3,0.33,0.31,call,2021-03-05
AAPL210305C00127000,2021-03-03 20:59:56,127.0,0.19,0.2,0.19,call,2021-03-05
AAPL210305C00128000,2021-03-03 20:59:35,128.0,0.12,0.13,0.13,call,2021-03-05
AAPL210305C00129000,2021-03-03 20:59:37,129.0,0.08,0.09,0.09,call,2021-03-05
AAPL210305C00130000,2021-03-03 20:59:43,130.0,0.05,0.06,0.06,call,2021-03-05
AAPL210305C00131000,2021-03-03 20:59:09,131.0,0.04,0.05,0.05,call,2021-03-05
AAPL210305C00132000,2021-03-03 20:59:46,132.0,0.03,0.04,0.03,call,2021-03-05
AAPL210305C00133000,2021-03-03 20:57:25,133.0,0.02,0.03,0.02,call,2021-03-05
AAPL210305C00134000,2021-03-03 20:57:55,134.0,0.01,0.02,0.02,call,2021-03-05
AAPL210305P00110000,2021-03-03 20:58:14,110.0,0.06,0.09,0.08,put,2021-03-05
AAPL210305P00111000,2021-03-03 20:59:54,111.0,0.08,0.1,0.08,put,2021-03-05
AAPL210305P00112000,2021-03-03 20:41:29,112.0,0.09,0.12,0.1,put,2021-03-05
AAPL210305P00113000,2021-03-03 20:58:44,113.0,0.12,0.15,0.12,put,2021-03-05
AAPL210305P00114000,2021-03-03 20:54:59,114.0,0.12,0.17,0.15,put,2021-03-05
AAPL210305P00115000,2021-03-03 20:59:57,115.0,0.19,0.21,0.19,put,2021-03-05
AAPL210305P00116000,2021-03-03 20:59:33,116.0,0.26,0.27,0.26,put,2021-03-05
AAPL210305P00117000,2021-03-03 20:59:33,117.0,0.28,0.35,0.34,put,2021-03-05
AAPL210305P00118000,2021-03-03 20:59:55,118.0,0.45,0.47,0.46,put,2021-03-05
AAPL210305P00119000,2021-03-03 20:59:55,119.0,0.6,0.64,0.65,put,2021-03-05
