contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date
BAC210305C00033000,2021-03-03 20:38:39,33.0,3.35,3.6,3.57,call,2021-03-05
BAC210305C00033500,2021-03-03 20:38:39,33.5,2.88,3.0,3.1,call,2021-03-05
BAC210305C00034000,2021-03-03 20:58:46,34.0,2.38,2.53,2.45,call,2021-03-05
BAC210305C00034500,2021-03-03 20:43:45,34.5,1.87,1.99,2.16,call,2021-03-05
BAC210305C00035000,2021-03-03 20:58:46,35.0,1.39,1.51,1.5,call,2021-03-05
BAC210305C00035500,2021-03-03 20:35:23,35.5,0.82,1.06,1.02,call,2021-03-05
BAC210305C00036000,2021-03-03 20:59:10,36.0,0.51,0.55,0.55,call,2021-03-05
BAC210305C00036500,2021-03-03 20:57:30,36.5,0.26,0.29,0.28,call,2021-03-05
BAC210305C00037000,2021-03-03 20:59:54,37.0,0.12,0.15,0.15,call,2021-03-05
BAC210305C00037500,2021-03-03 20:59:50,37.5,0.06,0.07,0.06,call,2021-03-05
BAC210305C00038000,2021-03-03 20:53:45,38.0,0.03,0.05,0.03,call,2021-03-05
BAC210305C00038500,2021-03-03 20:44:34,38.5,0.02,0.04,0.03,call,2021-03-05
BAC210305C00039000,2021-03-03 19:26:41,39.0,0.01,0.02,0.02,call,2021-03-05
BAC210305C00040000,2021-03-03 20:28:07,40.0,0.01,0.02,0.02,call,2021-03-05
BAC210305P00033000,2021-03-03 20:08:26,33.0,0.01,0.02,0.01,put,2021-03-05
BAC210305P00033500,2021-03-03 20:24:43,33.5,0.01,0.02,0.02,put,2021-03-05
BAC210305P00034000,2021-03-03 20:31:21,34.0,0.02,0.04,0.03,put,2021-03-05
BAC210305P00034500,2021-03-03 20:57:44,34.5,0.03,0.05,0.04,put,2021-03-05
BAC210305P00035000,2021-03-03 20:57:23,35.0,0.08,0.09,0.08,put,2021-03-05
BAC210305P00035500,2021-03-03 20:59:31,35.5,0.15,0.16,0.16,put,2021-03-05
BAC210305P00036000,2021-03-03 20:59:31,36.0,0.28,0.29,0.27,put,2021-03-05
BAC210305P00036500,2021-03-03 20:59:54,36.5,0.53,0.55,0.53,put,2021-03-05
BAC210305P00037000,2021-03-03 20:47:08,37.0,0.88,0.92,0.87,put,2021-03-05
BAC210305P00037500,2021-03-03 20:39:54,37.5,1.18,1.45,1.18,put,2021-03-05
BAC210305P00038000,2021-03-03 18:17:23,38.0,1.55,1.84,1.61,put,2021-03-05
BAC210305P00038500,2021-03-03 20:38:18,38.5,2.09,2.32,2.14,put,2021-03-05
BAC210305P00039000,2021-03-02 14:37:56,39.0,2.57,2.88,2.39,put,2021-03-05
BAC210305P00040000,2021-03-03 16:22:34,40.0,3.65,3.85,3.33,put,2021-03-05
BAC210312C00033000,2021-03-03 20:41:25,33.0,3.35,3.55,3.65,call,2021-03-12
BAC210312C00033500,2021-03-03 19:35:30,33.5,2.85,3.1,3.0,call,2021-03-12
BAC210312C00034000,2021-03-03 20:41:50,34.0,2.38,2.64,2.5,call,2021-03-12
BAC210312C00034500,2021-03-03 20:56:02,34.5,1.91,2.08,2.07,call,2021-03-12
BAC210312C00035000,2021-03-03 20:39:56,35.0,1.52,1.62,1.7,call,2021-03-12
BAC210312C00035500,2021-03-03 20:39:09,35.5,1.17,1.22,1.31,call,2021-03-12
BAC210312C00036000,2021-03-03 20:30:19,36.0,0.86,0.92,1.02,call,2021-03-12
BAC210312C00036500,2021-03-03 20:58:17,36.5,0.62,0.67,0.66,call,2021-03-12
BAC210312C00037000,2021-03-03 20:59:12,37.0,0.43,0.47,0.46,call,2021-03-12
BAC210312C00038000,2021-03-03 20:59:35,38.0,0.2,0.22,0.22,call,2021-03-12
BAC210312C00038500,2021-03-03 20:57:44,38.5,0.13,0.15,0.15,call,2021-03-12
BAC210312C00039500,2021-03-03 20:58:17,39.5,0.06,0.07,0.07,call,2021-03-12
BAC210312C00040000,2021-03-03 20:22:50,40.0,0.05,0.06,0.06,call,2021-03-12
BAC210312P00033000,2021-03-03 20:35:06,33.0,0.06,0.09,0.06,put,2021-03-12
BAC210312P00033500,2021-03-03 20:32:28,33.5,0.09,0.11,0.09,put,2021-03-12
BAC210312P00034000,2021-03-03 20:58:48,34.0,0.14,0.16,0.14,put,2021-03-12
BAC210312P00034500,2021-03-03 20:35:03,34.5,0.2,0.22,0.2,put,2021-03-12
BAC210312P00035000,2021-03-03 20:57:32,35.0,0.29,0.33,0.3,put,2021-03-12
BAC210312P00035500,2021-03-03 20:59:37,35.5,0.44,0.48,0.43,put,2021-03-12
BAC210312P00036000,2021-03-03 20:58:10,36.0,0.62,0.66,0.59,put,2021-03-12
BAC210312P00036500,2021-03-03 20:59:32,36.5,0.88,0.92,0.88,put,2021-03-12
BAC210312P00037000,2021-03-03 20:57:04,37.0,1.19,1.24,1.14,put,2021-03-12
BAC210312P00038000,2021-03-03 20:16:13,38.0,1.92,2.0,1.95,put,2021-03-12
BAC210312P00038500,2021-03-03 17:42:17,38.5,2.22,2.47,1.99,put,2021-03-12
BAC210312P00039500,2021-02-25 20:10:11,39.5,3.2,3.4,3.25,put,2021-03-12
BAC210319C00033000,2021-03-03 20:24:08,33.0,3.35,3.55,3.67,call,2021-03-19
BAC210319C00033500,2021-03-03 19:57:11,33.5,2.91,3.1,3.35,call,2021-03-19
BAC210319C00034000,2021-03-03 20:54:03,34.0,2.51,2.59,2.57,call,2021-03-19
BAC210319C00034500,2021-03-03 20:41:50,34.5,2.12,2.19,2.3,call,2021-03-19
BAC210319C00035000,2021-03-03 20:59:34,35.0,1.75,1.81,1.8,call,2021-03-19
BAC210319C00035500,2021-03-03 20:56:13,35.5,1.41,1.45,1.51,call,2021-03-19
BAC210319C00036000,2021-03-03 20:46:04,36.0,1.12,1.16,1.16,call,2021-03-19
