contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date
GE210305C00012500,2021-03-03 20:57:03,12.5,0.92,0.99,0.99,call,2021-03-05
GE210305C00013000,2021-03-03 20:59:45,13.0,0.46,0.5,0.49,call,2021-03-05
GE210305C00013500,2021-03-03 20:59:35,13.5,0.15,0.16,0.15,call,2021-03-05
GE210305C00014000,2021-03-03 20:59:41,14.0,0.05,0.06,0.05,call,2021-03-05
GE210305C00014500,2021-03-03 20:48:58,14.5,0.02,0.03,0.03,call,2021-03-05
GE210305P00012500,2021-03-03 20:57:02,12.5,0.01,0.02,0.02,put,2021-03-05
GE210305P00013000,2021-03-03 20:59:53,13.0,0.04,0.05,0.05,put,2021-03-05
GE210305P00013500,2021-03-03 20:59:34,13.5,0.21,0.23,0.21,put,2021-03-05
GE210305P00014000,2021-03-03 20:58:41,14.0,0.57,0.63,0.63,put,2021-03-05
GE210305P00014500,2021-03-03 19:39:06,14.5,1.05,1.12,0.98,put,2021-03-05
GE210312C00012500,2021-03-03 20:55:22,12.5,1.0,1.13,1.07,call,2021-03-12
GE210312C00013000,2021-03-03 20:59:07,13.0,0.63,0.66,0.63,call,2021-03-12
GE210312C00013500,2021-03-03 20:59:32,13.5,0.35,0.36,0.36,call,2021-03-12
GE210312C00014000,2021-03-03 20:58:20,14.0,0.18,0.2,0.2,call,2021-03-12
GE210312C00014500,2021-03-03 20:54:04,14.5,0.09,0.11,0.11,call,2021-03-12
GE210312P00012500,2021-03-03 20:54:08,12.5,0.09,0.1,0.1,put,2021-03-12
GE210312P00013000,2021-03-03 20:59:00,13.0,0.2,0.22,0.21,put,2021-03-12
GE210312P00013500,2021-03-03 20:57:34,13.5,0.41,0.44,0.42,put,2021-03-12
GE210312P00014000,2021-03-03 20:59:00,14.0,0.74,0.78,0.76,put,2021-03-12
GE210312P00014500,2021-03-03 20:57:49,14.5,1.12,1.2,1.17,put,2021-03-12
GE210319C00012500,2021-03-03 20:49:47,12.5,1.08,1.13,1.12,call,2021-03-19
GE210319C00013000,2021-03-03 20:59:00,13.0,0.73,0.76,0.76,call,2021-03-19
GE210319C00013500,2021-03-03 20:58:58,13.5,0.46,0.48,0.48,call,2021-03-19
GE210319C00014000,2021-03-03 20:59:00,14.0,0.28,0.29,0.3,call,2021-03-19
GE210319C00014500,2021-03-03 20:49:43,14.5,0.16,0.18,0.19,call,2021-03-19
GE210319P00012500,2021-03-03 20:54:44,12.5,0.17,0.18,0.18,put,2021-03-19
GE210319P00013000,2021-03-03 20:59:23,13.0,0.3,0.32,0.31,put,2021-03-19
GE210319P00013500,2021-03-03 20:58:25,13.5,0.53,0.56,0.53,put,2021-03-19
GE210319P00014000,2021-03-03 20:58:58,14.0,0.83,0.87,0.85,put,2021-03-19
GE210319P00014500,2021-03-03 20:28:01,14.5,1.22,1.27,1.19,put,2021-03-19
GE210326C00012500,2021-03-03 20:44:43,12.5,1.13,1.23,1.22,call,2021-03-26
GE210326C00013000,2021-03-03 20:57:03,13.0,0.82,0.85,0.86,call,2021-03-26
GE210326C00013500,2021-03-03 20:57:56,13.5,0.55,0.59,0.58,call,2021-03-26
GE210326C00014000,2021-03-03 20:55:27,14.0,0.37,0.4,0.4,call,2021-03-26
GE210326C00014500,2021-03-03 20:35:25,14.5,0.26,0.27,0.28,call,2021-03-26
GE210326P00012500,2021-03-03 20:23:29,12.5,0.23,0.26,0.22,put,2021-03-26
GE210326P00013000,2021-03-03 19:56:06,13.0,0.39,0.42,0.37,put,2021-03-26
GE210326P00013500,2021-03-03 19:55:31,13.5,0.62,0.66,0.65,put,2021-03-26
GE210326P00014000,2021-03-03 20:40:12,14.0,0.93,0.98,0.9,put,2021-03-26
GE210326P00014500,2021-03-03 20:40:12,14.5,1.29,1.37,1.26,put,2021-03-26
GE210401C00012500,2021-03-03 19:45:03,12.5,1.18,1.3,1.33,call,2021-04-01
GE210401C00013000,2021-03-03 20:53:34,13.0,0.86,0.93,0.9,call,2021-04-01
GE210401C00013500,2021-03-03 20:59:07,13.5,0.61,0.66,0.64,call,2021-04-01
GE210401C00014000,2021-03-03 20:53:53,14.0,0.42,0.46,0.46,call,2021-04-01
GE210401C00014500,2021-03-03 20:14:47,14.5,0.29,0.31,0.3,call,2021-04-01
GE210401P00012500,2021-03-03 20:56:32,12.5,0.27,0.32,0.29,put,2021-04-01
GE210401P00013000,2021-03-03 19:03:31,13.0,0.44,0.48,0.45,put,2021-04-01
GE210401P00013500,2021-03-02 20:02:00,13.5,0.67,0.71,0.63,put,2021-04-01
GE210401P00014000,2021-03-03 16:22:41,14.0,0.98,1.05,0.98,put,2021-04-01
GE210401P00014500,2021-03-03 16:15:24,14.5,1.32,1.41,1.29,put,2021-04-01
GE210409C00012500,2021-03-03 18:38:19,12.5,1.25,1.38,1.34,call,2021-04-09
GE210409C00013000,2021-03-03 20:38:21,13.0,0.94,1.0,1.03,call,2021-04-09
GE210409C00013500,2021-03-03 20:19:52,13.5,0.69,0.74,0.79,call,2021-04-09
GE210409C00014000,2021-03-03 20:51:39,14.0,0.49,0.54,0.54,call,2021-04-09
GE210409C00014500,2021-03-03 20:51:56,14.5,0.34,0.39,0.38,call,2021-04-09
GE210409P00012500,2021-03-03 20:52:22,12.5,0.33,0.39,0.35,put,2021-04-09
GE210409P00013500,2021-03-03 20:25:30,13.5,0.76,0.8,0.75,put,2021-04-09
GE210416C00013000,2021-03-03 20:59:54,13.0,1.02,1.05,1.03,call,2021-04-16
GE210416C00014000,2021-03-03 20:54:11,14.0,0.57,0.59,0.57,call,2021-04-16
GE210416P00013000,2021-03-03 20:32:52,13.0,0.58,0.6,0.6,put,2021-04-16
GE210416P00014000,2021-03-03 20:18:16,14.0,1.11,1.15,1.12,put,2021-04-16
GE210618C00013000,2021-03-03 20:59:06,13.0,1.5,1.52,1.51,call,2021-06-18
GE210618C00014000,2021-03-03 20:59:08,14.0,1.02,1.08,1.06,call,2021-06-18
GE210618P00013000,2021-03-03 20:49:38,13.0,1.03,1.05,1.02,put,2021-06-18
GE210618P00014000,2021-03-03 20:59:00,14.0,1.58,1.62,1.6,put,2021-06-18
