contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date
MSFT210305C00205000,2021-03-03 15:13:21,205.0,22.05,23.25,24.6,call,2021-03-05
MSFT210305C00207500,2021-03-02 18:27:33,207.5,20.0,20.85,27.72,call,2021-03-05
MSFT210305C00210000,2021-03-03 18:47:48,210.0,17.1,18.3,18.7,call,2021-03-05
MSFT210305C00212500,2021-02-26 19:15:14,212.5,14.6,15.8,16.3,call,2021-03-05
MSFT210305C00215000,2021-03-03 19:16:00,215.0,12.8,13.4,12.95,call,2021-03-05
MSFT210305C00217500,2021-03-03 20:09:36,217.5,9.85,10.8,11.5,call,2021-03-05
MSFT210305C00220000,2021-03-03 20:18:01,220.0,8.0,8.45,8.85,call,2021-03-05
MSFT210305C00222500,2021-03-03 20:54:50,222.5,5.95,6.45,6.2,call,2021-03-05
MSFT210305C00225000,2021-03-03 20:59:01,225.0,3.5,4.3,4.2,call,2021-03-05
MSFT210305C00227500,2021-03-03 20:56:03,227.5,2.44,2.63,2.5,call,2021-03-05
MSFT210305C00230000,2021-03-03 20:59:48,230.0,1.3,1.4,1.33,call,2021-03-05
MSFT210305C00232500,2021-03-03 20:59:43,232.5,0.61,0.73,0.66,call,2021-03-05
MSFT210305C00235000,2021-03-03 20:59:51,235.0,0.28,0.34,0.28,call,2021-03-05
MSFT210305C00237500,2021-03-03 20:58:48,237.5,0.15,0.18,0.16,call,2021-03-05
MSFT210305C00240000,2021-03-03 20:57:28,240.0,0.08,0.09,0.09,call,2021-03-05
MSFT210305C00242500,2021-03-03 20:53:41,242.5,0.05,0.07,0.06,call,2021-03-05
MSFT210305C00245000,2021-03-03 20:45:00,245.0,0.04,0.06,0.04,call,2021-03-05
MSFT210305C00247500,2021-03-03 20:34:07,247.5,0.02,0.04,0.04,call,2021-03-05
MSFT210305C00250000,2021-03-03 20:52:52,250.0,0.02,0.03,0.02,call,2021-03-05
MSFT210305P00205000,2021-03-03 20:56:57,205.0,0.01,0.11,0.1,put,2021-03-05
MSFT210305P00207500,2021-03-03 20:36:50,207.5,0.1,0.28,0.14,put,2021-03-05
MSFT210305P00210000,2021-03-03 20:57:56,210.0,0.11,0.22,0.2,put,2021-03-05
MSFT210305P00212500,2021-03-03 20:55:39,212.5,0.23,0.36,0.24,put,2021-03-05
MSFT210305P00215000,2021-03-03 20:53:49,215.0,0.21,0.4,0.37,put,2021-03-05
MSFT210305P00217500,2021-03-03 20:59:09,217.5,0.33,0.53,0.5,put,2021-03-05
MSFT210305P00220000,2021-03-03 20:56:57,220.0,0.59,0.74,0.69,put,2021-03-05
MSFT210305P00222500,2021-03-03 20:58:24,222.5,0.91,1.2,0.96,put,2021-03-05
MSFT210305P00225000,2021-03-03 20:59:55,225.0,1.32,1.6,1.5,put,2021-03-05
MSFT210305P00227500,2021-03-03 20:58:02,227.5,2.31,2.54,2.33,put,2021-03-05
MSFT210305P00230000,2021-03-03 20:59:43,230.0,3.4,3.95,3.8,put,2021-03-05
MSFT210305P00232500,2021-03-03 20:55:41,232.5,5.45,5.85,5.3,put,2021-03-05
