contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date,time to maturity,implied volatility
AAPL210305C00109000,2021-03-04 19:24:31,109.0,11.0,11.75,11.2,call,2021-03-05,0.0027397260273972603,1.005859375
AAPL210305C00110000,2021-03-04 20:34:45,110.0,10.05,10.65,9.9,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
AAPL210305C00111000,2021-03-04 18:35:08,111.0,9.1,9.75,9.35,call,2021-03-05,0.0027397260273972603,1.0595703125
AAPL210305C00112000,2021-03-04 20:59:20,112.0,8.05,8.75,8.04,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
AAPL210305C00113000,2021-03-04 19:21:37,113.0,6.85,7.5,6.8,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
AAPL210305C00114000,2021-03-04 20:00:00,114.0,6.2,6.55,6.1,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
AAPL210305C00115000,2021-03-04 20:47:16,115.0,5.25,5.75,5.25,call,2021-03-05,0.0027397260273972603,0.57373046875
AAPL210305C00116000,2021-03-04 19:50:35,116.0,4.35,4.65,4.1,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
AAPL210305C00117000,2021-03-04 20:55:09,117.0,3.45,3.85,3.45,call,2021-03-05,0.0027397260273972603,0.528564453125
AAPL210305C00118000,2021-03-04 20:58:51,118.0,2.64,2.88,2.72,call,2021-03-05,0.0027397260273972603,0.5718994140625
AAPL210305C00119000,2021-03-04 20:59:38,119.0,1.94,2.15,1.95,call,2021-03-05,0.0027397260273972603,0.509033203125
AAPL210305C00120000,2021-03-04 20:59:40,120.0,1.33,1.45,1.39,call,2021-03-05,0.0027397260273972603,0.533447265625
AAPL210305C00121000,2021-03-04 20:59:58,121.0,0.8,0.95,0.8,call,2021-03-05,0.0027397260273972603,0.457763671875
AAPL210305C00122000,2021-03-04 20:59:52,122.0,0.48,0.58,0.58,call,2021-03-05,0.0027397260273972603,5.0
AAPL210305C00123000,2021-03-04 20:59:51,123.0,0.26,0.3,0.29,call,2021-03-05,0.0027397260273972603,5.0
AAPL210305C00124000,2021-03-04 20:59:24,124.0,0.14,0.16,0.15,call,2021-03-05,0.0027397260273972603,5.0
AAPL210305C00125000,2021-03-04 20:59:59,125.0,0.07,0.09,0.08,call,2021-03-05,0.0027397260273972603,5.0
AAPL210305C00126000,2021-03-04 20:59:19,126.0,0.04,0.05,0.05,call,2021-03-05,0.0027397260273972603,5.0
AAPL210305C00127000,2021-03-04 20:57:21,127.0,0.02,0.03,0.03,call,2021-03-05,0.0027397260273972603,5.0
AAPL210305C00128000,2021-03-04 20:59:01,128.0,0.02,0.03,0.03,call,2021-03-05,0.0027397260273972603,5.0
AAPL210305C00129000,2021-03-04 20:56:59,129.0,0.01,0.02,0.02,call,2021-03-05,0.0027397260273972603,5.0
AAPL210305C00130000,2021-03-04 20:57:52,130.0,0.01,0.02,0.01,call,2021-03-05,0.0027397260273972603,5.0
AAPL210305C00131000,2021-03-04 20:53:04,131.0,0.01,0.02,0.01,call,2021-03-05,0.0027397260273972603,5.0
AAPL210305C00132000,2021-03-04 20:54:58,132.0,0.01,0.02,0.01,call,2021-03-05,0.0027397260273972603,5.0
AAPL210305P00109000,2021-03-04 20:24:09,109.0,0.01,0.06,0.03,put,2021-03-05,0.0027397260273972603,5.0
AAPL210305P00110000,2021-03-04 20:59:49,110.0,0.04,0.05,0.05,put,2021-03-05,0.0027397260273972603,5.0
AAPL210305P00111000,2021-03-04 20:53:38,111.0,0.03,0.06,0.05,put,2021-03-05,0.0027397260273972603,5.0
AAPL210305P00112000,2021-03-04 20:58:31,112.0,0.03,0.08,0.07,put,2021-03-05,0.0027397260273972603,5.0
AAPL210305P00113000,2021-03-04 20:59:59,113.0,0.04,0.12,0.07,put,2021-03-05,0.0027397260273972603,5.0
AAPL210305P00114000,2021-03-04 20:59:13,114.0,0.12,0.13,0.13,put,2021-03-05,0.0027397260273972603,5.0
AAPL210305P00115000,2021-03-04 20:59:25,115.0,0.11,0.2,0.18,put,2021-03-05,0.0027397260273972603,5.0
AAPL210305P00116000,2021-03-04 20:59:59,116.0,0.18,0.26,0.23,put,2021-03-05,0.0027397260273972603,5.0
AAPL210305P00117000,2021-03-04 20:59:31,117.0,0.33,0.38,0.4,put,2021-03-05,0.0027397260273972603,5.0
AAPL210305P00118000,2021-03-04 20:59:54,118.0,0.46,0.56,0.59,put,2021-03-05,0.0027397260273972603,0.574951171875
AAPL210305P00119000,2021-03-04 20:59:58,119.0,0.69,0.87,0.69,put,2021-03-05,0.0027397260273972603,0.4595947265625
AAPL210305P00120000,2021-03-04 20:59:59,120.0,1.05,1.22,1.22,put,2021-03-05,0.0027397260273972603,0.5206298828125
AAPL210305P00121000,2021-03-04 20:59:57,121.0,1.51,1.73,1.69,put,2021-03-05,0.0027397260273972603,0.4693603515625
AAPL210305P00122000,2021-03-04 20:59:52,122.0,2.09,2.37,2.21,put,2021-03-05,0.0027397260273972603,0.4052734375
AAPL210305P00123000,2021-03-04 20:56:36,123.0,2.83,3.1,3.25,put,2021-03-05,0.0027397260273972603,0.5322265625
AAPL210305P00124000,2021-03-04 20:59:46,124.0,3.65,4.0,3.9,put,2021-03-05,0.0027397260273972603,0.3466796875
AAPL210305P00125000,2021-03-04 20:57:09,125.0,4.65,4.95,5.25,put,2021-03-05,0.0027397260273972603,0.73486328125
AAPL210305P00126000,2021-03-04 20:55:47,126.0,5.4,5.9,6.25,put,2021-03-05,0.0027397260273972603,0.8349609375
AAPL210305P00127000,2021-03-04 20:57:16,127.0,6.6,6.95,7.23,put,2021-03-05,0.0027397260273972603,0.9228515625
AAPL210305P00128000,2021-03-04 20:44:44,128.0,7.6,7.95,7.95,put,2021-03-05,0.0027397260273972603,0.71533203125
AAPL210305P00129000,2021-03-04 20:54:56,129.0,8.6,8.9,9.05,put,2021-03-05,0.0027397260273972603,0.92529296875
AAPL210305P00130000,2021-03-04 20:58:20,130.0,9.35,9.9,9.85,put,2021-03-05,0.0027397260273972603,4.440892098500626e-15
AAPL210305P00131000,2021-03-04 20:54:08,131.0,10.35,11.0,11.09,put,2021-03-05,0.0027397260273972603,1.123046875
AAPL210305P00132000,2021-03-04 20:44:10,132.0,11.3,12.0,12.24,put,2021-03-05,0.0027397260273972603,1.396484375
AAPL210312C00110000,2021-03-04 20:46:28,110.0,10.65,11.15,10.45,call,2021-03-12,0.021917808219178082,0.4290771484375
AAPL210312C00111000,2021-03-04 19:17:39,111.0,9.75,10.25,10.32,call,2021-03-12,0.021917808219178082,0.61004638671875
AAPL210312C00112000,2021-03-04 20:59:28,112.0,8.95,9.35,8.8,call,2021-03-12,0.021917808219178082,0.4510498046875
