contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date,time to maturity,implied volatility
BAC210305C00033000,2021-03-04 20:49:37,33.0,3.4,3.55,3.5,call,2021-03-05,0.0027397260273972603,9.5367431640625e-06
BAC210305C00033500,2021-03-04 16:02:57,33.5,2.86,3.1,2.75,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
BAC210305C00034000,2021-03-04 18:26:38,34.0,2.37,2.77,2.47,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
BAC210305C00034500,2021-03-04 17:42:39,34.5,1.93,2.08,2.04,call,2021-03-05,0.0027397260273972603,0.712890625
BAC210305C00035000,2021-03-04 20:53:53,35.0,1.42,1.6,1.51,call,2021-03-05,0.0027397260273972603,0.4296875
BAC210305C00035500,2021-03-04 20:53:27,35.5,0.97,1.14,1.09,call,2021-03-05,0.0027397260273972603,0.5322265625
BAC210305C00036000,2021-03-04 20:57:06,36.0,0.62,0.7,0.67,call,2021-03-05,0.0027397260273972603,0.4833984375
BAC210305C00036500,2021-03-04 20:59:38,36.5,0.33,0.37,0.34,call,2021-03-05,0.0027397260273972603,0.45654296875
BAC210305C00037000,2021-03-04 20:59:59,37.0,0.17,0.18,0.18,call,2021-03-05,0.0027397260273972603,5.0
BAC210305C00037500,2021-03-04 20:59:19,37.5,0.06,0.08,0.06,call,2021-03-05,0.0027397260273972603,5.0
BAC210305C00038000,2021-03-04 20:59:25,38.0,0.02,0.04,0.03,call,2021-03-05,0.0027397260273972603,5.0
BAC210305C00038500,2021-03-04 19:32:12,38.5,0.0,0.02,0.01,call,2021-03-05,0.0027397260273972603,5.0
BAC210305C00039000,2021-03-04 17:13:18,39.0,0.0,0.01,0.01,call,2021-03-05,0.0027397260273972603,5.0
BAC210305C00040000,2021-03-04 17:40:21,40.0,0.0,0.01,0.01,call,2021-03-05,0.0027397260273972603,5.0
BAC210305P00033000,2021-03-04 20:33:44,33.0,0.0,0.02,0.01,put,2021-03-05,0.0027397260273972603,5.0
BAC210305P00033500,2021-03-04 19:15:19,33.5,0.01,0.02,0.01,put,2021-03-05,0.0027397260273972603,5.0
BAC210305P00034000,2021-03-04 20:53:47,34.0,0.02,0.05,0.03,put,2021-03-05,0.0027397260273972603,5.0
BAC210305P00034500,2021-03-04 20:23:41,34.5,0.02,0.05,0.03,put,2021-03-05,0.0027397260273972603,5.0
BAC210305P00035000,2021-03-04 20:51:39,35.0,0.02,0.06,0.04,put,2021-03-05,0.0027397260273972603,5.0
BAC210305P00035500,2021-03-04 20:59:58,35.5,0.09,0.11,0.11,put,2021-03-05,0.0027397260273972603,5.0
BAC210305P00036000,2021-03-04 20:59:44,36.0,0.17,0.21,0.19,put,2021-03-05,0.0027397260273972603,0.5126953125
BAC210305P00036500,2021-03-04 20:59:46,36.5,0.3,0.38,0.36,put,2021-03-05,0.0027397260273972603,0.48583984375
BAC210305P00037000,2021-03-04 20:52:35,37.0,0.57,0.73,0.61,put,2021-03-05,0.0027397260273972603,0.3955078125
BAC210305P00037500,2021-03-04 19:26:52,37.5,1.02,1.27,1.24,put,2021-03-05,0.0027397260273972603,0.8203125
BAC210305P00038000,2021-03-04 20:40:05,38.0,1.5,1.76,1.52,put,2021-03-05,0.0027397260273972603,0.478515625
BAC210305P00038500,2021-03-04 14:43:25,38.5,1.73,2.33,2.22,put,2021-03-05,0.0027397260273972603,1.11083984375
BAC210305P00039000,2021-03-02 14:37:56,39.0,2.46,2.76,2.74,put,2021-03-05,0.0027397260273972603,1.31103515625
BAC210305P00040000,2021-03-04 20:35:07,40.0,3.45,3.9,3.6,put,2021-03-05,0.0027397260273972603,1.318359375
BAC210312C00033000,2021-03-04 20:26:04,33.0,3.45,3.65,3.4,call,2021-03-12,0.021917808219178082,2.220446049250313e-15
BAC210312C00033500,2021-03-04 20:31:21,33.5,3.0,3.2,3.15,call,2021-03-12,0.021917808219178082,0.482177734375
BAC210312C00034000,2021-03-04 20:50:29,34.0,2.55,2.75,2.72,call,2021-03-12,0.021917808219178082,0.467529296875
BAC210312C00034500,2021-03-04 19:47:15,34.5,2.11,2.25,2.14,call,2021-03-12,0.021917808219178082,0.341796875
BAC210312C00035000,2021-03-04 20:41:42,35.0,1.76,1.83,1.8,call,2021-03-12,0.021917808219178082,0.394287109375
BAC210312C00035500,2021-03-04 20:44:47,35.5,1.37,1.45,1.39,call,2021-03-12,0.021917808219178082,0.362548828125
BAC210312C00036000,2021-03-04 20:59:40,36.0,1.05,1.11,1.04,call,2021-03-12,0.021917808219178082,0.343017578125
BAC210312C00036500,2021-03-04 20:59:42,36.5,0.78,0.83,0.79,call,2021-03-12,0.021917808219178082,0.3704833984375
BAC210312C00037000,2021-03-04 20:59:59,37.0,0.57,0.6,0.57,call,2021-03-12,0.021917808219178082,0.35400390625
BAC210312C00038000,2021-03-04 20:53:20,38.0,0.24,0.29,0.27,call,2021-03-12,0.021917808219178082,0.364990234375
BAC210312C00038500,2021-03-04 20:58:48,38.5,0.16,0.19,0.18,call,2021-03-12,0.021917808219178082,5.0
BAC210312C00039500,2021-03-04 20:58:38,39.5,0.07,0.1,0.08,call,2021-03-12,0.021917808219178082,5.0
BAC210312C00040000,2021-03-04 20:45:52,40.0,0.05,0.07,0.06,call,2021-03-12,0.021917808219178082,5.0
BAC210312P00033000,2021-03-04 20:54:56,33.0,0.07,0.09,0.08,put,2021-03-12,0.021917808219178082,5.0
BAC210312P00033500,2021-03-04 19:30:31,33.5,0.09,0.12,0.13,put,2021-03-12,0.021917808219178082,5.0
BAC210312P00034000,2021-03-04 20:57:55,34.0,0.15,0.17,0.15,put,2021-03-12,0.021917808219178082,5.0
BAC210312P00034500,2021-03-04 20:13:00,34.5,0.2,0.23,0.25,put,2021-03-12,0.021917808219178082,0.438232421875
BAC210312P00035000,2021-03-04 20:52:52,35.0,0.27,0.33,0.3,put,2021-03-12,0.021917808219178082,0.41015625
BAC210312P00035500,2021-03-04 20:57:39,35.5,0.36,0.44,0.4,put,2021-03-12,0.021917808219178082,0.377197265625
BAC210312P00036000,2021-03-04 20:58:01,36.0,0.54,0.61,0.57,put,2021-03-12,0.021917808219178082,0.367431640625
BAC210312P00036500,2021-03-04 20:52:22,36.5,0.76,0.83,0.74,put,2021-03-12,0.021917808219178082,0.3564453125
BAC210312P00037000,2021-03-04 20:00:13,37.0,1.03,1.12,1.27,put,2021-03-12,0.021917808219178082,0.457763671875
BAC210312P00038000,2021-03-04 19:47:18,38.0,1.73,1.84,1.82,put,2021-03-12,0.021917808219178082,0.41259765625
BAC210312P00038500,2021-03-04 14:31:07,38.5,2.13,2.44,2.34,put,2021-03-12,0.021917808219178082,0.4833984375
BAC210312P00039500,2021-02-25 20:10:11,39.5,3.0,3.25,3.62,put,2021-03-12,0.021917808219178082,0.787353515625
BAC210319C00033000,2021-03-04 20:34:28,33.0,3.65,3.75,3.67,call,2021-03-19,0.0410958904109589,0.404052734375
BAC210319C00033500,2021-03-04 16:42:01,33.5,3.15,3.3,2.92,call,2021-03-19,0.0410958904109589,1.1102230246251565e-15
BAC210319C00034000,2021-03-04 20:12:01,34.0,2.71,2.86,2.64,call,2021-03-19,0.0410958904109589,0.2880859375
BAC210319C00034500,2021-03-04 16:17:23,34.5,2.31,2.45,2.44,call,2021-03-19,0.0410958904109589,0.404052734375
BAC210319C00035000,2021-03-04 20:42:43,35.0,1.98,2.06,2.03,call,2021-03-19,0.0410958904109589,0.37841796875
BAC210319C00035500,2021-03-04 20:43:24,35.5,1.63,1.71,1.7,call,2021-03-19,0.0410958904109589,0.3704833984375
BAC210319C00036000,2021-03-04 20:57:57,36.0,1.31,1.39,1.35,call,2021-03-19,0.0410958904109589,0.355224609375
BAC210319C00036500,2021-03-04 20:59:16,36.5,1.04,1.1,1.09,call,2021-03-19,0.0410958904109589,0.3717041015625
BAC210319C00037000,2021-03-04 20:53:34,37.0,0.82,0.87,0.81,call,2021-03-19,0.0410958904109589,0.338134765625
BAC210319C00037500,2021-03-04 20:56:47,37.5,0.63,0.68,0.64,call,2021-03-19,0.0410958904109589,0.3436279296875
BAC210319C00038000,2021-03-04 20:57:08,38.0,0.48,0.51,0.5,call,2021-03-19,0.0410958904109589,0.35888671875
BAC210319C00038500,2021-03-04 20:51:51,38.5,0.36,0.39,0.38,call,2021-03-19,0.0410958904109589,0.362548828125
BAC210319C00039000,2021-03-04 19:45:05,39.0,0.27,0.3,0.29,call,2021-03-19,0.0410958904109589,0.35888671875
BAC210319C00039500,2021-03-04 17:55:18,39.5,0.19,0.21,0.21,call,2021-03-19,0.0410958904109589,0.360107421875
BAC210319C00040000,2021-03-04 20:57:22,40.0,0.14,0.17,0.16,call,2021-03-19,0.0410958904109589,5.0
BAC210319P00033000,2021-03-04 20:52:16,33.0,0.17,0.2,0.19,put,2021-03-19,0.0410958904109589,0.435791015625
BAC210319P00033500,2021-03-04 20:59:45,33.5,0.23,0.27,0.25,put,2021-03-19,0.0410958904109589,0.419921875
BAC210319P00034000,2021-03-04 20:54:56,34.0,0.31,0.34,0.33,put,2021-03-19,0.0410958904109589,0.413818359375
BAC210319P00034500,2021-03-04 19:30:53,34.5,0.4,0.43,0.41,put,2021-03-19,0.0410958904109589,0.408935546875
