contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date,time to maturity,implied volatility
GE210305C00012500,2021-03-04 20:58:22,12.5,1.02,1.18,1.07,call,2021-03-05,0.0027397260273972603,0.3125
GE210305C00013000,2021-03-04 20:58:34,13.0,0.58,0.6,0.6,call,2021-03-05,0.0027397260273972603,0.703125
GE210305C00013500,2021-03-04 20:59:47,13.5,0.19,0.21,0.2,call,2021-03-05,0.0027397260273972603,0.56640625
GE210305C00014000,2021-03-04 20:59:27,14.0,0.05,0.06,0.05,call,2021-03-05,0.0027397260273972603,5.0
GE210305C00014500,2021-03-04 20:57:44,14.5,0.01,0.02,0.01,call,2021-03-05,0.0027397260273972603,5.0
GE210305P00012500,2021-03-04 20:57:04,12.5,0.02,0.03,0.02,put,2021-03-05,0.0027397260273972603,5.0
GE210305P00013000,2021-03-04 20:59:14,13.0,0.03,0.04,0.04,put,2021-03-05,0.0027397260273972603,5.0
GE210305P00013500,2021-03-04 20:59:10,13.5,0.14,0.15,0.15,put,2021-03-05,0.0027397260273972603,0.64453125
GE210305P00014000,2021-03-04 20:48:14,14.0,0.46,0.53,0.5,put,2021-03-05,0.0027397260273972603,0.771484375
GE210305P00014500,2021-03-04 19:00:29,14.5,0.86,1.03,0.96,put,2021-03-05,0.0027397260273972603,0.99609375
GE210312C00012500,2021-03-04 20:39:02,12.5,1.16,1.2,1.18,call,2021-03-12,0.021917808219178082,0.576171875
GE210312C00013000,2021-03-04 20:59:05,13.0,0.78,0.81,0.77,call,2021-03-12,0.021917808219178082,0.53466796875
GE210312C00013500,2021-03-04 20:58:29,13.5,0.47,0.5,0.47,call,2021-03-12,0.021917808219178082,0.5419921875
GE210312C00014000,2021-03-04 20:59:50,14.0,0.28,0.29,0.29,call,2021-03-12,0.021917808219178082,0.56640625
GE210312C00014500,2021-03-04 20:59:10,14.5,0.17,0.18,0.18,call,2021-03-12,0.021917808219178082,0.62744140625
GE210312P00012500,2021-03-04 20:52:06,12.5,0.11,0.13,0.12,put,2021-03-12,0.021917808219178082,0.6103515625
GE210312P00013000,2021-03-04 20:59:39,13.0,0.22,0.24,0.24,put,2021-03-12,0.021917808219178082,0.59814453125
GE210312P00013500,2021-03-04 20:58:29,13.5,0.41,0.44,0.43,put,2021-03-12,0.021917808219178082,0.5908203125
GE210312P00014000,2021-03-04 20:56:58,14.0,0.71,0.74,0.74,put,2021-03-12,0.021917808219178082,0.6005859375
GE210312P00014500,2021-03-04 20:58:29,14.5,1.09,1.14,1.13,put,2021-03-12,0.021917808219178082,0.67626953125
GE210319C00012500,2021-03-04 20:57:00,12.5,1.23,1.27,1.25,call,2021-03-19,0.0410958904109589,0.51513671875
