contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date,time to maturity,implied volatility
IWM210305C00192000,2021-03-03 20:50:10,192.0,21.25,22.01,26.13,call,2021-03-05,0.0027397260273972603,3.1231689453125
IWM210305C00192500,2021-02-26 14:56:32,192.5,20.87,21.52,30.68,call,2021-03-05,0.0027397260273972603,4.31671142578125
IWM210305C00193000,2021-02-18 15:42:06,193.0,20.38,21.02,25.19,call,2021-03-05,0.0027397260273972603,3.0511474609375
IWM210305C00194000,2021-02-25 15:34:55,194.0,19.38,20.03,31.07,call,2021-03-05,0.0027397260273972603,4.622802734375
IWM210305C00195000,2021-03-04 15:46:35,195.0,18.41,19.01,23.09,call,2021-03-05,0.0027397260273972603,2.82989501953125
IWM210305C00196000,2021-03-03 14:42:46,196.0,17.4,18.03,26.49,call,2021-03-05,0.0027397260273972603,3.7933349609375
IWM210305C00197000,2021-03-03 14:42:46,197.0,16.41,17.05,25.51,call,2021-03-05,0.0027397260273972603,3.6981201171875
IWM210305C00198000,2021-03-03 20:50:02,198.0,15.42,16.07,12.15,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
IWM210305C00199000,2021-03-02 19:50:00,199.0,14.52,15.05,19.0,call,2021-03-05,0.0027397260273972603,2.4200439453125
IWM210305C00200000,2021-03-04 15:28:23,200.0,13.56,14.07,11.4,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
IWM210305C00201000,2021-03-04 21:00:31,201.0,12.57,13.11,12.5,call,2021-03-05,0.0027397260273972603,0.79833984375
IWM210305C00202000,2021-03-04 18:03:18,202.0,11.53,12.15,12.6,call,2021-03-05,0.0027397260273972603,1.1785888671875
IWM210305C00202500,2021-03-01 19:08:59,202.5,11.05,11.69,20.15,call,2021-03-05,0.0027397260273972603,3.1890869140625
IWM210305C00203000,2021-03-02 17:42:28,203.0,10.57,11.21,20.76,call,2021-03-05,0.0027397260273972603,3.4039306640625
IWM210305C00204000,2021-03-02 19:40:04,204.0,9.63,10.27,8.31,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
IWM210305C00205000,2021-03-04 16:42:53,205.0,8.73,9.31,8.01,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
IWM210305C00206000,2021-03-04 18:31:51,206.0,7.8,8.42,7.15,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
IWM210305C00207000,2021-03-04 20:43:32,207.0,6.91,7.53,7.0,call,2021-03-05,0.0027397260273972603,0.6524658203125
IWM210305C00207500,2021-03-04 19:29:10,207.5,6.49,7.1,7.0,call,2021-03-05,0.0027397260273972603,0.797119140625
IWM210305C00208000,2021-03-04 20:45:25,208.0,6.06,6.67,6.31,call,2021-03-05,0.0027397260273972603,0.699462890625
IWM210305C00209000,2021-03-03 20:13:38,209.0,5.24,5.85,5.43,call,2021-03-05,0.0027397260273972603,0.653076171875
IWM210305C00210000,2021-03-04 21:05:43,210.0,4.47,5.05,4.9,call,2021-03-05,0.0027397260273972603,0.6732177734375
IWM210305C00211000,2021-03-04 20:36:20,211.0,3.96,4.2,3.91,call,2021-03-05,0.0027397260273972603,0.587158203125
IWM210305C00212000,2021-03-04 20:51:51,212.0,3.21,3.44,2.85,call,2021-03-05,0.0027397260273972603,0.484619140625
IWM210305C00212500,2021-03-04 21:00:57,212.5,2.86,3.11,3.1,call,2021-03-05,0.0027397260273972603,0.614013671875
IWM210305C00213000,2021-03-04 21:13:40,213.0,2.57,2.79,2.86,call,2021-03-05,0.0027397260273972603,0.6298828125
IWM210305C00214000,2021-03-04 21:10:15,214.0,2.02,2.21,2.17,call,2021-03-05,0.0027397260273972603,0.56732177734375
IWM210305C00215000,2021-03-04 21:05:42,215.0,1.51,1.65,1.7,call,2021-03-05,0.0027397260273972603,0.5450439453125
IWM210305C00216000,2021-03-04 21:12:58,216.0,1.09,1.24,1.2,call,2021-03-05,0.0027397260273972603,0.5157470703125
IWM210305C00217000,2021-03-04 21:10:51,217.0,0.75,0.91,0.9,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00217500,2021-03-04 21:01:19,217.5,0.61,0.76,0.76,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00218000,2021-03-04 21:11:17,218.0,0.48,0.63,0.56,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00219000,2021-03-04 21:05:05,219.0,0.31,0.41,0.37,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00220000,2021-03-04 21:14:24,220.0,0.21,0.27,0.24,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00221000,2021-03-04 21:10:50,221.0,0.08,0.18,0.14,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00222000,2021-03-04 21:04:45,222.0,0.07,0.13,0.08,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00222500,2021-03-04 21:05:58,222.5,0.04,0.11,0.08,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00223000,2021-03-04 21:00:56,223.0,0.04,0.1,0.07,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00224000,2021-03-04 21:05:05,224.0,0.03,0.07,0.05,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00225000,2021-03-04 21:13:37,225.0,0.03,0.07,0.03,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00226000,2021-03-04 21:01:35,226.0,0.01,0.02,0.02,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00227000,2021-03-04 21:03:39,227.0,0.0,0.02,0.01,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00227500,2021-03-04 21:07:03,227.5,0.0,0.02,0.01,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00228000,2021-03-04 20:55:37,228.0,0.0,0.03,0.01,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00229000,2021-03-04 20:47:13,229.0,0.0,0.02,0.02,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00230000,2021-03-04 21:00:14,230.0,0.0,0.01,0.01,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00231000,2021-03-04 20:39:13,231.0,0.0,0.02,0.01,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00232000,2021-03-04 20:41:50,232.0,0.0,0.02,0.01,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00232500,2021-03-04 18:05:44,232.5,0.0,0.05,0.01,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00233000,2021-03-04 21:00:14,233.0,0.0,0.02,0.01,call,2021-03-05,0.0027397260273972603,5.0
IWM210305C00234000,2021-03-04 19:04:19,234.0,0.0,0.05,0.01,call,2021-03-05,0.0027397260273972603,5.0
IWM210305P00192000,2021-03-03 16:16:01,192.0,0.0,0.01,0.03,put,2021-03-05,0.0027397260273972603,5.0
IWM210305P00192500,2021-03-02 19:07:41,192.5,0.0,0.08,0.04,put,2021-03-05,0.0027397260273972603,5.0
IWM210305P00193000,2021-03-04 18:56:55,193.0,0.0,0.08,0.02,put,2021-03-05,0.0027397260273972603,5.0
IWM210305P00194000,2021-03-04 18:53:38,194.0,0.0,0.09,0.04,put,2021-03-05,0.0027397260273972603,5.0
IWM210305P00195000,2021-03-04 21:14:12,195.0,0.01,0.09,0.01,put,2021-03-05,0.0027397260273972603,5.0
IWM210305P00196000,2021-03-04 20:53:18,196.0,0.0,0.08,0.02,put,2021-03-05,0.0027397260273972603,5.0
IWM210305P00197000,2021-03-04 21:14:51,197.0,0.01,0.08,0.03,put,2021-03-05,0.0027397260273972603,5.0
IWM210305P00197500,2021-03-04 20:58:02,197.5,0.02,0.08,0.05,put,2021-03-05,0.0027397260273972603,5.0
IWM210305P00198000,2021-03-04 21:13:17,198.0,0.03,0.06,0.06,put,2021-03-05,0.0027397260273972603,5.0
IWM210305P00199000,2021-03-04 19:59:29,199.0,0.06,0.11,0.06,put,2021-03-05,0.0027397260273972603,5.0
