contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date,time to maturity,implied volatility
MSFT210305C00205000,2021-03-04 14:46:09,205.0,20.3,22.4,22.97,call,2021-03-05,0.0027397260273972603,1.6943359375
MSFT210305C00207500,2021-03-02 18:27:33,207.5,18.0,21.05,23.25,call,2021-03-05,0.0027397260273972603,2.4847412109375
MSFT210305C00210000,2021-03-04 18:59:42,210.0,15.55,17.75,16.67,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
MSFT210305C00212500,2021-03-04 18:59:42,212.5,12.8,15.7,12.8,call,2021-03-05,0.0027397260273972603,4.440892098500626e-15
MSFT210305C00215000,2021-03-04 20:57:30,215.0,10.65,12.55,11.8,call,2021-03-05,0.0027397260273972603,0.540771484375
MSFT210305C00217500,2021-03-04 19:48:08,217.5,9.05,10.4,10.5,call,2021-03-05,0.0027397260273972603,0.9429931640625
MSFT210305C00220000,2021-03-04 20:46:05,220.0,6.75,7.75,7.35,call,2021-03-05,0.0027397260273972603,0.5810546875
MSFT210305C00222500,2021-03-04 20:58:25,222.5,4.6,5.4,5.1,call,2021-03-05,0.0027397260273972603,0.5194091796875
MSFT210305C00225000,2021-03-04 20:58:24,225.0,2.74,3.45,3.15,call,2021-03-05,0.0027397260273972603,0.447998046875
MSFT210305C00227500,2021-03-04 20:59:34,227.5,1.37,1.79,1.64,call,2021-03-05,0.0027397260273972603,0.4156494140625
MSFT210305C00230000,2021-03-04 20:59:57,230.0,0.48,0.8,0.65,call,2021-03-05,0.0027397260273972603,5.0
MSFT210305C00232500,2021-03-04 20:59:30,232.5,0.14,0.24,0.19,call,2021-03-05,0.0027397260273972603,5.0
MSFT210305C00235000,2021-03-04 20:57:13,235.0,0.06,0.11,0.06,call,2021-03-05,0.0027397260273972603,5.0
MSFT210305C00237500,2021-03-04 20:59:33,237.5,0.01,0.04,0.02,call,2021-03-05,0.0027397260273972603,5.0
MSFT210305C00240000,2021-03-04 20:52:58,240.0,0.02,0.04,0.03,call,2021-03-05,0.0027397260273972603,5.0
MSFT210305C00242500,2021-03-04 20:54:08,242.5,0.01,0.02,0.01,call,2021-03-05,0.0027397260273972603,5.0
MSFT210305C00245000,2021-03-04 20:58:52,245.0,0.01,0.03,0.02,call,2021-03-05,0.0027397260273972603,5.0
MSFT210305C00247500,2021-03-04 20:44:37,247.5,0.01,0.03,0.01,call,2021-03-05,0.0027397260273972603,5.0
MSFT210305P00205000,2021-03-04 19:59:27,205.0,0.03,0.11,0.04,put,2021-03-05,0.0027397260273972603,5.0
MSFT210305P00207500,2021-03-04 20:42:20,207.5,0.02,0.15,0.08,put,2021-03-05,0.0027397260273972603,5.0
MSFT210305P00210000,2021-03-04 20:59:48,210.0,0.07,0.27,0.1,put,2021-03-05,0.0027397260273972603,5.0
MSFT210305P00212500,2021-03-04 20:55:15,212.5,0.06,0.18,0.07,put,2021-03-05,0.0027397260273972603,5.0
MSFT210305P00215000,2021-03-04 20:46:41,215.0,0.1,0.22,0.2,put,2021-03-05,0.0027397260273972603,5.0
MSFT210305P00217500,2021-03-04 20:48:52,217.5,0.11,0.35,0.26,put,2021-03-05,0.0027397260273972603,5.0
MSFT210305P00220000,2021-03-04 20:57:37,220.0,0.34,0.52,0.46,put,2021-03-05,0.0027397260273972603,5.0
MSFT210305P00222500,2021-03-04 20:53:35,222.5,0.55,0.9,0.76,put,2021-03-05,0.0027397260273972603,5.0
MSFT210305P00225000,2021-03-04 20:59:42,225.0,1.11,1.39,1.4,put,2021-03-05,0.0027397260273972603,0.4473876953125
MSFT210305P00227500,2021-03-04 20:59:28,227.5,1.93,2.46,2.32,put,2021-03-05,0.0027397260273972603,0.39947509765625
MSFT210305P00230000,2021-03-04 20:59:16,230.0,3.4,4.2,4.02,put,2021-03-05,0.0027397260273972603,0.426025390625
MSFT210305P00232500,2021-03-04 20:44:19,232.5,5.4,6.45,6.3,put,2021-03-05,0.0027397260273972603,0.4913330078125
MSFT210305P00235000,2021-03-04 20:59:48,235.0,7.45,8.5,8.57,put,2021-03-05,0.0027397260273972603,0.552978515625
MSFT210305P00237500,2021-03-04 20:59:39,237.5,9.7,11.4,10.45,put,2021-03-05,0.0027397260273972603,4.440892098500626e-15
