contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,put_call,exp_date,time to maturity,implied volatility
TSLA210305C00560000,2021-03-04 20:31:36,560.0,61.95,63.7,61.49,call,2021-03-05,0.0027397260273972603,0.703125
TSLA210305C00570000,2021-03-04 20:58:44,570.0,52.4,54.15,52.7,call,2021-03-05,0.0027397260273972603,1.16455078125
TSLA210305C00580000,2021-03-04 20:59:58,580.0,43.2,44.85,44.0,call,2021-03-05,0.0027397260273972603,1.183013916015625
TSLA210305C00590000,2021-03-04 20:52:32,590.0,34.35,35.55,34.25,call,2021-03-05,0.0027397260273972603,0.99456787109375
TSLA210305C00595000,2021-03-04 20:58:31,595.0,30.0,31.3,30.9,call,2021-03-05,0.0027397260273972603,1.08642578125
TSLA210305C00600000,2021-03-04 20:59:28,600.0,26.2,27.0,27.0,call,2021-03-05,0.0027397260273972603,1.0943603515625
TSLA210305C00605000,2021-03-04 20:59:57,605.0,22.5,23.45,22.77,call,2021-03-05,0.0027397260273972603,1.00067138671875
TSLA210305C00610000,2021-03-04 20:59:44,610.0,18.7,19.75,19.25,call,2021-03-05,0.0027397260273972603,0.964508056640625
TSLA210305C00615000,2021-03-04 20:59:09,615.0,15.7,16.95,16.5,call,2021-03-05,0.0027397260273972603,0.989837646484375
TSLA210305C00620000,2021-03-04 20:59:58,620.0,13.1,13.75,13.55,call,2021-03-05,0.0027397260273972603,0.998992919921875
TSLA210305C00625000,2021-03-04 20:59:51,625.0,10.6,11.2,11.1,call,2021-03-05,0.0027397260273972603,0.97869873046875
TSLA210305C00630000,2021-03-04 20:59:55,630.0,8.4,8.9,8.75,call,2021-03-05,0.0027397260273972603,0.93841552734375
TSLA210305C00635000,2021-03-04 20:59:47,635.0,6.55,7.1,6.8,call,2021-03-05,0.0027397260273972603,0.92987060546875
TSLA210305C00640000,2021-03-04 20:59:55,640.0,5.35,5.7,5.35,call,2021-03-05,0.0027397260273972603,0.960235595703125
TSLA210305C00645000,2021-03-04 20:59:32,645.0,3.85,4.45,4.2,call,2021-03-05,0.0027397260273972603,0.95855712890625
TSLA210305C00650000,2021-03-04 20:59:57,650.0,3.2,3.4,3.2,call,2021-03-05,0.0027397260273972603,5.0
TSLA210305C00655000,2021-03-04 20:59:42,655.0,2.45,2.6,2.4,call,2021-03-05,0.0027397260273972603,5.0
TSLA210305C00660000,2021-03-04 20:59:44,660.0,1.91,2.0,1.96,call,2021-03-05,0.0027397260273972603,5.0
TSLA210305C00665000,2021-03-04 20:59:39,665.0,1.31,1.6,1.45,call,2021-03-05,0.0027397260273972603,5.0
TSLA210305C00670000,2021-03-04 20:59:46,670.0,1.05,1.18,1.17,call,2021-03-05,0.0027397260273972603,5.0
TSLA210305C00675000,2021-03-04 20:59:23,675.0,0.9,0.98,0.9,call,2021-03-05,0.0027397260273972603,5.0
TSLA210305C00680000,2021-03-04 20:59:56,680.0,0.7,0.88,0.73,call,2021-03-05,0.0027397260273972603,5.0
TSLA210305P00560000,2021-03-04 20:59:29,560.0,1.05,1.25,1.16,put,2021-03-05,0.0027397260273972603,5.0
TSLA210305P00570000,2021-03-04 20:58:56,570.0,1.5,1.73,1.59,put,2021-03-05,0.0027397260273972603,5.0
TSLA210305P00580000,2021-03-04 20:59:10,580.0,2.15,2.38,2.29,put,2021-03-05,0.0027397260273972603,5.0
TSLA210305P00590000,2021-03-04 20:58:52,590.0,3.2,3.55,3.6,put,2021-03-05,0.0027397260273972603,1.09619140625
TSLA210305P00595000,2021-03-04 20:59:24,595.0,4.0,4.35,4.3,put,2021-03-05,0.0027397260273972603,1.0723876953125
TSLA210305P00600000,2021-03-04 20:59:58,600.0,5.0,5.4,4.49,put,2021-03-05,0.0027397260273972603,0.987396240234375
TSLA210305P00605000,2021-03-04 20:59:47,605.0,5.85,6.6,6.5,put,2021-03-05,0.0027397260273972603,1.01776123046875
TSLA210305P00610000,2021-03-04 20:59:55,610.0,7.45,8.1,7.8,put,2021-03-05,0.0027397260273972603,0.967254638671875
TSLA210305P00615000,2021-03-04 20:59:35,615.0,9.05,9.95,9.65,put,2021-03-05,0.0027397260273972603,0.960693359375
TSLA210305P00620000,2021-03-04 20:59:58,620.0,11.1,12.05,11.89,put,2021-03-05,0.0027397260273972603,0.985260009765625
TSLA210305P00625000,2021-03-04 20:59:48,625.0,13.5,14.65,14.6,put,2021-03-05,0.0027397260273972603,0.9771728515625
TSLA210305P00630000,2021-03-04 20:59:54,630.0,16.5,17.5,17.66,put,2021-03-05,0.0027397260273972603,0.96923828125
TSLA210305P00635000,2021-03-04 20:59:34,635.0,19.5,20.75,20.8,put,2021-03-05,0.0027397260273972603,0.967559814453125
TSLA210305P00640000,2021-03-04 20:59:25,640.0,23.05,24.25,24.2,put,2021-03-05,0.0027397260273972603,0.986175537109375
TSLA210305P00645000,2021-03-04 20:58:42,645.0,26.8,28.15,28.43,put,2021-03-05,0.0027397260273972603,1.0406494140625
TSLA210305P00650000,2021-03-04 20:59:20,650.0,30.75,32.3,32.15,put,2021-03-05,0.0027397260273972603,0.9881591796875
TSLA210305P00655000,2021-03-04 20:52:04,655.0,34.85,36.55,35.9,put,2021-03-05,0.0027397260273972603,0.939483642578125
TSLA210305P00660000,2021-03-04 20:59:51,660.0,39.4,41.0,40.91,put,2021-03-05,0.0027397260273972603,1.03607177734375
TSLA210305P00665000,2021-03-04 20:56:59,665.0,44.0,45.6,45.0,put,2021-03-05,0.0027397260273972603,1.0260009765625
TSLA210305P00670000,2021-03-04 20:56:59,670.0,48.55,50.2,50.81,put,2021-03-05,0.0027397260273972603,1.21307373046875
TSLA210305P00675000,2021-03-04 20:59:16,675.0,53.4,55.1,54.85,put,2021-03-05,0.0027397260273972603,1.12640380859375
TSLA210305P00680000,2021-03-04 20:57:52,680.0,58.2,59.9,60.3,put,2021-03-05,0.0027397260273972603,1.3134765625
TSLA210312C00560000,2021-03-04 20:50:14,560.0,72.05,73.7,71.15,call,2021-03-12,0.021917808219178082,0.883331298828125
TSLA210312C00570000,2021-03-04 20:56:26,570.0,64.05,65.65,63.34,call,2021-03-12,0.021917808219178082,0.896759033203125
TSLA210312C00580000,2021-03-04 20:51:35,580.0,56.4,58.0,56.65,call,2021-03-12,0.021917808219178082,0.884857177734375
TSLA210312C00590000,2021-03-04 20:56:37,590.0,49.2,50.7,48.58,call,2021-03-12,0.021917808219178082,0.82489013671875
TSLA210312C00595000,2021-03-04 20:52:55,595.0,45.8,47.25,46.4,call,2021-03-12,0.021917808219178082,0.8485031127929688
