contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
BAC210312C00033500,2021-03-05 14:32:40,33.5,3.4,3.55,3.05,call,2021-03-12,0.019178082191780823,0.0
BAC210312C00034000,2021-03-05 20:42:56,34.0,2.95,3.05,2.96,call,2021-03-12,0.019178082191780823,0.3125
BAC210312C00034500,2021-03-05 20:43:53,34.5,2.46,2.57,2.57,call,2021-03-12,0.019178082191780823,0.42236328125
BAC210312C00035000,2021-03-05 20:54:20,35.0,2.04,2.13,1.99,call,2021-03-12,0.019178082191780823,0.2685546875
BAC210312C00035500,2021-03-05 20:52:27,35.5,1.6,1.66,1.62,call,2021-03-12,0.019178082191780823,0.323486328125
BAC210312C00036000,2021-03-05 20:59:47,36.0,1.21,1.27,1.23,call,2021-03-12,0.019178082191780823,0.3240966796875
BAC210312C00036500,2021-03-05 20:56:26,36.5,0.86,0.91,0.84,call,2021-03-12,0.019178082191780823,0.283203125
BAC210312C00037000,2021-03-05 20:59:48,37.0,0.6,0.61,0.61,call,2021-03-12,0.019178082191780823,0.31494140625
BAC210312C00037500,2021-03-05 20:59:30,37.5,0.38,0.42,0.39,call,2021-03-12,0.019178082191780823,0.2978515625
BAC210312C00038000,2021-03-05 20:59:45,38.0,0.25,0.26,0.25,call,2021-03-12,0.019178082191780823,0.318603515625
BAC210312C00038500,2021-03-05 20:59:38,38.5,0.15,0.16,0.16,call,2021-03-12,0.019178082191780823,5.0
BAC210312C00039500,2021-03-05 20:46:55,39.5,0.06,0.08,0.07,call,2021-03-12,0.019178082191780823,5.0
BAC210312C00040000,2021-03-05 20:59:21,40.0,0.04,0.05,0.05,call,2021-03-12,0.019178082191780823,5.0
BAC210312P00033500,2021-03-05 20:55:02,33.5,0.04,0.06,0.05,put,2021-03-12,0.019178082191780823,5.0
BAC210312P00034000,2021-03-05 20:55:37,34.0,0.06,0.07,0.07,put,2021-03-12,0.019178082191780823,5.0
BAC210312P00034500,2021-03-05 20:58:57,34.5,0.09,0.1,0.1,put,2021-03-12,0.019178082191780823,5.0
BAC210312P00035000,2021-03-05 20:56:53,35.0,0.12,0.15,0.14,put,2021-03-12,0.019178082191780823,5.0
BAC210312P00035500,2021-03-05 20:56:21,35.5,0.18,0.21,0.2,put,2021-03-12,0.019178082191780823,0.345458984375
BAC210312P00036000,2021-03-05 20:59:57,36.0,0.28,0.3,0.3,put,2021-03-12,0.019178082191780823,0.333251953125
BAC210312P00036500,2021-03-05 20:55:57,36.5,0.44,0.47,0.46,put,2021-03-12,0.019178082191780823,0.3179931640625
BAC210312P00037000,2021-03-05 20:57:38,37.0,0.64,0.69,0.69,put,2021-03-12,0.019178082191780823,0.328369140625
BAC210312P00037500,2021-03-05 20:38:26,37.5,0.94,0.99,0.97,put,2021-03-12,0.019178082191780823,0.3118896484375
BAC210312P00038000,2021-03-05 20:34:58,38.0,1.29,1.35,1.4,put,2021-03-12,0.019178082191780823,0.3692626953125
BAC210312P00038500,2021-03-05 16:01:59,38.5,1.68,1.81,1.92,put,2021-03-12,0.019178082191780823,0.465087890625
BAC210312P00039500,2021-03-05 15:34:23,39.5,2.48,2.73,2.82,put,2021-03-12,0.019178082191780823,0.5126953125
BAC210312P00040000,2021-03-05 20:51:04,40.0,3.05,3.2,3.1,put,2021-03-12,0.019178082191780823,0.3515625
BAC210319C00033500,2021-03-05 19:36:29,33.5,3.45,3.65,3.51,call,2021-03-19,0.038356164383561646,0.30517578125
BAC210319C00034000,2021-03-05 20:56:52,34.0,3.05,3.15,3.05,call,2021-03-19,0.038356164383561646,0.31982421875
BAC210319C00034500,2021-03-05 19:39:08,34.5,2.65,2.74,2.72,call,2021-03-19,0.038356164383561646,0.37353515625
BAC210319C00035000,2021-03-05 20:56:56,35.0,2.23,2.28,2.25,call,2021-03-19,0.038356164383561646,0.340576171875
