contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
IWM210312C00197000,2021-03-05 15:31:28,197.0,22.64,23.09,22.43,call,2021-03-12,0.010958904109589041,0.7489013671875
IWM210312C00197500,2021-02-18 14:55:10,197.5,22.15,22.6,25.53,call,2021-03-12,0.010958904109589041,1.397705078125
IWM210312C00198000,2021-03-05 16:47:44,198.0,21.69,22.11,13.46,call,2021-03-12,0.010958904109589041,ITM
IWM210312C00199000,2021-03-08 19:45:08,199.0,20.79,21.12,20.84,call,2021-03-12,0.010958904109589041,0.78094482421875
IWM210312C00199500,2021-03-04 17:53:40,199.5,20.24,20.65,16.22,call,2021-03-12,0.010958904109589041,ITM
IWM210312C00200000,2021-03-08 16:50:34,200.0,19.78,20.18,21.77,call,2021-03-12,0.010958904109589041,1.09039306640625
IWM210312C00201000,2021-03-05 15:57:24,201.0,18.81,19.21,12.0,call,2021-03-12,0.010958904109589041,ITM
IWM210312C00202000,2021-03-08 17:13:15,202.0,17.84,18.27,19.14,call,2021-03-12,0.010958904109589041,0.91400146484375
IWM210312C00202500,2021-03-05 18:47:45,202.5,17.37,17.8,13.79,call,2021-03-12,0.010958904109589041,ITM
IWM210312C00203000,2021-03-08 16:03:32,203.0,16.98,17.32,19.19,call,2021-03-12,0.010958904109589041,1.06597900390625
IWM210312C00204000,2021-03-08 14:52:34,204.0,16.05,16.38,15.87,call,2021-03-12,0.010958904109589041,0.6268310546875
IWM210312C00205000,2021-03-08 16:13:49,205.0,15.11,15.44,15.24,call,2021-03-12,0.010958904109589041,0.660400390625
IWM210312C00206000,2021-03-05 17:20:14,206.0,14.21,14.52,8.28,call,2021-03-12,0.010958904109589041,ITM
IWM210312C00207000,2021-03-08 18:28:33,207.0,13.25,13.63,15.23,call,2021-03-12,0.010958904109589041,0.906982421875
IWM210312C00207500,2021-03-05 16:16:20,207.5,12.82,13.2,14.79,call,2021-03-12,0.010958904109589041,0.89111328125
IWM210312C00208000,2021-03-08 17:31:26,208.0,12.39,12.75,12.56,call,2021-03-12,0.010958904109589041,0.62225341796875
IWM210312C00209000,2021-03-08 19:45:20,209.0,11.56,11.86,11.42,call,2021-03-12,0.010958904109589041,0.5670166015625
IWM210312C00210000,2021-03-08 21:10:07,210.0,10.65,11.02,10.43,call,2021-03-12,0.010958904109589041,0.53802490234375
IWM210312C00211000,2021-03-08 20:21:41,211.0,9.88,10.2,9.22,call,2021-03-12,0.010958904109589041,0.47119140625
IWM210312C00212000,2021-03-08 19:42:54,212.0,9.04,9.38,9.5,call,2021-03-12,0.010958904109589041,0.597991943359375
IWM210312C00212500,2021-03-08 19:26:44,212.5,8.62,8.98,8.4,call,2021-03-12,0.010958904109589041,0.5072021484375
IWM210312C00213000,2021-03-08 20:12:25,213.0,8.29,8.59,7.54,call,2021-03-12,0.010958904109589041,0.444183349609375
IWM210312C00214000,2021-03-08 20:53:41,214.0,7.53,7.78,7.57,call,2021-03-12,0.010958904109589041,0.51788330078125
IWM210312C00215000,2021-03-08 21:09:33,215.0,6.79,7.02,6.7,call,2021-03-12,0.010958904109589041,0.4888916015625
IWM210312C00216000,2021-03-08 20:39:05,216.0,6.07,6.31,6.09,call,2021-03-12,0.010958904109589041,0.489501953125
IWM210312C00217000,2021-03-08 21:14:13,217.0,5.39,5.58,5.55,call,2021-03-12,0.010958904109589041,0.498046875
