contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
MSFT210312C00205000,2021-03-08 20:55:06,205.0,21.7,23.25,22.75,call,2021-03-12,0.010958904109589041,0.6005859375
MSFT210312C00207500,2021-03-04 15:50:35,207.5,19.25,21.05,23.57,call,2021-03-12,0.010958904109589041,1.19384765625
MSFT210312C00210000,2021-03-08 20:51:51,210.0,16.9,18.35,17.65,call,2021-03-12,0.010958904109589041,0.445556640625
MSFT210312C00212500,2021-03-08 20:57:43,212.5,14.5,15.95,15.58,call,2021-03-12,0.010958904109589041,0.53192138671875
MSFT210312C00215000,2021-03-08 20:18:00,215.0,12.5,13.55,13.98,call,2021-03-12,0.010958904109589041,0.6085205078125
MSFT210312C00217500,2021-03-08 21:00:00,217.5,10.15,11.25,10.75,call,2021-03-12,0.010958904109589041,0.41229248046875
MSFT210312C00220000,2021-03-08 20:59:20,220.0,8.0,8.85,8.75,call,2021-03-12,0.010958904109589041,0.42236328125
MSFT210312C00222500,2021-03-08 20:36:49,222.5,6.35,7.2,7.85,call,2021-03-12,0.010958904109589041,0.5181884765625
MSFT210312C00225000,2021-03-08 20:59:04,225.0,4.6,5.35,4.9,call,2021-03-12,0.010958904109589041,0.36468505859375
MSFT210312C00227500,2021-03-08 20:59:28,227.5,3.15,3.45,3.3,call,2021-03-12,0.010958904109589041,0.35614013671875
MSFT210312C00230000,2021-03-08 20:59:34,230.0,2.12,2.2,2.12,call,2021-03-12,0.010958904109589041,0.329742431640625
MSFT210312C00232500,2021-03-08 21:00:00,232.5,1.15,1.3,1.24,call,2021-03-12,0.010958904109589041,0.335693359375
MSFT210312C00235000,2021-03-08 20:59:29,235.0,0.66,0.7,0.7,call,2021-03-12,0.010958904109589041,0.31768798828125
MSFT210312C00237500,2021-03-08 20:58:29,237.5,0.3,0.48,0.37,call,2021-03-12,0.010958904109589041,0.3326416015625
MSFT210312C00240000,2021-03-08 20:59:52,240.0,0.2,0.27,0.21,call,2021-03-12,0.010958904109589041,0.3289794921875
MSFT210312C00242500,2021-03-08 20:51:39,242.5,0.13,0.18,0.13,call,2021-03-12,0.010958904109589041,0.3485107421875
MSFT210312C00245000,2021-03-08 20:59:01,245.0,0.09,0.1,0.1,call,2021-03-12,0.010958904109589041,0.3857421875
MSFT210312C00247500,2021-03-08 20:59:49,247.5,0.06,0.09,0.07,call,2021-03-12,0.010958904109589041,0.41259765625
MSFT210312C00250000,2021-03-08 20:59:37,250.0,0.04,0.05,0.04,call,2021-03-12,0.010958904109589041,0.4052734375
MSFT210312P00205000,2021-03-08 20:58:50,205.0,0.05,0.24,0.18,put,2021-03-12,0.010958904109589041,0.5596923828125
MSFT210312P00207500,2021-03-08 20:58:34,207.5,0.08,0.31,0.24,put,2021-03-12,0.010958904109589041,0.5267333984375
MSFT210312P00210000,2021-03-08 20:59:19,210.0,0.28,0.32,0.31,put,2021-03-12,0.010958904109589041,0.498046875
