contractSymbol,lastTradeDate,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
TSLA210312C00510000,2021-03-08 20:59:46,510.0,61.5,63.25,61.95,call,2021-03-12,0.010958904109589041,1.23138427734375
TSLA210312C00520000,2021-03-08 20:52:43,520.0,53.45,54.95,56.9,call,2021-03-12,0.010958904109589041,1.3604736328125
TSLA210312C00530000,2021-03-08 20:57:53,530.0,45.95,47.3,46.67,call,2021-03-12,0.010958904109589041,1.1678314208984375
TSLA210312C00540000,2021-03-08 20:59:35,540.0,38.9,40.4,39.57,call,2021-03-12,0.010958904109589041,1.1186981201171875
TSLA210312C00550000,2021-03-08 20:56:50,550.0,32.55,33.65,32.72,call,2021-03-12,0.010958904109589041,1.0816192626953125
TSLA210312C00560000,2021-03-08 20:59:49,560.0,26.8,27.8,26.55,call,2021-03-12,0.010958904109589041,1.074981689453125
TSLA210312C00570000,2021-03-08 20:59:52,570.0,21.75,22.45,22.0,call,2021-03-12,0.010958904109589041,1.0642242431640625
TSLA210312C00580000,2021-03-08 20:59:33,580.0,17.25,18.1,17.52,call,2021-03-12,0.010958904109589041,1.024932861328125
TSLA210312C00590000,2021-03-08 20:59:39,590.0,13.5,14.25,13.87,call,2021-03-12,0.010958904109589041,1.021728515625
TSLA210312C00595000,2021-03-08 20:59:59,595.0,12.0,13.0,12.6,call,2021-03-12,0.010958904109589041,1.043701171875
TSLA210312C00600000,2021-03-08 20:59:56,600.0,10.65,11.2,11.1,call,2021-03-12,0.010958904109589041,1.055755615234375
TSLA210312C00605000,2021-03-08 20:59:50,605.0,9.25,10.1,9.65,call,2021-03-12,0.010958904109589041,1.0614013671875
TSLA210312C00610000,2021-03-08 20:59:55,610.0,8.15,8.75,8.4,call,2021-03-12,0.010958904109589041,1.03271484375
TSLA210312C00615000,2021-03-08 20:59:44,615.0,7.1,8.05,7.3,call,2021-03-12,0.010958904109589041,1.013641357421875
TSLA210312P00510000,2021-03-08 20:59:58,510.0,9.1,9.5,9.2,put,2021-03-12,0.010958904109589041,1.26190185546875
TSLA210312P00520000,2021-03-08 20:59:57,520.0,10.9,11.45,11.27,put,2021-03-12,0.010958904109589041,1.2493133544921875
TSLA210312P00530000,2021-03-08 20:59:33,530.0,13.3,14.25,13.81,put,2021-03-12,0.010958904109589041,1.182861328125
TSLA210312P00540000,2021-03-08 20:59:35,540.0,16.2,16.5,16.85,put,2021-03-12,0.010958904109589041,1.139984130859375
TSLA210312P00550000,2021-03-08 20:59:59,550.0,19.65,20.35,19.7,put,2021-03-12,0.010958904109589041,1.0895538330078125
TSLA210312P00560000,2021-03-08 20:59:59,560.0,23.6,24.75,24.0,put,2021-03-12,0.010958904109589041,1.103668212890625
TSLA210312P00570000,2021-03-08 20:59:46,570.0,28.5,29.85,29.1,put,2021-03-12,0.010958904109589041,1.076812744140625
TSLA210312P00580000,2021-03-08 20:59:48,580.0,33.85,35.5,35.23,put,2021-03-12,0.010958904109589041,1.0637664794921875
TSLA210312P00590000,2021-03-08 20:58:43,590.0,40.3,41.85,41.25,put,2021-03-12,0.010958904109589041,1.046295166015625
TSLA210312P00595000,2021-03-08 20:59:52,595.0,43.45,45.35,45.03,put,2021-03-12,0.010958904109589041,1.070404052734375
TSLA210312P00600000,2021-03-08 20:59:36,600.0,47.0,48.95,48.85,put,2021-03-12,0.010958904109589041,1.09588623046875
TSLA210312P00605000,2021-03-08 20:57:30,605.0,50.7,52.75,51.95,put,2021-03-12,0.010958904109589041,1.0901641845703125
TSLA210312P00610000,2021-03-08 20:59:33,610.0,54.45,56.5,54.9,put,2021-03-12,0.010958904109589041,1.01226806640625
TSLA210312P00615000,2021-03-08 20:49:36,615.0,58.4,60.55,59.6,put,2021-03-12,0.010958904109589041,1.04339599609375
