contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
AAPL210312C00119000,2021-03-12 20:58:36,20950.0,119.0,1.93,2.13,2.04,call,2021-03-12,0.0,5.0
AAPL210312C00120000,2021-03-12 20:59:52,84373.0,120.0,0.92,1.09,1.01,call,2021-03-12,0.0,5.0
AAPL210312C00121000,2021-03-12 20:59:59,104948.0,121.0,0.08,0.15,0.12,call,2021-03-12,0.0,5.0
AAPL210312C00122000,2021-03-12 20:59:29,68427.0,122.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312C00123000,2021-03-12 20:58:37,26422.0,123.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312C00124000,2021-03-12 20:58:43,13163.0,124.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312C00125000,2021-03-12 20:57:08,23463.0,125.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312C00126000,2021-03-12 20:55:02,8409.0,126.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312C00127000,2021-03-12 20:55:39,2484.0,127.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312C00128000,2021-03-12 20:56:09,3019.0,128.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312C00129000,2021-03-12 20:50:46,2145.0,129.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312C00130000,2021-03-12 20:57:54,1064.0,130.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312C00131000,2021-03-12 20:27:07,112.0,131.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312C00132000,2021-03-12 20:47:38,119.0,132.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312C00133000,2021-03-12 20:48:48,166.0,133.0,0.0,0.01,0.01,call,2021-03-12,0.0,5.0
AAPL210312P00119000,2021-03-12 20:58:10,38859.0,119.0,0.0,0.01,0.24,put,2021-03-12,0.0,5.0
AAPL210312P00120000,2021-03-12 20:57:36,54934.0,120.0,0.0,0.01,0.01,put,2021-03-12,0.0,5.0
AAPL210312P00121000,2021-03-12 20:59:47,22235.0,121.0,0.09,0.1,0.12,put,2021-03-12,0.0,5.0
AAPL210312P00122000,2021-03-12 20:59:38,6784.0,122.0,0.92,1.02,1.04,put,2021-03-12,0.0,5.0
AAPL210312P00123000,2021-03-12 20:59:25,2767.0,123.0,1.83,2.25,2.02,put,2021-03-12,0.0,5.0
AAPL210312P00124000,2021-03-12 20:54:26,1319.0,124.0,2.82,3.05,3.05,put,2021-03-12,0.0,5.0
AAPL210312P00125000,2021-03-12 20:57:57,3850.0,125.0,3.95,4.05,3.95,put,2021-03-12,0.0,5.0
AAPL210312P00126000,2021-03-12 20:54:49,1330.0,126.0,4.8,5.55,5.02,put,2021-03-12,0.0,5.0
AAPL210312P00127000,2021-03-12 20:52:43,613.0,127.0,5.9,6.0,6.17,put,2021-03-12,0.0,5.0
AAPL210312P00128000,2021-03-12 20:49:06,1083.0,128.0,6.15,7.0,7.2,put,2021-03-12,0.0,5.0
AAPL210312P00129000,2021-03-12 20:59:14,363.0,129.0,7.2,8.0,8.0,put,2021-03-12,0.0,5.0
AAPL210312P00130000,2021-03-12 20:51:23,3619.0,130.0,8.9,10.1,9.04,put,2021-03-12,0.0,5.0
AAPL210312P00131000,2021-03-12 20:24:06,201.0,131.0,9.7,10.85,10.0,put,2021-03-12,0.0,5.0
AAPL210312P00132000,2021-03-12 20:49:34,292.0,132.0,10.7,11.85,11.05,put,2021-03-12,0.0,5.0
AAPL210312P00133000,2021-03-12 20:41:05,62.0,133.0,11.2,12.85,12.15,put,2021-03-12,0.0,5.0
AAPL210319C00110000,2021-03-12 20:59:17,790.0,110.0,11.15,11.3,11.2,call,2021-03-19,0.019178082191780823,0.406494140625
AAPL210319C00111000,2021-03-10 20:38:16,,111.0,9.45,9.65,9.82,call,2021-03-19,0.019178082191780823,
AAPL210319C00112000,2021-03-10 20:59:29,,112.0,10.5,10.65,8.56,call,2021-03-19,0.019178082191780823,
AAPL210319C00112500,2021-03-12 19:23:54,56.0,112.5,8.75,8.9,8.75,call,2021-03-19,0.019178082191780823,0.35400390625
AAPL210319C00113000,2021-03-10 19:25:12,215.0,113.0,,7.85,7.9,call,2021-03-19,0.019178082191780823,
AAPL210319C00114000,2021-03-10 20:59:32,,114.0,8.55,8.7,6.9,call,2021-03-19,0.019178082191780823,
AAPL210319C00115000,2021-03-12 20:56:17,1182.0,115.0,6.45,6.6,6.45,call,2021-03-19,0.019178082191780823,0.33233642578125
AAPL210319C00116000,2021-03-12 20:58:10,1188.0,116.0,5.6,5.7,5.65,call,2021-03-19,0.019178082191780823,0.338134765625
AAPL210319C00117000,2021-03-12 20:58:36,1461.0,117.0,4.75,4.9,4.8,call,2021-03-19,0.019178082191780823,0.33203125
AAPL210319C00117500,2021-03-12 20:57:38,1378.0,117.5,4.35,4.5,4.4,call,2021-03-19,0.019178082191780823,0.3350830078125
AAPL210319C00118000,2021-03-12 20:58:43,2786.0,118.0,4.0,4.1,4.0,call,2021-03-19,0.019178082191780823,0.3216552734375
AAPL210319C00119000,2021-03-12 20:59:12,13568.0,119.0,3.3,3.35,3.3,call,2021-03-19,0.019178082191780823,0.30914306640625
AAPL210319C00120000,2021-03-12 20:59:56,29193.0,120.0,2.67,2.7,2.69,call,2021-03-19,0.019178082191780823,0.31036376953125
AAPL210319C00121000,2021-03-12 20:59:59,26732.0,121.0,2.11,2.14,2.13,call,2021-03-19,0.019178082191780823,0.31951904296875
AAPL210319C00122000,2021-03-12 20:59:54,31259.0,122.0,1.63,1.66,1.64,call,2021-03-19,0.019178082191780823,0.30242919921875
AAPL210319C00122500,2021-03-12 20:59:36,6137.0,122.5,1.41,1.44,1.42,call,2021-03-19,0.019178082191780823,0.29754638671875
AAPL210319C00123000,2021-03-12 20:59:44,11158.0,123.0,1.22,1.25,1.24,call,2021-03-19,0.019178082191780823,0.2984619140625
AAPL210319C00124000,2021-03-12 20:59:43,9956.0,124.0,0.91,0.94,0.93,call,2021-03-19,0.019178082191780823,0.30792236328125
AAPL210319C00125000,2021-03-12 20:59:30,26345.0,125.0,0.67,0.68,0.66,call,2021-03-19,0.019178082191780823,0.3009033203125
AAPL210319C00126000,2021-03-12 20:59:49,10970.0,126.0,0.48,0.5,0.48,call,2021-03-19,0.019178082191780823,0.2984619140625
AAPL210319C00127000,2021-03-12 20:59:47,6344.0,127.0,0.34,0.36,0.35,call,2021-03-19,0.019178082191780823,0.30731201171875
AAPL210319C00127500,2021-03-12 20:59:07,1860.0,127.5,0.29,0.31,0.3,call,2021-03-19,0.019178082191780823,0.31494140625
AAPL210319C00128000,2021-03-12 20:58:44,5121.0,128.0,0.25,0.28,0.25,call,2021-03-19,0.019178082191780823,0.32257080078125
