strike,2021-03-19,2021-03-26,2021-04-01,2021-04-16,2021-04-23,2021-04-30,2021-06-18
8.0,0.625,0.787109375,0.884765625,0.548828125,0.4599609375,0.65234375,0.58203125
9.0,0.625,0.787109375,0.884765625,0.548828125,0.4599609375,0.65234375,0.546875
9.5,0.625,0.787109375,0.884765625,0.548828125,0.4599609375,0.65234375,0.5219517808466381
10.0,0.625,0.787109375,0.884765625,0.548828125,0.4599609375,0.62109375,0.5009765625
10.5,0.625,0.787109375,0.884765625,0.548828125,0.4599609375,0.56640625,0.4927940752023843
11.0,0.625,0.787109375,0.884765625,0.548828125,0.4599609375,0.541015625,0.4873046875
11.5,0.625,0.787109375,0.884765625,0.512461854241249,0.4599609375,0.525390625,0.47440876793905606
12.0,0.625,0.787109375,0.884765625,0.484375,0.4599609375,0.517578125,0.4638671875
12.5,0.57421875,0.787109375,0.884765625,0.464567562276253,0.4599609375,0.4873046875,0.46544081716327945
13.0,0.5234375,0.787109375,0.884765625,0.4541015625,0.4599609375,0.501953125,0.4736328125
13.5,0.52734375,0.787109375,0.884765625,0.45403902210123315,0.4599609375,0.4970703125,0.4829463290812671
14.0,0.640625,0.787109375,0.884765625,0.46875,0.4599609375,0.509765625,0.478515625
14.5,0.7265625,0.787109375,0.884765625,0.5026045551163485,0.6220703125,0.552734375,0.44547495834911804
15.0,0.96484375,0.8828125,0.884765625,0.533203125,1.04296875,0.5632004183717415,0.48486328125
15.5,1.68359375,1.234375,1.748046875,0.5381461472006761,1.04296875,0.5302734375,0.6977195458240247
16.0,1.5703125,0.890625,0.890625,0.546875,1.04296875,0.5302734375,0.857421875
16.5,1.5703125,0.9985259433962264,0.3933293269230771,0.5888310616795944,1.04296875,0.5302734375,0.7373483917067334
17.0,1.5703125,1.622973172169811,0.6029647435897436,0.6640143322394592,1.04296875,0.5302734375,0.6240234375
17.5,1.5703125,1.810546875,1.51953125,0.7724248116795942,1.04296875,0.5302734375,0.8039713539355751
18.0,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,0.9736328125
18.5,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,0.8294484846798165
19.0,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,0.66015625
19.5,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,0.7544939879855261
20.0,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,0.9501953125
20.5,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,1.0849938374070272
21.0,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,1.1796875
22.0,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,1.311154050123964
23.0,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,1.3653929001652858
24.0,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,1.3424040501239642
25.0,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,1.2421875
26.0,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,1.2421875
27.0,1.5703125,1.40234375,1.51953125,0.9140625,1.04296875,0.5302734375,1.2421875
