contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
HEXO210319C00001000,2021-03-09 20:57:37,1.0,1.0,6.8,6.9,6.35,call,2021-03-19
HEXO210319C00002000,2021-03-02 16:42:06,3.0,2.0,5.75,5.9,5.45,call,2021-03-19
HEXO210319C00003000,2021-03-15 19:49:18,8.0,3.0,4.75,4.9,4.85,call,2021-03-19
HEXO210319C00004000,2021-03-15 19:49:36,7.0,4.0,3.75,3.9,3.9,call,2021-03-19
HEXO210319C00005000,2021-03-15 18:31:08,16.0,5.0,2.65,2.9,2.9,call,2021-03-19
HEXO210319C00006000,2021-03-15 19:55:46,58.0,6.0,1.73,1.86,1.83,call,2021-03-19
HEXO210319C00007000,2021-03-15 19:54:47,336.0,7.0,1.01,1.05,1.01,call,2021-03-19
HEXO210319C00008000,2021-03-15 19:56:38,1179.0,8.0,0.5,0.55,0.54,call,2021-03-19
HEXO210319C00009000,2021-03-15 19:51:14,961.0,9.0,0.22,0.3,0.28,call,2021-03-19
HEXO210319C00010000,2021-03-15 19:01:22,297.0,10.0,0.16,0.17,0.17,call,2021-03-19
HEXO210319C00011000,2021-03-15 19:27:43,146.0,11.0,0.1,0.12,0.12,call,2021-03-19
HEXO210319C00012000,2021-03-15 19:29:33,362.0,12.0,0.06,0.1,0.06,call,2021-03-19
HEXO210319C00013000,2021-03-15 19:34:55,4.0,13.0,0.04,0.08,0.05,call,2021-03-19
HEXO210319C00014000,2021-03-15 19:29:45,31.0,14.0,0.04,0.08,0.04,call,2021-03-19
HEXO210319C00015000,2021-03-15 18:05:30,146.0,15.0,0.02,0.07,0.03,call,2021-03-19
HEXO210319C00016000,2021-03-15 19:01:05,10.0,16.0,0.01,0.07,0.07,call,2021-03-19
HEXO210319C00017000,2021-03-15 19:16:53,20.0,17.0,0.01,0.1,0.06,call,2021-03-19
HEXO210319C00018000,2021-03-15 16:48:24,30.0,18.0,0.0,0.07,0.03,call,2021-03-19
HEXO210319C00019000,2021-03-15 17:45:39,15.0,19.0,0.02,0.04,0.02,call,2021-03-19
