contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
JPM210319C00075000,2021-02-02 14:30:12,10.0,75.0,73.2,77.55,56.8,call,2021-03-19
JPM210319C00080000,2021-03-03 17:37:49,1.0,80.0,74.85,75.8,76.88,call,2021-03-19
JPM210319C00085000,2021-03-10 16:46:55,1.0,85.0,69.8,70.85,68.8,call,2021-03-19
JPM210319C00090000,2021-03-15 13:49:29,20.0,90.0,64.75,65.75,65.0,call,2021-03-19
JPM210319C00095000,2021-03-15 19:14:49,1.0,95.0,59.95,60.85,59.61,call,2021-03-19
JPM210319C00100000,2021-03-15 17:00:37,114.0,100.0,55.05,56.3,55.05,call,2021-03-19
JPM210319C00105000,2021-03-15 13:55:50,4.0,105.0,50.2,50.65,49.25,call,2021-03-19
JPM210319C00110000,2021-03-15 16:28:21,19.0,110.0,44.9,45.65,44.25,call,2021-03-19
JPM210319C00115000,2021-03-15 15:55:10,94.0,115.0,39.9,40.65,38.81,call,2021-03-19
JPM210319C00120000,2021-03-15 19:54:47,42.0,120.0,34.9,35.75,34.9,call,2021-03-19
JPM210319C00123000,2021-03-15 04:01:46,,123.0,31.15,33.0,32.68,call,2021-03-19
JPM210319C00124000,2021-03-15 04:01:46,,124.0,30.6,32.0,29.95,call,2021-03-19
JPM210319C00125000,2021-03-15 19:47:27,42.0,125.0,30.05,30.7,30.07,call,2021-03-19
JPM210319C00127000,2021-03-15 04:01:46,,127.0,26.75,29.15,27.0,call,2021-03-19
JPM210319C00130000,2021-03-15 19:49:59,411.0,130.0,24.9,25.75,25.24,call,2021-03-19
JPM210319C00131000,2021-03-15 04:01:46,,131.0,23.4,25.0,24.35,call,2021-03-19
JPM210319C00135000,2021-03-15 19:30:29,190.0,135.0,19.9,20.75,19.9,call,2021-03-19
JPM210319C00136000,2021-03-11 14:57:26,1.0,136.0,17.95,20.95,18.71,call,2021-03-19
JPM210319C00137000,2021-03-11 16:42:38,1.0,137.0,17.5,19.0,19.78,call,2021-03-19
JPM210319C00138000,2021-03-10 16:37:47,2.0,138.0,15.25,18.6,16.09,call,2021-03-19
JPM210319C00145000,2021-03-15 19:59:28,228.0,145.0,9.85,10.85,10.5,call,2021-03-19
JPM210319C00146000,2021-03-15 18:56:26,11.0,146.0,7.35,10.05,8.92,call,2021-03-19
JPM210319C00147000,2021-03-12 14:30:03,4.0,147.0,8.1,9.0,9.08,call,2021-03-19
JPM210319C00148000,2021-03-15 15:31:46,4.0,148.0,7.0,7.8,7.15,call,2021-03-19
JPM210319C00149000,2021-03-15 16:42:10,24.0,149.0,6.2,6.9,5.95,call,2021-03-19
JPM210319C00150000,2021-03-15 19:56:48,476.0,150.0,5.65,5.95,5.8,call,2021-03-19
JPM210319C00152500,2021-03-15 19:59:32,392.0,152.5,3.6,3.8,3.71,call,2021-03-19
JPM210319C00155000,2021-03-15 19:59:33,3117.0,155.0,2.1,2.19,2.24,call,2021-03-19
JPM210319C00157500,2021-03-15 19:57:48,2788.0,157.5,1.04,1.18,1.15,call,2021-03-19
JPM210319C00160000,2021-03-15 19:57:49,9673.0,160.0,0.49,0.56,0.55,call,2021-03-19
JPM210319C00162500,2021-03-15 19:59:14,1280.0,162.5,0.22,0.29,0.25,call,2021-03-19
JPM210319C00165000,2021-03-15 19:57:38,1013.0,165.0,0.09,0.16,0.11,call,2021-03-19
JPM210319C00167500,2021-03-15 19:39:04,131.0,167.5,0.03,0.06,0.03,call,2021-03-19
JPM210319C00170000,2021-03-15 19:20:38,498.0,170.0,0.01,0.1,0.02,call,2021-03-19
JPM210319C00175000,2021-03-15 17:29:55,191.0,175.0,0.0,0.07,0.01,call,2021-03-19
JPM210319C00180000,2021-03-15 14:03:26,5.0,180.0,0.0,0.01,0.02,call,2021-03-19
JPM210319C00185000,2021-03-12 17:32:20,9.0,185.0,0.0,0.01,0.02,call,2021-03-19
JPM210319C00190000,2021-03-10 15:08:49,2.0,190.0,0.0,0.05,0.01,call,2021-03-19
