contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
MSFT210319C00140000,2021-03-05 18:19:26,20.0,140.0,94.15,95.4,98.87,call,2021-03-19
MSFT210319C00145000,2021-03-12 16:23:24,5.0,145.0,89.25,90.4,89.27,call,2021-03-19
MSFT210319C00150000,2021-03-15 18:33:21,6.0,150.0,84.2,85.4,83.6,call,2021-03-19
MSFT210319C00155000,2021-03-15 18:33:21,4.0,155.0,79.15,80.4,78.6,call,2021-03-19
MSFT210319C00160000,2021-03-15 19:09:37,10.0,160.0,74.2,75.4,73.85,call,2021-03-19
MSFT210319C00165000,2021-03-08 18:32:56,15.0,165.0,69.15,70.45,72.3,call,2021-03-19
MSFT210319C00170000,2021-03-15 13:59:51,10.0,170.0,64.15,65.4,62.93,call,2021-03-19
MSFT210319C00175000,2021-03-15 17:44:10,4.0,175.0,59.15,60.45,57.85,call,2021-03-19
MSFT210319C00180000,2021-03-15 18:43:01,11.0,180.0,54.35,55.45,53.56,call,2021-03-19
MSFT210319C00185000,2021-03-15 18:47:33,24.0,185.0,49.35,50.45,48.6,call,2021-03-19
MSFT210319C00190000,2021-03-15 17:48:12,14.0,190.0,44.35,45.45,43.43,call,2021-03-19
MSFT210319C00195000,2021-03-12 14:32:37,7.0,195.0,39.3,40.45,40.0,call,2021-03-19
MSFT210319C00200000,2021-03-15 19:00:58,163.0,200.0,34.45,35.5,33.65,call,2021-03-19
MSFT210319C00205000,2021-03-15 19:56:33,14.0,205.0,29.45,30.5,29.92,call,2021-03-19
MSFT210319C00210000,2021-03-15 19:57:30,203.0,210.0,24.4,25.55,24.83,call,2021-03-19
MSFT210319C00212500,2021-03-15 18:50:20,3.0,212.5,21.85,23.05,21.35,call,2021-03-19
MSFT210319C00215000,2021-03-15 19:57:34,692.0,215.0,19.4,20.55,20.11,call,2021-03-19
MSFT210319C00217500,2021-03-10 15:46:20,21.0,217.5,16.9,18.1,18.07,call,2021-03-19
MSFT210319C00220000,2021-03-15 19:58:02,342.0,220.0,14.6,15.45,14.93,call,2021-03-19
MSFT210319C00222500,2021-03-15 18:40:58,20.0,222.5,12.1,13.1,11.32,call,2021-03-19
MSFT210319C00262500,2021-03-15 19:49:01,57.0,262.5,0.02,0.11,0.04,call,2021-03-19
MSFT210319C00265000,2021-03-15 19:51:52,75.0,265.0,0.02,0.04,0.02,call,2021-03-19
MSFT210319C00270000,2021-03-15 19:06:48,216.0,270.0,0.02,0.03,0.02,call,2021-03-19
