contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
TD210319C00050000,2021-01-27 14:30:07,2.0,50.0,9.0,12.1,7.8,call,2021-03-19
TD210319C00052500,2021-03-08 17:11:19,1.0,52.5,11.0,15.6,11.2,call,2021-03-19
TD210319C00055000,2021-02-24 15:22:43,2.0,55.0,8.6,12.8,7.7,call,2021-03-19
TD210319C00057500,2021-03-03 16:14:18,1.0,57.5,8.2,8.4,5.3,call,2021-03-19
TD210319C00060000,2021-03-15 19:16:49,19.0,60.0,5.7,5.9,5.8,call,2021-03-19
TD210319C00062500,2021-03-15 16:35:13,6.0,62.5,3.2,3.4,3.21,call,2021-03-19
TD210319C00065000,2021-03-15 19:18:38,57.0,65.0,0.9,1.1,0.95,call,2021-03-19
TD210319C00067500,2021-03-15 17:41:46,21.0,67.5,0.0,0.1,0.1,call,2021-03-19
TD210319C00070000,2021-03-12 18:56:46,5.0,70.0,0.0,0.1,0.05,call,2021-03-19
TD210319C00075000,2021-02-23 14:30:37,,75.0,0.0,0.1,0.05,call,2021-03-19
TD210319P00040000,2021-02-12 20:00:43,1.0,40.0,0.0,0.05,0.04,put,2021-03-19
TD210319P00045000,2021-01-27 17:03:35,5.0,45.0,0.0,1.25,0.25,put,2021-03-19
TD210319P00050000,2021-03-05 18:05:07,1.0,50.0,0.0,0.05,0.04,put,2021-03-19
TD210319P00052500,2021-03-09 18:09:37,7.0,52.5,0.0,0.05,0.04,put,2021-03-19
TD210319P00055000,2021-03-04 20:23:27,10.0,55.0,0.0,0.05,0.05,put,2021-03-19
TD210319P00057500,2021-03-11 16:02:12,2.0,57.5,0.0,0.1,0.05,put,2021-03-19
TD210319P00060000,2021-03-08 16:50:24,1.0,60.0,0.05,0.15,0.15,put,2021-03-19
TD210319P00062500,2021-03-11 14:30:04,1.0,62.5,0.0,0.05,0.05,put,2021-03-19
TD210319P00065000,2021-03-15 16:05:49,28.0,65.0,0.15,0.3,0.4,put,2021-03-19
TD210319P00070000,2021-02-25 19:51:41,,70.0,2.95,5.2,8.0,put,2021-03-19
TD210416C00035000,2020-12-07 20:43:31,,35.0,22.2,25.2,22.5,call,2021-04-16
TD210416C00040000,2021-01-06 20:44:13,22.0,40.0,16.5,20.4,18.45,call,2021-04-16
TD210416C00045000,2021-02-04 15:02:13,1.0,45.0,15.5,20.4,13.4,call,2021-04-16
TD210416C00047500,2021-01-06 19:29:17,150.0,47.5,11.0,11.3,10.3,call,2021-04-16
TD210416C00050000,2021-01-26 16:27:25,2.0,50.0,9.8,12.0,8.2,call,2021-04-16
TD210416C00052500,2021-02-26 15:12:53,5.0,52.5,11.3,14.7,9.4,call,2021-04-16
TD210416C00055000,2021-03-03 18:16:37,25.0,55.0,10.7,11.4,8.97,call,2021-04-16
TD210416C00057500,2021-03-12 20:58:13,1.0,57.5,8.2,8.5,7.99,call,2021-04-16
TD210416C00060000,2021-03-15 14:08:45,21.0,60.0,5.8,6.0,5.56,call,2021-04-16
TD210416C00062500,2021-03-12 19:37:19,10.0,62.5,3.4,3.6,3.19,call,2021-04-16
TD210416C00065000,2021-03-15 19:56:42,31.0,65.0,1.55,1.75,1.7,call,2021-04-16
TD210416C00067500,2021-03-15 19:25:13,199.0,67.5,0.55,0.6,0.5,call,2021-04-16
TD210416C00070000,2021-03-15 14:16:29,13.0,70.0,0.05,0.2,0.13,call,2021-04-16
TD210416C00075000,2021-02-26 19:28:17,10.0,75.0,0.0,0.2,0.05,call,2021-04-16
TD210416P00022500,2020-10-30 14:04:33,2.0,22.5,0.0,0.15,0.1,put,2021-04-16
TD210416P00025000,2020-11-10 14:38:11,5.0,25.0,0.0,0.2,0.15,put,2021-04-16
TD210416P00027500,2020-10-22 14:52:39,,27.5,0.0,0.25,0.35,put,2021-04-16
TD210416P00030000,2020-11-23 15:03:19,5.0,30.0,0.0,0.45,0.1,put,2021-04-16
TD210416P00032500,2020-12-17 14:30:03,10.0,32.5,0.0,0.45,0.05,put,2021-04-16
TD210416P00035000,2021-01-07 14:37:29,12.0,35.0,0.0,1.75,0.05,put,2021-04-16
TD210416P00037500,2021-02-25 17:25:42,1.0,37.5,0.0,2.25,0.35,put,2021-04-16
TD210416P00040000,2021-01-25 16:06:20,4.0,40.0,0.0,1.5,0.1,put,2021-04-16
TD210416P00042500,2021-01-29 15:03:47,1.0,42.5,0.0,1.5,0.1,put,2021-04-16
TD210416P00045000,2021-02-25 17:25:42,1.0,45.0,0.0,0.6,0.36,put,2021-04-16
TD210416P00047500,2021-03-04 15:13:44,31.0,47.5,0.0,0.4,0.15,put,2021-04-16
TD210416P00050000,2021-02-26 18:26:53,10.0,50.0,0.0,0.15,0.13,put,2021-04-16
TD210416P00052500,2021-03-10 16:36:58,1.0,52.5,0.0,0.1,0.1,put,2021-04-16
TD210416P00055000,2021-03-15 14:08:45,6.0,55.0,0.05,0.1,0.06,put,2021-04-16
TD210416P00057500,2021-03-09 18:09:37,17.0,57.5,0.05,0.15,0.3,put,2021-04-16
TD210416P00060000,2021-03-15 18:31:11,5.0,60.0,0.15,0.3,0.29,put,2021-04-16
TD210416P00062500,2021-03-15 17:16:21,1.0,62.5,0.4,0.6,0.57,put,2021-04-16
TD210416P00065000,2021-03-15 17:16:21,2.0,65.0,1.15,1.35,1.39,put,2021-04-16
TD210416P00067500,2021-03-15 16:48:39,7.0,67.5,2.75,2.95,3.0,put,2021-04-16
TD210716C00040000,2021-01-19 05:00:18,,40.0,0.0,22.0,16.81,call,2021-07-16
TD210716C00047500,2021-01-06 20:32:42,1.0,47.5,11.2,11.5,11.19,call,2021-07-16
TD210716C00050000,2021-03-02 18:50:30,1.0,50.0,13.0,16.0,12.5,call,2021-07-16
TD210716C00052500,2021-02-23 14:49:52,8.0,52.5,10.5,13.5,8.9,call,2021-07-16
TD210716C00055000,2021-03-09 17:39:06,1.0,55.0,8.3,11.0,9.53,call,2021-07-16
TD210716C00057500,2021-03-08 16:08:20,5.0,57.5,6.7,8.7,6.67,call,2021-07-16
TD210716C00060000,2021-03-11 20:09:50,10.0,60.0,6.1,6.4,5.65,call,2021-07-16
TD210716C00062500,2021-03-15 15:35:28,3.0,62.5,4.2,4.5,3.9,call,2021-07-16
TD210716C00065000,2021-03-15 14:08:45,21.0,65.0,2.7,2.85,2.63,call,2021-07-16
TD210716C00067500,2021-03-15 15:35:28,30.0,67.5,1.55,1.75,1.45,call,2021-07-16
TD210716C00070000,2021-03-08 14:30:04,1.0,70.0,0.85,1.0,0.6,call,2021-07-16
TD210716C00075000,2021-03-15 13:41:31,3.0,75.0,0.15,0.3,0.2,call,2021-07-16
TD210716P00040000,2021-02-05 15:01:20,2.0,40.0,0.0,0.25,0.3,put,2021-07-16
TD210716P00042500,2021-01-29 17:12:53,6.0,42.5,0.0,0.45,0.5,put,2021-07-16
TD210716P00045000,2021-02-23 19:30:44,20.0,45.0,0.05,0.2,0.3,put,2021-07-16
TD210716P00047500,2021-02-25 15:20:47,1.0,47.5,0.1,0.25,0.31,put,2021-07-16
TD210716P00050000,2021-03-03 18:22:26,1.0,50.0,0.15,0.35,0.4,put,2021-07-16
TD210716P00052500,2021-03-09 17:01:12,1.0,52.5,0.3,0.45,0.5,put,2021-07-16
TD210716P00055000,2021-03-09 20:28:40,17.0,55.0,0.4,0.6,0.75,put,2021-07-16
TD210716P00057500,2021-03-08 15:29:05,10.0,57.5,0.7,0.85,1.1,put,2021-07-16
TD210716P00060000,2021-03-15 16:13:57,570.0,60.0,1.1,1.3,1.2,put,2021-07-16
TD210716P00062500,2021-02-22 16:59:34,10.0,62.5,1.8,1.95,2.3,put,2021-07-16
TD210716P00065000,2021-03-15 14:08:45,21.0,65.0,2.85,3.0,3.24,put,2021-07-16
TD210716P00070000,2021-03-15 04:08:39,,70.0,5.1,6.3,7.5,put,2021-07-16
