contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date
TLRY210319C00017500,2021-03-15 04:01:40,,17.5,12.65,13.45,6.65,call,2021-03-19
TLRY210319C00018000,2021-03-15 17:02:11,24.0,18.0,12.2,12.9,12.8,call,2021-03-19
TLRY210319C00018500,2021-03-15 04:01:41,,18.5,11.6,12.15,10.3,call,2021-03-19
TLRY210319C00019000,2021-03-15 19:06:06,33.0,19.0,11.35,11.6,11.7,call,2021-03-19
TLRY210319C00019500,2021-03-15 15:28:12,4.0,19.5,10.7,11.15,9.35,call,2021-03-19
TLRY210319C00020000,2021-03-15 19:51:47,171.0,20.0,10.4,10.7,10.5,call,2021-03-19
TLRY210319C00020500,2021-03-12 17:00:44,2.0,20.5,9.8,10.15,7.7,call,2021-03-19
TLRY210319C00021000,2021-03-15 18:54:06,44.0,21.0,9.3,9.7,10.1,call,2021-03-19
TLRY210319C00021500,2021-03-15 16:28:19,18.0,21.5,8.85,9.2,8.88,call,2021-03-19
TLRY210319C00022000,2021-03-15 19:51:26,193.0,22.0,8.35,8.65,8.39,call,2021-03-19
TLRY210319C00022500,2021-03-15 17:33:53,23.0,22.5,7.8,8.25,8.06,call,2021-03-19
TLRY210319C00023000,2021-03-15 18:59:03,239.0,23.0,7.35,7.75,7.1,call,2021-03-19
TLRY210319C00023500,2021-03-15 18:40:32,27.0,23.5,6.85,7.25,7.4,call,2021-03-19
TLRY210319C00024000,2021-03-15 19:54:29,152.0,24.0,6.5,6.75,6.55,call,2021-03-19
TLRY210319C00024500,2021-03-15 19:51:48,371.0,24.5,6.0,6.3,6.11,call,2021-03-19
TLRY210319C00025000,2021-03-15 19:58:08,2091.0,25.0,5.55,5.85,5.79,call,2021-03-19
TLRY210319C00025500,2021-03-15 19:37:45,310.0,25.5,5.15,5.4,5.2,call,2021-03-19
TLRY210319C00026000,2021-03-15 19:57:52,2093.0,26.0,4.7,5.0,4.8,call,2021-03-19
TLRY210319C00026500,2021-03-15 19:40:48,316.0,26.5,4.1,4.6,4.5,call,2021-03-19
TLRY210319C00027000,2021-03-15 19:58:50,1121.0,27.0,3.95,4.2,4.1,call,2021-03-19
TLRY210319C00040000,2021-03-15 19:59:35,10810.0,40.0,0.42,0.44,0.43,call,2021-03-19
TLRY210319C00041000,2021-03-15 19:49:19,421.0,41.0,0.32,0.37,0.37,call,2021-03-19
TLRY210319C00042000,2021-03-15 19:56:47,598.0,42.0,0.27,0.34,0.3,call,2021-03-19
TLRY210319C00043000,2021-03-15 19:58:56,391.0,43.0,0.23,0.29,0.26,call,2021-03-19
TLRY210319C00044000,2021-03-15 19:44:02,307.0,44.0,0.21,0.23,0.24,call,2021-03-19
TLRY210319C00045000,2021-03-15 19:53:07,2953.0,45.0,0.14,0.21,0.2,call,2021-03-19
TLRY210319C00046000,2021-03-15 19:01:56,140.0,46.0,0.15,0.22,0.17,call,2021-03-19
TLRY210319C00047000,2021-03-15 19:01:50,152.0,47.0,0.13,0.17,0.17,call,2021-03-19
TLRY210319C00048000,2021-03-15 19:04:34,234.0,48.0,0.02,0.18,0.15,call,2021-03-19
TLRY210319C00049000,2021-03-15 19:07:27,102.0,49.0,0.1,0.14,0.13,call,2021-03-19
TLRY210319C00050000,2021-03-15 19:54:26,2013.0,50.0,0.11,0.13,0.11,call,2021-03-19
