,AAPL,APHA,BAC,BTC,C,GE,HEXO,IWM,JPM,MS,MSFT,TD,TLRY,TSLA,USB,XLE,XLV
AAPL,1.0,0.14037063988110995,0.30740602524476107,,0.2704462528709008,0.16746097683444483,0.06013604407430507,0.4948742300127055,0.26547758614188005,0.39968242511847174,0.7567136274830427,0.35144777247481107,0.12334614354058104,0.4808862280322798,0.2239186861003744,0.24762079019663977,0.5593951191719637
APHA,0.14037063988110995,1.0,0.21362513661894963,,0.2615858099109997,0.23877305834325258,0.5467155577190762,0.318318451919925,0.2169110023796714,0.2392731085173737,0.13343404532492523,0.2263340919354304,0.7400231148211152,0.25392017127443167,0.21509242299677694,0.2775175659235493,0.19450381485354307
BAC,0.30740602524476107,0.21362513661894963,1.0,,0.89414588180965,0.683703572424529,0.14450863220993904,0.7942205286721944,0.9334384525031835,0.8664570689219229,0.3441362235530733,0.7976899736005231,0.23702685910414442,0.18785233629784626,0.9015805459170712,0.7725793289892913,0.5762137156944233
BTC,,,,,,,,,,,,,,,,,
C,0.2704462528709008,0.2615858099109997,0.89414588180965,,1.0,0.6746890496073275,0.28675837870596227,0.7881785655881689,0.8774567415130027,0.8167732375328997,0.30166586004641044,0.7866429092815787,0.29506901873555463,0.2322525901360221,0.8539332033567753,0.7823921778559627,0.47168364342185676
GE,0.16746097683444483,0.23877305834325258,0.683703572424529,,0.6746890496073275,1.0,0.20890959306623294,0.6419547672297002,0.6860207817347195,0.6844202834791877,0.18417252057919972,0.6899351373033499,0.1997121169207715,0.1153287644773501,0.6641197937278591,0.6708878517569423,0.4586407213685254
HEXO,0.06013604407430507,0.5467155577190762,0.14450863220993904,,0.28675837870596227,0.20890959306623294,1.0,0.2618167945064252,0.1692039646841727,0.13864054228554942,0.007372121039767786,0.20707669842626283,0.6120826581204838,0.2087145883895725,0.21038512304154325,0.2532009401317609,0.011396874068681647
IWM,0.4948742300127055,0.318318451919925,0.7942205286721944,,0.7881785655881689,0.6419547672297002,0.2618167945064252,1.0,0.7908594860138551,0.7947159634844507,0.545383045596425,0.7678583788532103,0.3216474504172098,0.4076395343745169,0.7484086200307264,0.7687552914663053,0.6844346477124497
JPM,0.26547758614188005,0.2169110023796714,0.9334384525031835,,0.8774567415130027,0.6860207817347195,0.1692039646841727,0.7908594860138551,1.0,0.8647773951952537,0.3248505749911595,0.7941275313203684,0.2348915100585717,0.19583573865640092,0.8873572005049494,0.7765928394405189,0.552775341645464
MS,0.39968242511847174,0.2392731085173737,0.8664570689219229,,0.8167732375328997,0.6844202834791877,0.13864054228554942,0.7947159634844507,0.8647773951952537,1.0,0.4292012936318818,0.8086601391766719,0.21472896415829418,0.26794901052180414,0.7833170343144312,0.752117611259047,0.6391288079212379
MSFT,0.7567136274830427,0.13343404532492523,0.3441362235530733,,0.30166586004641044,0.18417252057919972,0.007372121039767786,0.545383045596425,0.3248505749911595,0.4292012936318818,1.0,0.3769652475516609,0.12285592236182939,0.4783293775511365,0.24121232258959135,0.3065898315248525,0.6967557141814704
TD,0.35144777247481107,0.2263340919354304,0.7976899736005231,,0.7866429092815787,0.6899351373033499,0.20707669842626283,0.7678583788532103,0.7941275313203684,0.8086601391766719,0.3769652475516609,1.0,0.1744464491513735,0.30596201320106275,0.7619219046885041,0.759394206484632,0.586416097546765
TLRY,0.12334614354058104,0.7400231148211152,0.23702685910414442,,0.29506901873555463,0.1997121169207715,0.6120826581204838,0.3216474504172098,0.2348915100585717,0.21472896415829418,0.12285592236182939,0.1744464491513735,1.0,0.20194115934364995,0.25493519296536415,0.27618139229011757,0.13957438536600947
TSLA,0.4808862280322798,0.25392017127443167,0.18785233629784626,,0.2322525901360221,0.1153287644773501,0.2087145883895725,0.4076395343745169,0.19583573865640092,0.26794901052180414,0.4783293775511365,0.30596201320106275,0.20194115934364995,1.0,0.12606907958000108,0.25126327554832667,0.30140168686400076
USB,0.2239186861003744,0.21509242299677694,0.9015805459170712,,0.8539332033567753,0.6641197937278591,0.21038512304154325,0.7484086200307264,0.8873572005049494,0.7833170343144312,0.24121232258959135,0.7619219046885041,0.25493519296536415,0.12606907958000108,1.0,0.7216741434424959,0.5110296828261319
XLE,0.24762079019663977,0.2775175659235493,0.7725793289892913,,0.7823921778559627,0.6708878517569423,0.2532009401317609,0.7687552914663053,0.7765928394405189,0.752117611259047,0.3065898315248525,0.759394206484632,0.27618139229011757,0.25126327554832667,0.7216741434424959,1.0,0.5311624585475679
XLV,0.5593951191719637,0.19450381485354307,0.5762137156944233,,0.47168364342185676,0.4586407213685254,0.011396874068681647,0.6844346477124497,0.552775341645464,0.6391288079212379,0.6967557141814704,0.586416097546765,0.13957438536600947,0.30140168686400076,0.5110296828261319,0.5311624585475679,1.0
