strike,2021-03-19,2021-04-16,2021-05-21,2021-08-20
1.0,1.0625,1.76171875,1.41796875,0.84375
2.0,1.0625,1.76171875,1.41796875,0.84375
3.0,1.0625,1.76171875,1.41796875,0.84375
3.5,1.0625,1.76171875,1.41796875,0.84375
4.0,1.0625,1.76171875,1.1796875,0.837890625
4.5,1.0625,1.541015625,1.3828125,1.107421875
5.0,1.0625,1.3203125,0.6171875,0.748046875
5.5,1.0625,1.099609375,1.08203125,1.1044921875
6.0,1.0625,0.87890625,0.986328125,1.173828125
7.0,1.0625,0.98046875,0.9970703125,1.095703125
8.0,1.0625,1.19140625,1.07421875,1.048828125
9.0,1.0625,1.28515625,1.1083984375,0.986328125
10.0,1.0625,1.31640625,1.16015625,1.1435546875
11.0,1.0625,1.4609375,1.267578125,1.16015625
12.0,1.0625,1.48046875,1.294921875,1.126953125
13.0,1.0625,1.58203125,1.439453125,1.1982421875
14.0,1.0625,1.64453125,1.447265625,1.1259765625
15.0,1.0625,1.609375,1.421875,1.2548828125
16.0,1.0625,1.7109375,1.41015625,1.236328125
17.0,1.0625,1.8046875,1.48828125,1.2734375
18.0,1.0625,1.8046875,1.54296875,1.333984375
19.0,1.0625,1.8046875,1.53125,1.255859375
20.0,1.0625,1.8046875,1.52734375,1.283203125
