,AAPL,APHA,BAC,C,GE,HEXO,IWM,JPM,MS,MSFT,TD,TLRY,TSLA,USB,XLE,XLV
AAPL,1.0,0.13794094791909436,0.29646865845733605,0.27583908979933514,0.15589240329306128,0.10440373234152621,0.48550135327213717,0.2541185167179778,0.3890075298792953,0.7573585533475115,0.34541531621070776,0.12520395865210418,0.4853728464974389,0.2179254021132572,0.24572627407107506,0.553879181127245
APHA,0.13794094791909436,1.0,0.21663325749988752,0.26283714787169116,0.24270862735573295,0.5867284857977676,0.32518166844453783,0.22153616805362417,0.24526742702531432,0.13399300094774538,0.22605621567843093,0.7423488570410914,0.25904649111457545,0.21584896101566164,0.2817450392842879,0.2012925057201752
BAC,0.29646865845733605,0.21663325749988752,1.0,0.9109140438717805,0.6790422517708518,0.2153014609015801,0.7899578753002933,0.9320898211653779,0.8634202779804449,0.322381313337545,0.7963292051813131,0.24514582817342825,0.1983235023761078,0.9035018184364181,0.7787903902292597,0.5633940176582678
C,0.27583908979933514,0.26283714787169116,0.9109140438717805,1.0,0.6832250004450451,0.291503273266848,0.8003907122496255,0.8917263678969591,0.8313620466870896,0.31952857871956397,0.7940264945602242,0.2949256375449896,0.23151747560708388,0.8593945666371153,0.7834505144815573,0.4985406522918247
GE,0.15589240329306128,0.24270862735573295,0.6790422517708518,0.6832250004450451,1.0,0.269339532285835,0.6376116043486124,0.682076178080808,0.6807248627442298,0.16335250717197375,0.6859318457506912,0.20665085733762695,0.12506073757649389,0.6622385796223147,0.673668005895879,0.44714555246317644
HEXO,0.10440373234152621,0.5867284857977676,0.2153014609015801,0.291503273266848,0.269339532285835,1.0,0.3344133591857568,0.2366755967730141,0.2067113053884989,0.0993090343294691,0.25809005693876386,0.6446643314105354,0.20638859360279083,0.2533562703038279,0.27726243527378613,0.11330396206134899
IWM,0.48550135327213717,0.32518166844453783,0.7899578753002933,0.8003907122496255,0.6376116043486124,0.3344133591857568,1.0,0.7876734697169353,0.7917819175408041,0.5320937407714847,0.764236666955815,0.3320555505225681,0.4202418063182328,0.7468816550044646,0.7744544286532222,0.6788837205904927
JPM,0.2541185167179778,0.22153616805362417,0.9320898211653779,0.8917263678969591,0.682076178080808,0.2366755967730141,0.7876734697169353,1.0,0.8625475829403182,0.3042473450753127,0.7919155288568569,0.24363020090628948,0.20665367664884438,0.8880915922208439,0.7823228834095515,0.5413539570198521
MS,0.3890075298792953,0.24526742702531432,0.8634202779804449,0.8313620466870896,0.6807248627442298,0.2067113053884989,0.7917819175408041,0.8625475829403182,1.0,0.41034690044105376,0.8062766001012815,0.2246115546012951,0.2806232290092632,0.7830901546201933,0.7586101821753728,0.6296181483288471
MSFT,0.7573585533475115,0.13399300094774538,0.322381313337545,0.31952857871956397,0.16335250717197375,0.0993090343294691,0.5320937407714847,0.3042473450753127,0.41034690044105376,1.0,0.3680041396912149,0.1317364145916481,0.4998678867114162,0.23214487883648827,0.3101798434662562,0.6783934640674844
TD,0.34541531621070776,0.22605621567843093,0.7963292051813131,0.7940264945602242,0.6859318457506912,0.25809005693876386,0.764236666955815,0.7919155288568569,0.8062766001012815,0.3680041396912149,1.0,0.17754832566263856,0.31116769630233204,0.7606001935726004,0.7599991592845123,0.5848572103794549
TLRY,0.12520395865210418,0.7423488570410914,0.24514582817342825,0.2949256375449896,0.20665085733762695,0.6446643314105354,0.3320555505225681,0.24363020090628948,0.2246115546012951,0.1317364145916481,0.17754832566263856,1.0,0.2047292523791791,0.2580074092146151,0.28013384451573975,0.15346187672950284
TSLA,0.4853728464974389,0.25904649111457545,0.1983235023761078,0.23151747560708388,0.12506073757649389,0.20638859360279083,0.4202418063182328,0.20665367664884438,0.2806232290092632,0.4998678867114162,0.31116769630233204,0.2047292523791791,1.0,0.13086778859357057,0.2551807427556417,0.3235516893140269
USB,0.2179254021132572,0.21584896101566164,0.9035018184364181,0.8593945666371153,0.6622385796223147,0.2533562703038279,0.7468816550044646,0.8880915922208439,0.7830901546201933,0.23214487883648827,0.7606001935726004,0.2580074092146151,0.13086778859357057,1.0,0.7219801269872066,0.511135773038984
XLE,0.24572627407107506,0.2817450392842879,0.7787903902292597,0.7834505144815573,0.673668005895879,0.27726243527378613,0.7744544286532222,0.7823228834095515,0.7586101821753728,0.3101798434662562,0.7599991592845123,0.28013384451573975,0.2551807427556417,0.7219801269872066,1.0,0.5451017984648372
XLV,0.553879181127245,0.2012925057201752,0.5633940176582678,0.4985406522918247,0.44714555246317644,0.11330396206134899,0.6788837205904927,0.5413539570198521,0.6296181483288471,0.6783934640674844,0.5848572103794549,0.15346187672950284,0.3235516893140269,0.511135773038984,0.5451017984648372,1.0
