strike,2021-03-19,2021-03-26,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-07-16
35.0,0.34375,0.796875,0.91796875,0.47265625,1.671875,0.41796875,0.68359375,0.720703125,0.921875,0.52734375
40.0,0.34375,0.796875,0.91796875,0.47265625,1.671875,0.41796875,0.68359375,0.720703125,0.921875,0.52734375
42.5,0.34375,0.796875,0.91796875,0.47265625,1.671875,0.41796875,0.68359375,0.720703125,0.921875,0.52734375
45.0,0.34375,0.796875,0.91796875,0.47265625,1.671875,0.41796875,0.68359375,0.720703125,0.921875,0.52734375
47.5,0.34375,0.796875,0.91796875,0.47265625,1.5485491071428572,0.41796875,0.68359375,0.720703125,0.921875,0.52734375
49.0,0.34375,0.796875,0.91796875,0.47265625,1.4252232142857142,0.41796875,0.68359375,0.720703125,0.84375,0.52734375
50.0,0.34375,0.796875,0.91796875,0.47265625,1.3018973214285714,0.41796875,0.68359375,0.720703125,0.765625,0.52734375
51.0,0.34375,0.796875,0.91796875,0.47265625,1.1785714285714286,0.41796875,0.68359375,0.7176649305555556,0.66796875,0.52734375
52.5,0.34375,0.796875,0.91796875,0.47265625,1.0552455357142856,0.41796875,0.68359375,0.7146267361111112,0.5703125,0.52734375
54.0,0.34375,0.796875,0.91796875,0.47265625,0.9319196428571428,0.41796875,0.68359375,0.7115885416666666,0.501953125,0.52734375
55.0,0.34375,0.796875,0.91796875,0.47265625,0.80859375,0.41796875,0.68359375,0.7085503472222222,0.43359375,0.52734375
55.5,0.34375,0.796875,0.91796875,0.47265625,0.814453125,0.41796875,0.68359375,0.7055121527777778,0.42421875,0.515625
56.0,0.34375,0.796875,0.91796875,0.47265625,0.8203125,0.41796875,0.68359375,0.7024739583333334,0.41484375,0.50390625
56.5,0.34375,0.796875,0.91796875,0.47265625,0.826171875,0.41796875,0.68359375,0.6994357638888888,0.40546875,0.4921875
57.0,0.34375,0.796875,0.91796875,0.47265625,0.83203125,0.41796875,0.68359375,0.6963975694444444,0.39609375,0.48046875
57.5,0.34375,0.796875,0.91796875,0.47265625,0.837890625,0.41796875,0.68359375,0.693359375,0.38671875,0.46875
58.0,0.34375,0.796875,0.91796875,0.47265625,0.84375,0.41796875,0.68359375,0.6125,0.37890625,0.441796875
58.5,0.34375,0.796875,0.91796875,0.47265625,0.849609375,0.41796875,0.68359375,0.531640625,0.37109375,0.41484375
59.0,0.34375,0.796875,0.91796875,0.47265625,0.85546875,0.41796875,0.68359375,0.45078125,0.36328125,0.387890625
59.5,0.34375,0.796875,0.91796875,0.47265625,0.861328125,0.41796875,0.68359375,0.369921875,0.35546875,0.3609375
60.0,0.34375,0.796875,0.91796875,0.47265625,0.8671875,0.41796875,0.68359375,0.2890625,0.34765625,0.333984375
60.5,0.34375,0.8125,0.91796875,0.47265625,0.84921875,0.41796875,0.6669921875,0.3421875,0.35546875,0.329296875
61.0,0.34375,0.828125,0.91796875,0.47265625,0.83125,0.41796875,0.650390625,0.3953125,0.36328125,0.324609375
61.5,0.34375,0.84375,0.953125,0.47265625,0.81328125,0.41796875,0.6337890625,0.4484375,0.37109375,0.319921875
62.0,0.34375,0.859375,0.98828125,0.47265625,0.7953125,0.41796875,0.6171875,0.5015625,0.37890625,0.315234375
62.5,0.34375,0.875,1.0234375,0.47265625,0.77734375,0.41796875,0.6005859375,0.5546875,0.38671875,0.310546875
63.0,0.34375,0.9046875,0.859375,0.47265625,0.759375,0.41796875,0.583984375,0.52734375,0.378125,0.3390625
63.5,0.34375,0.934375,0.6953125,0.47265625,0.74140625,0.41796875,0.5673828125,0.5,0.36953125,0.367578125
64.0,0.34375,0.9640625,0.53125,0.47265625,0.7234375,0.41796875,0.55078125,0.47265625,0.3609375,0.39609375
64.5,0.34375,0.99375,0.5703125,0.47265625,0.70546875,0.41796875,0.5341796875,0.4453125,0.35234375,0.424609375
65.0,0.34375,1.0234375,1.00390625,0.47265625,0.6875,0.41796875,0.517578125,0.41796875,0.34375,0.453125
65.5,0.34375,1.1953125,0.896484375,0.47265625,0.672265625,0.41796875,0.4889322916666667,0.4171875,0.362890625,0.4541015625
66.0,0.34375,1.3671875,0.7890625,0.47265625,0.65703125,0.41796875,0.4602864583333333,0.41640625,0.38203125,0.455078125
66.5,0.34375,0.87109375,0.681640625,0.47265625,0.641796875,0.41796875,0.431640625,0.415625,0.401171875,0.4560546875
67.0,0.34375,1.0546875,0.57421875,0.47265625,0.6265625,0.41796875,0.4029947916666667,0.41484375,0.4203125,0.45703125
67.5,0.34375,1.076171875,0.71484375,0.47265625,0.611328125,0.41796875,0.37434895833333337,0.4140625,0.439453125,0.4580078125
68.0,0.34375,1.09765625,0.85546875,0.47265625,0.56484375,0.41796875,0.345703125,0.398046875,0.42421875,0.441015625
68.5,0.34375,0.9765625,0.51171875,0.34375,0.518359375,0.41796875,0.3759765625,0.38203125,0.408984375,0.4240234375
69.0,0.34375,0.7578125,0.46875,0.552734375,0.471875,0.41796875,0.40625,0.366015625,0.39375,0.40703125
69.5,0.34375,0.56640625,0.453125,0.58203125,0.425390625,0.41796875,0.4365234375,0.35,0.378515625,0.3900390625
70.0,0.34375,0.375,0.71484375,0.69140625,0.37890625,0.41796875,0.466796875,0.333984375,0.36328125,0.373046875
70.5,0.34375,0.34375,0.646484375,0.4921875,0.375390625,0.287109375,0.4645182291666667,0.3359375,0.3580078125,0.372265625
71.0,0.34375,0.3125,0.578125,0.546875,0.371875,0.37890625,0.4622395833333333,0.337890625,0.352734375,0.371484375
71.5,0.34375,0.33984375,0.458984375,0.421875,0.368359375,0.3125,0.4599609375,0.33984375,0.3474609375,0.370703125
72.0,0.34375,0.3671875,0.33984375,0.494140625,0.36484375,0.466796875,0.4576822916666667,0.341796875,0.3421875,0.369921875
72.5,0.34375,0.484375,0.57421875,0.4453125,0.361328125,0.447265625,0.4554036458333333,0.34375,0.3369140625,0.369140625
73.0,0.359375,0.32421875,0.36328125,0.453125,0.3609375,0.4765625,0.453125,0.34375,0.336328125,0.3650390625
73.5,0.296875,0.45703125,0.4375,0.51953125,0.360546875,0.4765625,0.4619140625,0.34375,0.3357421875,0.3609375
