strike,2021-03-19,2021-03-26,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-06-18
8.0,1.875,1.53125,1.453125,1.5,1.46875,1.625,1.46875,1.421875
10.0,1.875,1.53125,1.453125,1.5,1.46875,1.625,1.46875,1.421875
11.0,1.875,1.53125,1.453125,1.5,1.46875,1.546875,1.46875,1.421875
12.0,1.875,1.53125,1.453125,1.5,1.46875,1.46875,1.46875,1.3828125
13.0,1.875,1.53125,1.453125,1.5,1.46875,1.40625,1.46875,1.453125
14.0,1.875,1.53125,1.453125,1.4375,1.46875,1.4375,1.46875,1.3671875
15.0,1.875,1.53125,1.453125,1.34375,1.4375,1.4375,1.46875,1.4609375
16.0,1.875,1.53125,1.453125,1.375,1.390625,1.4375,1.46875,1.5078125
17.0,1.875,1.53125,1.453125,1.28125,1.40625,1.28125,1.46875,1.4375
17.5,1.875,1.53125,1.453125,1.21875,1.41796875,1.3046875,1.46875,1.48046875
18.0,1.875,1.53125,1.453125,1.15625,1.4296875,1.328125,1.4296875,1.5234375
18.5,1.875,1.53125,1.453125,1.1979166666666667,1.421875,1.3515625,1.34375,1.501953125
19.0,1.875,1.53125,1.453125,1.2395833333333333,1.4140625,1.390625,1.4244791666666667,1.48046875
19.5,1.875,1.53125,1.453125,1.28125,1.41796875,1.4140625,1.5052083333333333,1.533203125
20.0,1.875,1.53125,1.453125,1.28125,1.421875,1.5,1.5859375,1.5859375
20.5,1.875,1.53125,1.453125,1.15625,1.4453125,1.3125,1.5390625,1.57421875
21.0,1.875,1.53125,1.453125,1.1484375,1.46875,1.5234375,1.4921875,1.5625
21.5,1.875,1.53125,1.453125,1.40625,1.4765625,1.40625,1.4453125,1.546875
22.0,1.75,1.53125,1.453125,1.3125,1.484375,1.3125,1.3984375,1.53125
22.5,1.375,1.53125,1.453125,1.15625,1.49609375,1.34375,1.4231770833333333,1.5234375
23.0,1.375,1.53125,1.453125,1.3828125,1.5078125,1.453125,1.4479166666666667,1.515625
23.5,1.3125,1.53125,1.453125,1.328125,1.52734375,1.34375,1.47265625,1.501953125
24.0,1.25,1.53125,1.453125,1.453125,1.546875,1.390625,1.619140625,1.48828125
24.5,1.3125,1.53125,1.44921875,1.296875,1.55859375,1.4296875,1.765625,1.587890625
25.0,1.3125,1.53125,1.4453125,1.5234375,1.5703125,1.4375,1.52734375,1.6875
25.5,1.46875,1.53125,1.45703125,1.4296875,1.607421875,1.4453125,1.51953125,1.66015625
26.0,1.40625,1.53125,1.46875,1.359375,1.64453125,1.49609375,1.51171875,1.6328125
26.5,1.40625,1.53125,1.421875,1.2864583333333333,1.634765625,1.423828125,1.50390625,1.626953125
27.0,1.5,1.53125,1.375,1.2135416666666667,1.625,1.3515625,1.734375,1.62109375
27.5,1.5,1.53125,1.4375,1.140625,1.6328125,1.412109375,1.6953125,1.611328125
28.0,1.5,1.53125,1.5,1.5859375,1.640625,1.47265625,1.65625,1.6015625
28.5,1.5,1.5,1.2734375,1.4375,1.619140625,1.478515625,1.6171875,1.5703125
29.0,1.5,1.359375,1.046875,1.4140625,1.59765625,1.484375,1.578125,1.5390625
29.5,1.5,1.328125,1.390625,1.453125,1.6640625,1.625,1.640625,1.56640625
30.0,1.5,1.640625,1.734375,1.4921875,1.73046875,1.4375,1.703125,1.59375
30.5,1.5,1.6796875,1.6171875,1.48046875,1.634765625,1.4296875,1.53125,1.609375
31.0,1.5,1.640625,1.5,1.46875,1.5390625,1.421875,1.359375,1.625
31.5,1.5,1.5,1.515625,1.234375,1.4296875,1.375,1.359375,1.640625
32.0,1.5,1.359375,1.53125,1.0,1.3203125,1.328125,1.359375,1.65625
32.5,1.5,1.2109375,1.537109375,1.1375,1.359375,1.421875,1.359375,1.671875
33.0,1.5,1.0625,1.54296875,1.275,1.3984375,1.515625,1.359375,1.6875
33.5,1.5,1.1171875,1.548828125,1.4125,1.52734375,1.609375,1.359375,1.703125
34.0,1.5,1.171875,1.5546875,1.55,1.65625,1.703125,1.359375,1.71875
35.0,1.5,1.2265625,1.560546875,1.6875,1.78515625,1.5234375,1.359375,1.734375
36.0,1.5,1.28125,1.56640625,1.703125,1.9140625,1.5442708333333333,1.359375,1.75
37.0,1.5,1.3359375,1.572265625,1.71875,1.359375,1.5651041666666667,1.359375,1.765625
38.0,1.5,1.390625,1.578125,1.71875,1.46875,1.5859375,1.359375,1.78125
39.0,1.5,1.4453125,1.6015625,1.71875,1.703125,1.64453125,1.359375,1.796875
40.0,1.5,1.5,1.625,1.71875,1.640625,1.64453125,1.359375,1.8125
41.0,1.5,1.5,1.625,1.71875,1.8203125,1.64453125,1.359375,1.828125
42.0,1.5,1.5,1.625,1.71875,1.71875,1.64453125,1.359375,1.671875
43.0,1.5,1.5,1.625,1.71875,1.6197916666666667,1.64453125,1.359375,1.875
