contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
USB210319C00047500,2021-03-18 18:57:21,6.0,47.5,8.45,8.8,8.9,call,2021-03-19,0.0027397260273972603,
USB210319C00048000,2021-03-16 13:55:48,4.0,48.0,7.75,8.55,5.32,call,2021-03-19,0.0027397260273972603,
USB210319C00048500,2021-03-15 15:48:14,6.0,48.5,7.45,7.8,4.9,call,2021-03-19,0.0027397260273972603,
USB210319C00049000,2021-03-05 20:51:16,1.0,49.0,6.75,7.45,3.85,call,2021-03-19,0.0027397260273972603,
USB210319C00049500,2021-03-05 17:10:15,5.0,49.5,6.2,6.8,4.2,call,2021-03-19,0.0027397260273972603,
USB210319C00050000,2021-03-18 19:59:16,63.0,50.0,6.05,6.3,6.18,call,2021-03-19,0.0027397260273972603,
USB210319C00050500,2021-03-05 16:44:57,2.0,50.5,5.05,5.95,3.4,call,2021-03-19,0.0027397260273972603,
USB210319C00051000,2021-03-16 13:55:48,1.0,51.0,5.0,5.35,4.75,call,2021-03-19,0.0027397260273972603,
USB210319C00051500,2021-03-11 16:13:14,2.0,51.5,4.6,4.8,3.0,call,2021-03-19,0.0027397260273972603,
USB210319C00052000,2021-03-18 19:57:52,4.0,52.0,4.1,4.3,4.18,call,2021-03-19,0.0027397260273972603,
USB210319C00052500,2021-03-18 19:09:52,126.0,52.5,3.6,3.8,4.01,call,2021-03-19,0.0027397260273972603,1.1875
USB210319C00053000,2021-03-18 14:45:13,5.0,53.0,3.05,3.3,3.5,call,2021-03-19,0.0027397260273972603,1.0625
USB210319C00054000,2021-03-18 18:15:25,296.0,54.0,2.08,2.3,2.01,call,2021-03-19,0.0027397260273972603,
USB210319C00055000,2021-03-18 19:45:10,225.0,55.0,1.1,1.53,1.2,call,2021-03-19,0.0027397260273972603,
USB210319C00056000,2021-03-18 19:45:55,183.0,56.0,0.51,0.58,0.44,call,2021-03-19,0.0027397260273972603,0.25
USB210319C00057000,2021-03-18 19:58:17,74.0,57.0,0.15,0.19,0.16,call,2021-03-19,0.0027397260273972603,0.359375
USB210319C00057500,2021-03-18 16:40:33,47.0,57.5,0.04,0.11,0.27,call,2021-03-19,0.0027397260273972603,0.59375
USB210319C00058000,2021-03-18 16:56:45,28.0,58.0,0.03,0.05,0.06,call,2021-03-19,0.0027397260273972603,0.4375
USB210319C00059000,2021-03-17 14:01:35,1.0,59.0,0.0,0.04,0.03,call,2021-03-19,0.0027397260273972603,0.5625
USB210319C00060000,2021-03-18 19:25:30,2.0,60.0,0.01,0.02,0.02,call,2021-03-19,0.0027397260273972603,0.625
USB210319P00046500,2021-03-16 19:47:46,40.0,46.5,0.0,0.04,0.03,put,2021-03-19,0.0027397260273972603,1.75
USB210319P00047000,2021-03-16 16:40:32,75.0,47.0,0.0,0.03,0.04,put,2021-03-19,0.0027397260273972603,1.75
USB210319P00047500,2021-03-16 18:52:33,1.0,47.5,0.02,0.04,0.01,put,2021-03-19,0.0027397260273972603,1.0
USB210319P00048000,2021-03-05 16:29:00,3.0,48.0,0.0,0.04,0.17,put,2021-03-19,0.0027397260273972603,
USB210319P00048500,2021-03-18 19:42:46,104.0,48.5,0.0,0.04,0.03,put,2021-03-19,0.0027397260273972603,1.375
USB210319P00049000,2021-03-18 13:47:57,35.0,49.0,0.0,0.04,0.01,put,2021-03-19,0.0027397260273972603,1.0
USB210319P00049500,2021-03-18 19:35:02,29.0,49.5,0.0,0.04,0.02,put,2021-03-19,0.0027397260273972603,1.125
USB210319P00050000,2021-03-18 19:47:28,374.0,50.0,0.02,0.04,0.04,put,2021-03-19,0.0027397260273972603,1.25
USB210319P00050500,2021-03-18 17:32:01,101.0,50.5,0.02,0.04,0.02,put,2021-03-19,0.0027397260273972603,1.0
USB210319P00051000,2021-03-18 14:56:24,11.0,51.0,0.02,0.05,0.04,put,2021-03-19,0.0027397260273972603,1.0
USB210319P00051500,2021-03-18 19:24:55,33.0,51.5,0.02,0.05,0.03,put,2021-03-19,0.0027397260273972603,0.875
USB210319P00052000,2021-03-18 19:24:55,18.0,52.0,0.03,0.05,0.04,put,2021-03-19,0.0027397260273972603,0.875
USB210319P00052500,2021-03-17 16:35:31,20.0,52.5,0.03,0.06,0.1,put,2021-03-19,0.0027397260273972603,0.9375
USB210319P00053000,2021-03-18 15:50:43,10.0,53.0,0.04,0.06,0.05,put,2021-03-19,0.0027397260273972603,0.75
USB210319P00054000,2021-03-18 15:30:49,3.0,54.0,0.05,0.08,0.06,put,2021-03-19,0.0027397260273972603,0.5625
USB210319P00055000,2021-03-18 19:11:34,85.0,55.0,0.11,0.14,0.11,put,2021-03-19,0.0027397260273972603,0.4375
USB210319P00056000,2021-03-18 19:42:03,107.0,56.0,0.34,0.38,0.43,put,2021-03-19,0.0027397260273972603,0.46875
USB210319P00057500,2021-02-18 18:24:09,2.0,57.5,1.34,1.88,8.6,put,2021-03-19,0.0027397260273972603,
USB210319P00060000,2021-03-18 15:57:17,1.0,60.0,3.75,4.5,3.09,put,2021-03-19,0.0027397260273972603,
USB210326C00046500,2021-02-11 18:05:17,30.0,46.5,5.7,10.3,2.7,call,2021-03-26,0.021917808219178082,
USB210326C00047000,2021-02-16 15:28:22,1.0,47.0,7.7,10.15,2.78,call,2021-03-26,0.021917808219178082,
USB210326C00047500,2021-02-19 20:05:22,1.0,47.5,7.3,8.85,3.43,call,2021-03-26,0.021917808219178082,
USB210326C00048000,2021-03-03 15:40:16,1.0,48.0,8.0,8.3,4.1,call,2021-03-26,0.021917808219178082,
USB210326C00048500,2021-03-11 16:17:16,5.0,48.5,7.2,8.05,5.55,call,2021-03-26,0.021917808219178082,
USB210326C00049000,2021-02-26 17:30:18,20.0,49.0,6.55,7.65,2.93,call,2021-03-26,0.021917808219178082,
USB210326C00049500,2021-02-26 14:55:03,1.0,49.5,6.6,6.9,2.83,call,2021-03-26,0.021917808219178082,
USB210326C00050000,2021-03-18 19:45:33,1.0,50.0,5.85,6.55,6.05,call,2021-03-26,0.021917808219178082,
USB210326C00050500,2021-03-11 19:51:26,1.0,50.5,5.25,5.9,3.35,call,2021-03-26,0.021917808219178082,
USB210326C00051500,2021-03-16 13:30:05,1.0,51.5,4.3,4.85,2.5,call,2021-03-26,0.021917808219178082,
USB210326C00052000,2021-03-08 15:31:28,5.0,52.0,4.1,4.5,4.45,call,2021-03-26,0.021917808219178082,0.4296875
USB210326C00052500,2021-03-12 20:42:16,2.0,52.5,3.65,3.9,1.53,call,2021-03-26,0.021917808219178082,
USB210326C00053000,2021-03-18 13:41:56,5.0,53.0,3.15,3.45,3.0,call,2021-03-26,0.021917808219178082,
USB210326C00054000,2021-03-18 16:46:32,21.0,54.0,2.2,2.56,3.11,call,2021-03-26,0.021917808219178082,0.5390625
USB210326C00055000,2021-03-18 19:46:58,210.0,55.0,1.78,1.9,1.62,call,2021-03-26,0.021917808219178082,0.25
USB210326C00056000,2021-03-18 14:44:44,52.0,56.0,1.12,1.24,1.56,call,2021-03-26,0.021917808219178082,0.4296875
USB210326C00056500,2021-03-18 18:40:09,29.0,56.5,0.86,1.02,0.95,call,2021-03-26,0.021917808219178082,0.31640625
USB210326C00057000,2021-03-18 18:05:59,23.0,57.0,0.63,0.71,0.82,call,2021-03-26,0.021917808219178082,0.3359375
USB210326C00057500,2021-03-18 14:25:43,15.0,57.5,0.49,0.58,0.56,call,2021-03-26,0.021917808219178082,0.3203125
USB210326C00058000,2021-03-18 18:19:52,189.0,58.0,0.36,0.43,0.46,call,2021-03-26,0.021917808219178082,0.328125
USB210326P00039000,2021-02-08 17:16:57,,39.0,0.0,0.27,0.26,put,2021-03-26,0.021917808219178082,1.5625
USB210326P00042000,2021-02-23 18:28:38,2.0,42.0,0.0,0.03,0.14,put,2021-03-26,0.021917808219178082,1.15625
USB210326P00042500,2021-02-18 15:22:00,,42.5,0.0,0.74,0.3,put,2021-03-26,0.021917808219178082,1.3125
USB210326P00043000,2021-02-18 14:58:20,,43.0,0.0,0.19,0.33,put,2021-03-26,0.021917808219178082,1.296875
USB210326P00043500,2021-02-08 20:29:40,,43.5,0.0,0.2,0.86,put,2021-03-26,0.021917808219178082,1.609375
USB210326P00044000,2021-02-24 18:39:16,4.0,44.0,0.0,1.07,0.18,put,2021-03-26,0.021917808219178082,1.03125
USB210326P00045000,2021-02-26 17:42:46,15.0,45.0,0.0,0.03,0.28,put,2021-03-26,0.021917808219178082,1.078125
USB210326P00045500,2021-02-22 20:03:04,21.0,45.5,0.0,0.03,0.41,put,2021-03-26,0.021917808219178082,1.1328125
USB210326P00046000,2021-03-16 18:50:40,67.0,46.0,0.0,0.03,0.03,put,2021-03-26,0.021917808219178082,0.625
USB210326P00046500,2021-03-16 19:47:42,44.0,46.5,0.0,0.03,0.03,put,2021-03-26,0.021917808219178082,0.625
USB210326P00047000,2021-03-15 18:14:32,10.0,47.0,0.02,0.03,0.03,put,2021-03-26,0.021917808219178082,0.5625
