strike,2021-03-26,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-07-16
4.0,1.25,1.0,1.0625,1.3125,1.28125,1.71875,1.84375
4.5,1.25,1.0,1.0625,1.3125,1.28125,1.71875,1.84375
5.0,1.25,1.0,1.0625,1.3125,1.28125,1.71875,1.84375
5.5,1.25,1.0,1.0625,1.3125,1.28125,1.71875,1.84375
6.0,1.25,1.0,1.0625,1.3125,1.28125,1.71875,1.84375
7.0,1.25,1.0,1.0625,1.3125,1.28125,1.71875,1.8385416666666667
8.0,1.25,1.0,1.0625,1.3125,1.28125,1.71875,1.8333333333333333
9.0,1.25,1.0,1.0625,1.3125,1.28125,1.71875,1.828125
10.0,1.25,1.0,1.0625,1.3125,1.28125,1.71875,1.2265625
10.5,1.25,1.0,1.0625,0.90625,1.28125,1.71875,1.3515625
11.0,1.25,1.0,1.0625,0.5,1.28125,1.71875,1.4765625
11.5,1.25,1.0,1.0625,0.78125,1.28125,1.71875,1.390625
12.0,1.25,1.0,1.0625,1.0625,1.28125,1.71875,1.3046875
13.0,1.25,1.0,1.0625,1.125,1.28125,1.71875,1.2265625
13.5,1.25,0.9427083333333334,1.0625,1.078125,1.28125,1.71875,1.28125
14.0,1.25,0.8854166666666666,1.0625,1.03125,1.28125,1.71875,1.3359375
14.5,1.25,0.828125,1.0625,1.05859375,1.203125,1.71875,1.25
15.0,1.125,0.7708333333333334,1.0625,1.0859375,1.125,1.71875,1.1640625
15.5,1.0,0.7135416666666667,1.0625,1.05078125,1.40625,1.71875,1.166015625
16.0,0.875,0.65625,1.171875,1.015625,1.21875,1.71875,1.16796875
16.5,0.9375,0.8125,1.21875,1.19921875,1.78125,1.5625,1.16015625
17.0,0.71875,0.96875,1.265625,1.3828125,1.28125,1.40625,1.15234375
17.5,0.84375,0.96875,1.03125,1.25,1.953125,1.5078125,1.197265625
18.0,0.921875,0.96875,1.109375,1.1171875,1.2265625,1.609375,1.2421875
18.5,0.953125,0.9765625,1.1796875,1.1484375,1.203125,1.3359375,1.23046875
19.0,0.953125,0.984375,1.140625,1.1796875,1.3359375,1.4609375,1.21875
19.5,1.0,1.046875,1.0625,1.1953125,1.2578125,1.3671875,1.228515625
20.0,1.0,1.109375,1.0234375,1.2109375,1.2578125,1.3125,1.23828125
20.5,1.046875,1.125,1.1015625,1.1953125,1.859375,1.3203125,1.236328125
21.0,1.0625,1.140625,1.109375,1.1796875,1.28125,1.3984375,1.234375
21.5,1.09375,1.171875,1.1875,1.18896484375,1.265625,0.9765625,1.208984375
22.0,1.109375,1.171875,1.1484375,1.1982421875,1.2734375,1.5390625,1.18359375
22.5,1.15625,1.1875,1.2265625,1.20751953125,1.5078125,1.28125,1.205078125
23.0,1.21875,1.1875,1.1875,1.216796875,1.3671875,1.3359375,1.2265625
23.5,1.234375,1.234375,1.4296875,1.22607421875,1.41015625,1.3984375,1.279296875
24.0,1.25,1.25,1.1875,1.2353515625,1.453125,1.3984375,1.33203125
24.5,1.3125,1.28125,1.21875,1.24462890625,1.453125,1.3984375,1.336328125
25.0,1.375,1.28125,1.25,1.25390625,1.453125,1.3984375,1.340625
25.5,1.4204545454545454,1.4375,1.25,1.26318359375,1.453125,1.3984375,1.344921875
26.0,1.4659090909090908,1.4375,1.25,1.2724609375,1.453125,1.3984375,1.34921875
26.5,1.5113636363636362,1.5625,1.25,1.28173828125,1.453125,1.3984375,1.353515625
27.0,1.5568181818181819,1.4375,1.25,1.291015625,1.453125,1.3984375,1.3578125
27.5,1.6022727272727273,1.875,1.25,1.30029296875,1.453125,1.3984375,1.362109375
28.0,1.6477272727272727,1.46875,1.25,1.3095703125,1.453125,1.3984375,1.36640625
28.5,1.6931818181818181,1.53125,1.25,1.31884765625,1.453125,1.3984375,1.370703125
29.0,1.7386363636363638,1.59375,1.25,1.328125,1.453125,1.3984375,1.375
29.5,1.7840909090909092,1.546875,1.25,1.375,1.453125,1.3984375,1.36328125
30.0,1.8295454545454546,1.5,1.25,1.421875,1.453125,1.3984375,1.3515625
30.5,1.875,1.875,1.25,1.4375,1.453125,1.3984375,1.380859375
31.0,1.875,1.8125,1.25,1.453125,1.453125,1.3984375,1.41015625
31.5,1.8541666666666667,1.9921875,1.25,1.4765625,1.453125,1.3984375,1.4453125
32.0,1.8333333333333333,1.75,1.25,1.5,1.453125,1.3984375,1.48046875
32.5,1.8125,1.71875,1.25,1.515625,1.453125,1.3984375,1.484375
33.0,1.7916666666666667,1.6875,1.25,1.53125,1.453125,1.3984375,1.48828125
34.0,1.7708333333333333,1.6875,1.25,1.578125,1.453125,1.3984375,1.5078125
35.0,1.75,1.6875,1.25,1.609375,1.453125,1.3984375,1.421875
36.0,1.75,1.6875,1.25,1.734375,1.453125,1.3984375,1.5234375
37.0,1.75,1.6875,1.25,1.71875,1.453125,1.3984375,1.4296875
38.0,1.75,1.6875,1.25,1.71875,1.453125,1.3984375,1.58203125
39.0,1.75,1.6875,1.25,1.65625,1.453125,1.3984375,1.328125
40.0,1.75,1.6875,1.25,1.59375,1.453125,1.3984375,1.45703125
41.0,1.75,1.6875,1.25,1.75,1.453125,1.3984375,1.4453125
42.0,1.75,1.6875,1.25,1.671875,1.453125,1.3984375,1.37109375
43.0,1.75,1.6875,1.25,1.765625,1.453125,1.3984375,1.59765625
44.0,1.75,1.6875,1.25,1.78125,1.453125,1.3984375,1.48828125
45.0,1.75,1.6875,1.25,1.796875,1.453125,1.3984375,1.4765625
46.0,1.75,1.6875,1.25,1.984375,1.453125,1.3984375,1.4921875
47.0,1.75,1.6875,1.25,1.75,1.453125,1.3984375,1.5078125
48.0,1.75,1.6875,1.25,1.78125,1.453125,1.3984375,1.5
