strike,2021-03-26,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-06-18
8.0,0.5625,0.4375,0.4375,0.875,0.4375,1.328125,0.65625
9.0,0.5625,0.4375,0.4375,0.875,0.4375,0.9375,0.65625
9.5,0.5625,0.4375,0.4375,0.78125,0.4375,0.8125,0.5859375
10.0,0.5625,0.4375,0.4375,0.6875,0.4375,0.6875,0.515625
10.5,0.5625,0.4375,0.4375,0.6171875,0.4375,0.59375,0.5
11.0,0.5625,0.4375,0.4375,0.546875,0.4375,0.640625,0.484375
11.5,0.5625,0.4375,0.4375,0.515625,0.4375,0.5,0.47265625
12.0,0.5625,0.4375,0.4375,0.484375,0.4375,0.5,0.4609375
12.5,0.5625,0.4375,0.4375,0.453125,0.4375,0.5,0.45703125
13.0,0.4375,0.4375,0.4375,0.421875,0.4375,0.515625,0.453125
13.5,0.40625,0.4375,0.4375,0.421875,0.4375,0.484375,0.4453125
14.0,0.4375,0.4375,0.4375,0.421875,0.4375,0.46875,0.4375
14.5,0.5,0.46875,0.4375,0.4375,0.4375,0.4921875,0.44140625
15.0,0.625,0.53125,0.46875,0.453125,0.453125,0.5,0.4453125
15.5,0.5,0.5625,0.53125,0.4921875,0.46875,0.515625,0.453125
16.0,0.75,0.625,0.5625,0.53125,0.5,0.515625,0.4609375
16.5,0.875,0.6875,0.5625,0.546875,0.5,0.53125,0.46484375
17.0,0.5,0.75,0.625,0.5625,0.53125,0.5625,0.46875
17.5,1.0,0.75,0.6875,0.59375,0.5625,0.59375,0.484375
18.0,1.0,0.875,0.75,0.625,0.59375,0.625,0.5
18.5,1.0,0.875,0.6875,0.6875,0.625,0.65625,0.5078125
19.0,1.0,1.0,0.75,0.75,0.625,0.6875,0.515625
19.5,1.0,1.0,0.875,0.75,0.625,0.71875,0.5234375
20.0,1.0,1.0,0.875,0.75,0.625,0.75,0.53125
20.5,1.0,1.0,0.875,0.75,0.6875,0.75,0.546875
21.0,1.5,1.0,1.0,0.75,0.75,0.75,0.5625
22.0,1.75,1.0,1.0,0.875,0.75,0.75,0.59375
23.0,1.75,1.25,1.125,0.875,0.75,0.75,0.625
24.0,1.75,1.375,1.0,1.0,0.5,0.75,0.625
25.0,1.75,1.0,1.0,1.0,0.875,0.75,0.625
26.0,1.75,1.3125,1.3125,1.0,1.0,0.75,0.6875
27.0,1.75,1.625,1.25,1.125,1.0,0.75,0.6875
