strike,2021-04-16,2021-05-21,2021-08-20
1.0,1.0,0.75,1.46875
2.0,1.0,0.75,1.46875
3.0,1.0,0.75,1.46875
3.5,0.875,0.75,1.46875
4.0,0.75,0.75,1.03125
4.5,0.625,0.75,0.890625
5.0,0.5,0.75,0.84375
5.5,0.375,0.75,0.875
6.0,0.25,0.78125,0.8515625
7.0,0.84375,0.90625,0.921875
8.0,0.9375,0.96875,0.9375
9.0,1.09375,1.0625,1.015625
10.0,1.1875,1.09375,1.109375
11.0,1.1875,1.15625,0.9921875
12.0,1.375,1.1875,1.1171875
13.0,1.625,1.21875,1.1640625
14.0,1.625,1.359375,1.1875
15.0,1.625,1.34375,1.171875
16.0,1.875,1.46875,1.296875
17.0,1.9375,1.40625,1.328125
18.0,1.9375,1.625,1.2265625
19.0,1.9375,1.4375,1.3125
20.0,1.9375,1.5,1.265625
