strike,2021-04-16,2021-07-16
22.5,0.74609375,0.181640625
25.0,0.74609375,0.181640625
27.5,0.74609375,0.181640625
30.0,0.74609375,0.181640625
32.5,0.74609375,0.181640625
35.0,0.74609375,0.181640625
37.5,0.74609375,0.181640625
40.0,0.74609375,0.181640625
42.5,0.74609375,0.181640625
45.0,0.74609375,0.181640625
47.5,0.74609375,0.181640625
50.0,0.74609375,0.181640625
52.5,0.74609375,0.181640625
55.0,0.74609375,0.181640625
57.5,0.515625,0.181640625
60.0,0.28515625,0.181640625
62.5,0.1875,0.1337890625
65.0,0.169921875,0.15234375
67.5,0.15625,0.16015625
70.0,0.15625,0.17578125
75.0,0.25,0.15234375
