strike,2021-04-16,2021-07-16
22.5,1.8125,0.5234375
25.0,1.75,0.5234375
27.5,1.828125,0.5234375
30.0,1.34375,0.5234375
32.5,1.125,0.5234375
35.0,1.0,0.5234375
37.5,1.234375,0.5234375
40.0,1.015625,0.5234375
42.5,0.796875,0.52734375
45.0,0.640625,0.4140625
47.5,0.671875,0.3671875
50.0,0.5625,0.34765625
52.5,0.453125,0.3125
55.0,0.34375,0.294921875
57.5,0.296875,0.2265625
60.0,0.2421875,0.21875
62.5,0.24609375,0.216796875
65.0,0.1875,0.2109375
67.5,0.16796875,0.2255859375
70.0,0.16796875,0.240234375
75.0,0.16796875,0.240234375
