strike,2021-03-26,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-06-18
8.0,1.3125,1.28125,1.5625,1.84375,1.1875,1.8671875,1.34375
10.0,1.3125,1.28125,1.5625,1.84375,1.1875,1.8671875,1.34375
11.0,1.3125,1.28125,1.5625,1.84375,1.1875,1.8671875,1.34375
12.0,1.3125,1.28125,1.5625,1.84375,1.1875,1.8671875,1.328125
13.0,1.3125,1.28125,1.5625,1.84375,1.18359375,1.8671875,1.265625
14.0,1.3125,1.28125,1.578125,1.84375,1.1796875,1.8671875,1.3828125
15.0,1.3125,1.28125,1.59375,1.765625,1.17578125,1.8671875,1.359375
16.0,1.3125,1.28125,1.609375,1.6875,1.171875,1.8671875,1.3046875
17.0,1.3125,1.28125,1.6588541666666667,1.171875,1.1919642857142858,1.8671875,1.71875
17.5,1.3125,1.28125,1.7083333333333333,1.140625,1.2120535714285714,1.8671875,1.63671875
18.0,1.3125,1.28125,1.7578125,1.109375,1.2321428571428572,1.8671875,1.5546875
18.5,1.3125,1.28125,1.626953125,1.1796875,1.2522321428571428,1.8671875,1.583984375
19.0,1.3125,1.28125,1.49609375,1.25,1.2723214285714286,1.8671875,1.61328125
19.5,1.3125,1.28125,1.365234375,1.25,1.2924107142857144,1.8671875,1.59765625
20.0,1.3125,1.28125,1.234375,1.25,1.3125,1.8671875,1.58203125
20.5,1.3125,1.28125,1.984375,1.3046875,1.63671875,1.8671875,1.498046875
21.0,1.3125,1.28125,1.375,1.359375,1.9609375,1.8671875,1.4140625
21.5,1.3125,1.28125,1.515625,1.328125,1.86328125,1.8671875,1.46484375
22.0,1.3125,1.28125,1.4765625,1.296875,1.765625,1.8671875,1.515625
22.5,1.3125,1.28125,1.859375,1.3203125,1.796875,1.8671875,1.48046875
23.0,1.3125,1.28125,1.484375,1.34375,1.65625,1.8671875,1.4453125
23.5,1.3125,1.28125,1.5078125,1.42578125,1.609375,1.734375,1.482421875
24.0,1.3125,1.28125,1.3125,1.5078125,1.5625,1.6015625,1.51953125
24.5,1.3125,1.28125,1.4296875,1.4765625,1.59375,1.46875,1.501953125
25.0,1.3125,1.28125,1.3671875,1.4453125,1.578125,1.53125,1.484375
25.5,1.3125,1.296875,1.3984375,1.453125,1.5625,1.56640625,1.498046875
26.0,1.3125,1.3125,1.3515625,1.4609375,1.5,1.671875,1.51171875
26.5,1.3125,1.3359375,1.3645833333333333,1.4765625,1.5703125,1.6171875,1.51953125
27.0,1.3125,1.359375,1.3776041666666667,1.4921875,1.5625,1.5390625,1.52734375
27.5,1.3125,1.3828125,1.390625,1.49609375,1.6640625,1.6328125,1.556640625
28.0,1.3125,1.40625,1.4453125,1.5,1.546875,1.6640625,1.5859375
28.5,1.3125,1.4296875,1.4609375,1.51953125,1.6484375,1.78125,1.572265625
29.0,1.359375,1.453125,1.4921875,1.5390625,1.6796875,1.578125,1.55859375
29.5,1.375,1.47265625,1.7578125,1.56640625,1.71484375,1.6015625,1.552734375
30.0,1.421875,1.4921875,1.5625,1.59375,1.609375,1.625,1.546875
30.5,1.46875,1.515625,1.609375,1.62890625,1.630859375,1.7109375,1.5721354166666666
31.0,1.5,1.5390625,1.5703125,1.6640625,1.65234375,1.6640625,1.5973958333333333
31.5,1.5,1.56640625,1.6328125,1.671875,1.701171875,1.77734375,1.62265625
32.0,1.5,1.59375,1.5859375,1.6796875,1.75,1.890625,1.6479166666666667
32.5,1.53125,1.6171875,1.64453125,1.6796875,1.6328125,1.833984375,1.6731770833333333
33.0,1.5625,1.640625,1.703125,1.6796875,1.6979166666666667,1.77734375,1.6984375
33.5,1.59375,1.671875,1.8046875,1.697265625,1.7630208333333333,1.7578125,1.7236979166666666
34.0,1.625,1.703125,1.76171875,1.71484375,1.828125,1.73828125,1.7489583333333334
35.0,1.6875,1.75,1.71875,1.732421875,1.875,1.71875,1.77421875
36.0,1.6875,1.78125,1.81640625,1.75,1.8671875,1.8828125,1.7994791666666667
37.0,1.75,1.8125,1.9140625,1.7890625,1.8046875,1.8828125,1.8247395833333333
38.0,1.8125,1.84375,1.859375,1.859375,1.90625,1.8828125,1.85
39.0,1.875,1.90625,1.84375,1.8671875,1.875,1.8828125,1.8752604166666667
40.0,1.9375,1.953125,1.859375,1.8828125,1.875,1.8828125,1.9005208333333332
41.0,1.9375,1.953125,1.8984375,1.921875,1.875,1.8828125,1.92578125
42.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.6875
43.0,1.9375,1.953125,1.9375,1.9453125,1.875,1.8828125,1.67578125
44.0,1.9375,1.953125,1.9375,1.99609375,1.875,1.8828125,1.74609375
45.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.65234375
46.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.77734375
47.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.6796875
48.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.8203125
49.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.9609375
50.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.74609375
55.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.77734375
55.5,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7777777777777777
56.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7782118055555556
56.5,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7786458333333333
57.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7790798611111112
57.5,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7795138888888888
58.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7799479166666667
58.5,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7803819444444444
59.5,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7808159722222223
60.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.78125
60.5,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7796875
61.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.778125
61.5,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7765625
62.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.775
62.5,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7734375
63.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.771875
63.5,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7703125
64.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.76875
64.5,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7671875
65.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.765625
65.5,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.77734375
66.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.7890625
67.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.80078125
68.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.8125
69.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.82421875
70.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.8359375
71.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.85625
72.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.8765625
73.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.896875
74.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.9171875
75.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.9375
76.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.9287109375
77.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.919921875
78.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.9111328125
80.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.90234375
85.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.87890625
90.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.9166666666666667
95.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.9544270833333333
100.0,1.9375,1.953125,1.9375,1.96875,1.875,1.8828125,1.9921875
