,AAPL,APHA,BAC,C,GE,HEXO,IWM,JPM,MS,MSFT,TD,TLRY,TSLA,USB,XLE,XLV
AAPL,0.14997812817623069,0.060764551727404206,0.046225564508713235,0.05401274250739485,0.03139573861777346,0.06984646113091192,0.06134205150908275,0.036656086547920845,0.06126055325119235,0.09608337116729486,0.042612317134444605,0.07841618399303084,0.15453139309861988,0.03638255607029658,0.04692720226697558,0.04594916103779533
APHA,0.060764551727404206,1.0113395196797514,0.10665175590305528,0.14269058362908915,0.14000516053673678,0.7678610617100913,0.11059029764468156,0.09563039648343669,0.11278724126039849,0.046014839997365636,0.0821555356576599,1.1834218595491253,0.19918492935415588,0.10805334640755238,0.14600570043841765,0.05157230087837658
BAC,0.046225564508713235,0.10665175590305528,0.2200965513648013,0.23328512724734052,0.17444092554719964,0.1367406674177107,0.1203842694285996,0.18661256358587924,0.17470767673383453,0.0436586757202966,0.12443332525767394,0.17503865362104157,0.06264669334462487,0.2080330789417352,0.18231811035684625,0.05422115513060518
C,0.05401274250739485,0.14269058362908915,0.23328512724734052,0.29468558053625193,0.20517012530934128,0.17986007147637245,0.13935827727683833,0.20389493286864974,0.19516670646696188,0.051008373860785064,0.1458201931040307,0.21929041209475986,0.07416940035688506,0.23133967185973034,0.20704358566996026,0.05815443828224886
GE,0.03139573861777346,0.14000516053673678,0.17444092554719964,0.20517012530934128,0.3030719240817035,0.19980371766564264,0.11542914125436857,0.15567341416068634,0.1605026757829938,0.027247964700296064,0.12452797998320458,0.1912395101743571,0.0496421447838758,0.17531904965071313,0.18487684053261183,0.05194732350049899
HEXO,0.06984646113091192,0.7678610617100913,0.1367406674177107,0.17986007147637245,0.19980371766564264,1.656273820972475,0.13241610472182333,0.11594858375506675,0.11489790640150149,0.039831767387434915,0.11795732392199469,1.2560322117737848,0.1375346407991199,0.1671919155312451,0.14470673101183842,0.044082952780910345
IWM,0.06134205150908275,0.11059029764468156,0.1203842694285996,0.13935827727683833,0.11542914125436857,0.13241610472182333,0.10694832872196869,0.10538907404642536,0.11066703187409095,0.05495609005646811,0.08456919133569551,0.156211556027311,0.09719231633312819,0.1212570975910333,0.12431816900502786,0.04995737676148699
JPM,0.036656086547920845,0.09563039648343669,0.18661256358587924,0.20389493286864974,0.15567341416068634,0.11594858375506675,0.10538907404642536,0.17752726154882803,0.1556697176654544,0.036317805252820176,0.11040929917234232,0.15036801208047335,0.04934558954813765,0.18699375907831145,0.158352702490941,0.047740929976802585
MS,0.06126055325119235,0.11278724126039849,0.17470767673383453,0.19516670646696188,0.1605026757829938,0.11489790640150149,0.11066703187409095,0.1556697176654544,0.1880099905333454,0.05408023373304638,0.11552424163157864,0.14927255442932655,0.0849192018009238,0.16634602238781132,0.1605438901942526,0.05748241876200712
MSFT,0.09608337116729486,0.046014839997365636,0.0436586757202966,0.051008373860785064,0.027247964700296064,0.039831767387434915,0.05495609005646811,0.036317805252820176,0.05408023373304638,0.1072898736289682,0.03853007411772892,0.05626100623311083,0.12658401076060358,0.03389469139855827,0.04661606333951353,0.049524981180928095
TD,0.042612317134444605,0.0821555356576599,0.12443332525767394,0.1458201931040307,0.12452797998320458,0.11795732392199469,0.08456919133569551,0.11040929917234232,0.11552424163157864,0.03853007411772892,0.11224879306531056,0.10111172567277553,0.08008637180030437,0.12264598018922639,0.12479442590531269,0.03993698211186183
TLRY,0.07841618399303084,1.1834218595491253,0.17503865362104157,0.21929041209475986,0.1912395101743571,1.2560322117737848,0.156211556027311,0.15036801208047335,0.14927255442932655,0.05626100623311083,0.10111172567277553,2.426380745304601,0.17417345033377118,0.20742051165289224,0.19794977878698003,0.06273636666001645
TSLA,0.15453139309861988,0.19918492935415588,0.06264669334462487,0.07416940035688506,0.0496421447838758,0.1375346407991199,0.09719231633312819,0.04934558954813765,0.0849192018009238,0.12658401076060358,0.08008637180030437,0.17417345033377118,0.6077019770354486,0.046452158901923404,0.07524507484911555,0.05949703486892889
USB,0.03638255607029658,0.10805334640755238,0.2080330789417352,0.23133967185973034,0.17531904965071313,0.1671919155312451,0.1212570975910333,0.18699375907831145,0.16634602238781132,0.03389469139855827,0.12264598018922639,0.20742051165289224,0.046452158901923404,0.23776691884140455,0.17593808596683658,0.051306152802970864
XLE,0.04692720226697558,0.14600570043841765,0.18231811035684625,0.20704358566996026,0.18487684053261183,0.14470673101183842,0.12431816900502786,0.158352702490941,0.1605438901942526,0.04661606333951353,0.12479442590531269,0.19794977878698003,0.07524507484911555,0.17593808596683658,0.24669677222588618,0.05866917614791742
XLV,0.04594916103779533,0.05157230087837658,0.05422115513060518,0.05815443828224886,0.05194732350049899,0.044082952780910345,0.04995737676148699,0.047740929976802585,0.05748241876200712,0.049524981180928095,0.03993698211186183,0.06273636666001645,0.05949703486892889,0.051306152802970864,0.05866917614791742,0.04855343629097965
