strike,2021-03-26,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-07-16
4.0,1.0,1.0,0.765625,1.5,0.9765625,1.125,1.28125,1.703125
4.5,1.0,1.0,0.765625,1.5,0.9765625,1.125,1.28125,1.703125
5.0,1.0,1.0,0.765625,1.5,0.9765625,1.125,1.28125,1.703125
5.5,1.0,1.0,0.765625,1.5,0.9765625,1.125,1.28125,1.4140625
6.0,1.0,1.0,0.765625,1.0,0.9765625,1.125,1.28125,1.125
7.0,1.0,1.0,0.765625,1.0,0.9765625,1.125,1.28125,1.09375
8.0,1.0,1.0,0.765625,1.625,0.9765625,1.125,1.28125,1.328125
9.0,1.0,1.0,0.765625,1.375,0.9765625,1.125,1.28125,1.125
10.0,1.0,1.0,0.765625,1.125,0.9765625,1.125,1.28125,1.15625
11.0,1.0,1.0,0.765625,1.125,0.9765625,1.125,1.28125,1.1484375
12.0,1.0,1.375,0.765625,1.125,0.9765625,1.125,1.28125,1.1640625
13.0,1.0,1.125,0.765625,1.125,0.9765625,1.125,1.21875,1.203125
14.0,1.0,1.15625,0.765625,1.078125,0.9765625,1.125,1.2109375,1.13671875
14.5,1.0,1.046875,0.765625,1.0703125,0.9765625,1.125,1.19921875,1.146484375
15.0,1.0,0.9375,0.765625,1.0625,0.9765625,1.125,1.1875,1.15625
15.5,0.5,0.90625,0.765625,1.078125,0.9765625,1.14453125,1.2578125,1.150390625
16.0,0.9375,0.875,0.765625,1.09375,1.125,1.1640625,1.328125,1.14453125
16.5,0.9375,0.90625,0.84375,1.1171875,1.171875,1.07421875,1.26171875,1.173828125
17.0,0.90625,0.9375,0.90625,1.140625,1.0078125,0.984375,1.1953125,1.203125
17.5,0.96875,0.953125,0.921875,1.1640625,1.1328125,1.00390625,1.1484375,1.19921875
18.0,1.0,0.96875,1.0,1.1875,1.171875,1.0234375,1.1015625,1.1953125
18.5,1.0,1.015625,0.84375,1.1796875,1.0,1.203125,1.0546875,1.193359375
19.0,1.0,1.0625,0.859375,1.171875,0.828125,1.21875,1.0078125,1.19140625
19.5,1.0,1.0625,0.6875,1.18359375,0.71875,0.78125,1.125,1.171875
20.0,1.0,1.0625,0.703125,1.1953125,1.125,1.2578125,1.2421875,1.15234375
20.5,1.0,1.0625,0.703125,1.06640625,0.578125,1.4296875,1.2421875,1.107421875
21.0,1.0,1.0625,0.703125,0.9375,0.59375,1.2109375,1.2421875,1.0625
21.5,1.0,1.0625,0.703125,0.9453125,0.953125,1.0703125,1.2421875,1.16796875
22.0,1.0,1.0625,0.703125,0.953125,1.3125,0.9296875,1.2421875,1.2734375
22.5,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.078125
23.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.8828125
23.5,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.783203125
24.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.68359375
24.5,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.74609375
25.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.80859375
25.5,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.87109375
26.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.93359375
26.5,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.99609375
27.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.05859375
27.5,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.12109375
28.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.18359375
28.5,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.24609375
29.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.30859375
29.5,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.224609375
30.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.140625
30.5,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.1171875
31.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.09375
31.5,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.0703125
32.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.046875
32.5,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.0234375
33.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.0
34.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.9765625
35.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.953125
36.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.9711538461538461
37.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,0.9891826923076923
38.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.0072115384615385
39.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.0252403846153846
40.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.0432692307692308
41.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.0612980769230769
42.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.0793269230769231
43.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.0973557692307692
44.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.1153846153846154
45.0,1.0,1.0625,0.703125,0.953125,1.3203125,1.015625,1.2421875,1.1334134615384615
