strike,2021-03-26,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-07-16,2021-08-20
23.0,0.625,0.375,0.328125,0.5,0.34375,0.328125,0.3671875,0.40625,0.40625,0.4375
24.0,0.625,0.375,0.328125,0.5,0.34375,0.328125,0.3671875,0.40625,0.40625,0.421875
25.0,0.625,0.375,0.328125,0.5,0.34375,0.328125,0.3671875,0.40625,0.40625,0.390625
26.0,0.625,0.375,0.328125,0.5,0.34375,0.328125,0.3671875,0.40625,0.40625,0.3984375
27.0,0.625,0.375,0.328125,0.5,0.34375,0.328125,0.3671875,0.40625,0.390625,0.3828125
28.0,0.625,0.375,0.328125,0.5,0.34375,0.328125,0.3671875,0.40625,0.375,0.36328125
29.0,0.625,0.375,0.328125,0.5,0.34375,0.328125,0.3671875,0.3828125,0.3671875,0.359375
30.0,0.625,0.375,0.328125,0.4375,0.34375,0.328125,0.3671875,0.36328125,0.359375,0.359375
31.0,0.625,0.375,0.328125,0.40625,0.34375,0.328125,0.3671875,0.33984375,0.3359375,0.33203125
32.0,0.625,0.375,0.328125,0.375,0.34375,0.328125,0.34375,0.33984375,0.330078125,0.34375
33.0,0.625,0.375,0.328125,0.3515625,0.34375,0.328125,0.3359375,0.32421875,0.3203125,0.33984375
33.5,0.625,0.375,0.328125,0.3515625,0.34375,0.3359375,0.33203125,0.322265625,0.326171875,0.3369140625
34.0,0.625,0.375,0.328125,0.3515625,0.34375,0.32421875,0.328125,0.3203125,0.33203125,0.333984375
34.5,0.5,0.34375,0.328125,0.3359375,0.3125,0.328125,0.32421875,0.3173828125,0.3203125,0.330078125
35.0,0.375,0.328125,0.2890625,0.3203125,0.32421875,0.3203125,0.3203125,0.314453125,0.30859375,0.326171875
35.5,0.375,0.3203125,0.2578125,0.318359375,0.2890625,0.3046875,0.310546875,0.314453125,0.306640625,0.318359375
36.0,0.34375,0.3125,0.296875,0.31640625,0.3046875,0.28125,0.30078125,0.314453125,0.3046875,0.310546875
36.5,0.328125,0.2890625,0.265625,0.3125,0.265625,0.28125,0.30078125,0.314453125,0.31640625,0.310546875
37.0,0.28125,0.28125,0.2734375,0.30859375,0.3046875,0.2734375,0.30078125,0.314453125,0.328125,0.310546875
37.5,0.21875,0.2734375,0.2421875,0.294921875,0.24609375,0.3359375,0.294921875,0.3154296875,0.318359375,0.3076171875
38.0,0.21875,0.2265625,0.2421875,0.28125,0.265625,0.3203125,0.2890625,0.31640625,0.30859375,0.3046875
38.5,0.21875,0.2265625,0.2421875,0.28515625,0.21875,0.17578125,0.26953125,0.3017578125,0.3017578125,0.29296875
39.0,0.21875,0.2265625,0.2421875,0.2890625,0.1796875,0.24609375,0.25,0.287109375,0.294921875,0.28125
39.5,0.21875,0.2265625,0.2421875,0.3229166666666667,0.234375,0.30078125,0.259765625,0.2626953125,0.2880859375,0.29296875
40.0,0.21875,0.2265625,0.2421875,0.3567708333333333,0.1875,0.2421875,0.26953125,0.23828125,0.28125,0.3046875
40.5,0.21875,0.2265625,0.2421875,0.390625,0.1875,0.2421875,0.251953125,0.287109375,0.240234375,0.298046875
41.0,0.21875,0.2265625,0.2421875,0.42447916666666663,0.1875,0.2421875,0.234375,0.3359375,0.19921875,0.29140625
41.5,0.21875,0.2265625,0.2421875,0.4583333333333333,0.1875,0.2421875,0.251953125,0.3359375,0.24609375,0.284765625
42.0,0.21875,0.2265625,0.2421875,0.4921875,0.1875,0.2421875,0.26953125,0.3359375,0.29296875,0.278125
42.5,0.21875,0.2265625,0.2421875,0.5260416666666666,0.1875,0.2421875,0.287109375,0.3359375,0.2734375,0.271484375
43.0,0.21875,0.2265625,0.2421875,0.5598958333333333,0.1875,0.2421875,0.3046875,0.3359375,0.25390625,0.26484375
43.5,0.21875,0.2265625,0.2421875,0.59375,0.1875,0.2421875,0.322265625,0.3359375,0.2727864583333333,0.258203125
44.0,0.21875,0.2265625,0.2421875,0.6276041666666666,0.1875,0.2421875,0.33984375,0.3359375,0.2916666666666667,0.2515625
44.5,0.21875,0.2265625,0.2421875,0.6614583333333333,0.1875,0.2421875,0.357421875,0.3359375,0.310546875,0.244921875
45.0,0.21875,0.2265625,0.2421875,0.6953125,0.1875,0.2421875,0.375,0.3359375,0.3294270833333333,0.23828125
46.0,0.21875,0.2265625,0.2421875,0.6953125,0.1875,0.2421875,0.375,0.3359375,0.34830729166666663,0.23828125
47.0,0.21875,0.2265625,0.2421875,0.6953125,0.1875,0.2421875,0.375,0.3359375,0.3671875,0.23828125
48.0,0.21875,0.2265625,0.2421875,0.6953125,0.1875,0.2421875,0.375,0.3359375,0.41015625,0.23828125
49.0,0.21875,0.2265625,0.2421875,0.6953125,0.1875,0.2421875,0.375,0.3359375,0.41015625,0.23828125
50.0,0.21875,0.2265625,0.2421875,0.6953125,0.1875,0.2421875,0.375,0.3359375,0.41015625,0.23828125
