strike,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-09-17
7.0,0.5625,0.828125,0.390625,0.625,0.53125,0.4296875
8.0,0.5625,0.828125,0.390625,0.625,0.53125,0.4296875
9.0,0.5625,0.828125,0.390625,0.546875,0.46875,0.4296875
10.0,0.5625,0.828125,0.390625,0.46875,0.4375,0.421875
10.5,0.484375,0.828125,0.390625,0.44921875,0.421875,0.41796875
11.0,0.40625,0.828125,0.390625,0.4296875,0.40625,0.4140625
11.5,0.3828125,0.828125,0.390625,0.41796875,0.3984375,0.404296875
12.0,0.359375,0.828125,0.390625,0.40625,0.390625,0.39453125
12.5,0.3515625,0.828125,0.390625,0.3984375,0.38671875,0.396484375
13.0,0.34375,0.828125,0.4296875,0.390625,0.3828125,0.3984375
13.5,0.34375,0.828125,0.375,0.375,0.38671875,0.375
14.0,0.34375,0.828125,0.3125,0.359375,0.390625,0.3515625
14.5,0.34375,0.828125,0.3125,0.359375,0.40625,0.337890625
15.0,0.34375,0.828125,0.3125,0.359375,0.421875,0.32421875
15.5,0.34375,0.828125,0.3125,0.359375,0.4375,0.361328125
16.0,0.34375,0.828125,0.3125,0.359375,0.453125,0.3984375
16.5,0.34375,0.828125,0.3125,0.359375,0.46875,0.4453125
17.0,0.34375,0.828125,0.3125,0.359375,0.484375,0.4921875
17.5,0.34375,0.828125,0.3125,0.359375,0.5,0.5390625
18.0,0.34375,0.828125,0.3125,0.359375,0.515625,0.5859375
18.5,0.34375,0.828125,0.3125,0.359375,0.53125,0.55078125
19.0,0.34375,0.828125,0.3125,0.359375,0.546875,0.515625
19.5,0.34375,0.828125,0.3125,0.359375,0.5625,0.5625
20.0,0.34375,0.828125,0.3125,0.359375,0.578125,0.609375
20.5,0.34375,0.828125,0.3125,0.359375,0.7578125,0.609375
21.0,0.34375,0.828125,0.3125,0.359375,0.9375,0.609375
22.0,0.34375,0.828125,0.3125,0.359375,0.9375,0.609375
23.0,0.34375,0.828125,0.3125,0.359375,0.9375,0.609375
24.0,0.34375,0.828125,0.3125,0.359375,0.9375,0.609375
25.0,0.34375,0.828125,0.3125,0.359375,0.9375,0.609375
26.0,0.34375,0.828125,0.3125,0.359375,0.9375,0.609375
27.0,0.34375,0.828125,0.3125,0.359375,0.9375,0.609375
