strike,2021-03-26,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-09-17
7.0,0.5,0.5,0.46875,0.625,0.4375,0.5625,0.125,0.609375,0.25
8.0,0.5,0.5,0.46875,0.625,0.4375,0.5625,0.125,0.609375,0.25
9.0,0.5,0.5,0.46875,0.625,0.4375,0.5625,0.125,0.609375,0.4375
10.0,0.5,0.5,0.46875,0.625,0.4375,0.5625,0.125,0.421875,0.421875
10.5,0.5,0.5,0.46875,0.578125,0.4375,0.5625,0.125,0.4140625,0.4140625
11.0,0.5,0.5,0.46875,0.53125,0.4375,0.453125,0.125,0.40625,0.40625
11.5,0.5,0.5,0.46875,0.4765625,0.4375,0.34375,0.2890625,0.40625,0.40234375
12.0,0.5,0.5,0.46875,0.421875,0.4375,0.484375,0.453125,0.40625,0.3984375
12.5,0.5,0.5,0.46875,0.3984375,0.4375,0.46875,0.4375,0.40625,0.400390625
13.0,0.5,0.5,0.46875,0.375,0.4375,0.46875,0.421875,0.40625,0.40234375
13.5,0.5,0.5,0.46875,0.390625,0.4375,0.4609375,0.421875,0.41015625,0.400390625
14.0,1.0,0.5,0.46875,0.40625,0.4375,0.453125,0.421875,0.4140625,0.3984375
14.5,1.0,0.5625,0.46875,0.4375,0.4375,0.484375,0.4375,0.41796875,0.40234375
15.0,1.0,0.625,0.5,0.46875,0.4375,0.5,0.453125,0.421875,0.40625
15.5,1.0,0.5,0.5625,0.484375,0.46875,0.5,0.4609375,0.4296875,0.40625
16.0,1.0,0.5,0.625,0.5,0.5,0.546875,0.46875,0.4375,0.40625
16.5,1.0,1.0,0.625,0.578125,0.53125,0.5625,0.46875,0.4453125,0.41796875
17.0,1.0,1.0,0.75,0.65625,0.5625,0.5625,0.46875,0.453125,0.4296875
17.5,1.0,1.125,0.75,0.671875,0.625,0.59375,0.5,0.46875,0.421875
18.0,1.0,1.25,0.5,0.6875,0.625,0.59375,0.53125,0.484375,0.4140625
18.5,1.0,1.0,0.5,0.71875,0.6875,0.625,0.546875,0.4921875,0.42578125
19.0,1.0,1.5,1.0,0.75,0.625,0.6875,0.5625,0.5,0.4375
19.5,1.0,1.0,0.5,0.625,0.5,0.6875,0.5625,0.515625,0.4375
20.0,1.0,1.5,1.125,0.5,0.5,0.6875,0.5625,0.53125,0.4375
20.5,1.0,1.0,1.0,0.6875,0.75,0.6875,0.59375,0.546875,0.4453125
21.0,1.0,1.0,1.25,0.875,0.875,0.6875,0.625,0.5625,0.453125
22.0,1.0,1.0,1.25,1.0,0.875,0.6875,0.625,0.5625,0.46875
23.0,1.0,1.875,1.375,1.0,0.875,0.6875,0.625,0.59375,0.484375
24.0,1.0,1.6875,1.0,1.125,1.0,0.6875,0.625,0.65625,0.5
25.0,1.0,1.5,1.0,1.25,1.0,0.6875,0.625,0.625,0.5
26.0,1.0,1.5,1.625,1.25,1.125,0.6875,0.625,0.6875,0.5
27.0,1.0,1.5,1.5,1.25,1.125,0.6875,0.625,0.6875,0.53125
