contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
TSLA210326C00690000,2021-03-25 19:59:58,5580.0,690.0,0.45,0.47,0.46,call,2021-03-26,0.0027397260273972603,0.82421875
TSLA210326C00692500,2021-03-25 19:59:34,1223.0,692.5,0.38,0.43,0.41,call,2021-03-26,0.0027397260273972603,0.84375
TSLA210326C00695000,2021-03-25 19:59:50,1777.0,695.0,0.24,0.38,0.36,call,2021-03-26,0.0027397260273972603,0.859375
TSLA210326C00700000,2021-03-25 19:59:59,22585.0,700.0,0.3,0.31,0.31,call,2021-03-26,0.0027397260273972603,0.890625
TSLA210326C00702500,2021-03-25 19:54:10,2251.0,702.5,0.2,0.3,0.27,call,2021-03-26,0.0027397260273972603,0.890625
TSLA210326C00705000,2021-03-25 19:56:22,1759.0,705.0,0.22,0.26,0.25,call,2021-03-26,0.0027397260273972603,0.90625
TSLA210326C00707500,2021-03-25 19:58:35,746.0,707.5,0.15,0.26,0.23,call,2021-03-26,0.0027397260273972603,0.921875
TSLA210326C00710000,2021-03-25 19:59:37,5893.0,710.0,0.2,0.23,0.2,call,2021-03-26,0.0027397260273972603,0.9375
TSLA210326C00712500,2021-03-25 19:56:02,1204.0,712.5,0.18,0.2,0.19,call,2021-03-26,0.0027397260273972603,0.9609375
TSLA210326C00715000,2021-03-25 19:55:00,2365.0,715.0,0.15,0.21,0.18,call,2021-03-26,0.0027397260273972603,0.984375
TSLA210326C00717500,2021-03-25 19:48:07,293.0,717.5,0.12,0.18,0.15,call,2021-03-26,0.0027397260273972603,0.9921875
TSLA210326C00720000,2021-03-25 19:59:57,5747.0,720.0,0.12,0.19,0.15,call,2021-03-26,0.0027397260273972603,1.015625
TSLA210326C00722500,2021-03-25 19:41:33,335.0,722.5,0.13,0.18,0.17,call,2021-03-26,0.0027397260273972603,1.0625
TSLA210326C00725000,2021-03-25 19:59:23,1530.0,725.0,0.12,0.14,0.13,call,2021-03-26,0.0027397260273972603,1.0625
TSLA210326C00727500,2021-03-25 19:54:45,353.0,727.5,0.11,0.17,0.15,call,2021-03-26,0.0027397260273972603,1.1015625
TSLA210326C00730000,2021-03-25 19:41:58,2810.0,730.0,0.12,0.15,0.12,call,2021-03-26,0.0027397260273972603,1.09375
TSLA210326C00732500,2021-03-25 19:05:43,203.0,732.5,0.07,0.12,0.12,call,2021-03-26,0.0027397260273972603,1.125
TSLA210326C00735000,2021-03-25 19:52:16,585.0,735.0,0.05,0.16,0.12,call,2021-03-26,0.0027397260273972603,1.15625
TSLA210326C00737500,2021-03-25 19:55:36,246.0,737.5,0.04,0.12,0.1,call,2021-03-26,0.0027397260273972603,1.125
TSLA210326C00740000,2021-03-25 19:58:41,1224.0,740.0,0.05,0.11,0.1,call,2021-03-26,0.0027397260273972603,1.15625
TSLA210326C00970000,2021-03-25 16:30:26,2.0,970.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C00980000,2021-03-25 19:33:46,11.0,980.0,0.0,0.05,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C00990000,2021-03-24 17:54:27,52.0,990.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01000000,2021-03-25 19:33:02,230.0,1000.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01025000,2021-03-24 18:17:49,122.0,1025.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01050000,2021-03-24 16:29:37,321.0,1050.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01075000,2021-03-25 15:01:41,4.0,1075.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01100000,2021-03-25 15:36:22,3.0,1100.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01125000,2021-03-24 17:04:48,86.0,1125.0,0.01,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01150000,2021-03-24 19:25:49,10.0,1150.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01175000,2021-03-25 13:55:00,35.0,1175.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01200000,2021-03-24 17:05:02,4383.0,1200.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01225000,2021-03-25 13:39:31,10.0,1225.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01250000,2021-03-24 15:01:18,56.0,1250.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01275000,2021-03-24 15:01:21,57.0,1275.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01300000,2021-03-19 14:56:18,109.0,1300.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01325000,2021-03-24 15:01:26,150.0,1325.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01350000,2021-03-25 13:30:05,1.0,1350.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01375000,2021-03-24 15:01:48,102.0,1375.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01400000,2021-03-24 13:30:08,1.0,1400.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326C01425000,2021-03-25 14:08:04,8.0,1425.0,0.0,0.01,0.01,call,2021-03-26,0.0027397260273972603,
TSLA210326P00687500,2021-03-25 19:55:20,162.0,687.5,46.9,48.5,47.6,put,2021-03-26,0.0027397260273972603,0.80078125
TSLA210326P00690000,2021-03-25 19:52:01,645.0,690.0,49.35,50.95,49.0,put,2021-03-26,0.0027397260273972603,
TSLA210326P00692500,2021-03-25 18:40:08,216.0,692.5,51.8,53.45,52.1,put,2021-03-26,0.0027397260273972603,
TSLA210326P00695000,2021-03-25 18:46:51,283.0,695.0,54.25,55.9,52.0,put,2021-03-26,0.0027397260273972603,
TSLA210326P00700000,2021-03-25 19:53:29,1559.0,700.0,59.3,60.85,59.95,put,2021-03-26,0.0027397260273972603,0.9140625
TSLA210326P00702500,2021-03-25 18:20:29,161.0,702.5,61.65,63.2,59.61,put,2021-03-26,0.0027397260273972603,
TSLA210326P00705000,2021-03-25 19:27:07,266.0,705.0,64.15,65.65,62.0,put,2021-03-26,0.0027397260273972603,
TSLA210326P00707500,2021-03-25 17:45:21,28.0,707.5,66.65,68.15,66.9,put,2021-03-26,0.0027397260273972603,
TSLA210326P00710000,2021-03-25 19:42:52,312.0,710.0,69.1,70.6,69.55,put,2021-03-26,0.0027397260273972603,
TSLA210326P00712500,2021-03-25 19:53:53,15.0,712.5,71.6,73.15,70.5,put,2021-03-26,0.0027397260273972603,
TSLA210326P00715000,2021-03-25 19:27:07,287.0,715.0,74.1,75.55,78.55,put,2021-03-26,0.0027397260273972603,1.80859375
TSLA210326P00717500,2021-03-25 18:50:14,14.0,717.5,76.55,78.05,80.65,put,2021-03-26,0.0027397260273972603,1.796875
TSLA210326P00720000,2021-03-25 19:53:29,207.0,720.0,79.05,80.5,79.17,put,2021-03-26,0.0027397260273972603,
TSLA210326P00722500,2021-03-25 16:09:41,25.0,722.5,81.55,83.0,87.83,put,2021-03-26,0.0027397260273972603,
TSLA210326P00725000,2021-03-25 19:22:46,74.0,725.0,84.05,85.5,84.28,put,2021-03-26,0.0027397260273972603,
TSLA210326P00727500,2021-03-25 18:59:57,17.0,727.5,82.5,89.95,89.2,put,2021-03-26,0.0027397260273972603,1.7265625
TSLA210326P00730000,2021-03-25 19:27:54,141.0,730.0,85.0,94.05,89.11,put,2021-03-26,0.0027397260273972603,
TSLA210326P00732500,2021-03-25 17:36:09,4.0,732.5,89.45,94.85,102.31,put,2021-03-26,0.0027397260273972603,
TSLA210326P00735000,2021-03-25 19:33:28,22.0,735.0,91.95,96.3,94.47,put,2021-03-26,0.0027397260273972603,
TSLA210326P00737500,2021-03-25 19:32:27,3.0,737.5,95.35,99.5,98.95,put,2021-03-26,0.0027397260273972603,1.7890625
TSLA210326P00960000,2021-03-15 16:47:34,2.0,960.0,313.4,323.3,257.8,put,2021-03-26,0.0027397260273972603,
TSLA210326P00970000,2021-03-04 15:03:24,2.0,970.0,323.3,333.2,282.75,put,2021-03-26,0.0027397260273972603,
TSLA210326P00980000,2021-03-22 13:33:30,1.0,980.0,334.35,343.2,287.53,put,2021-03-26,0.0027397260273972603,
TSLA210326P00990000,2021-03-15 17:01:55,1.0,990.0,343.3,353.2,285.95,put,2021-03-26,0.0027397260273972603,
TSLA210326P01000000,2021-03-22 19:58:48,6.0,1000.0,354.05,363.2,327.0,put,2021-03-26,0.0027397260273972603,
TSLA210326P01025000,2021-03-15 17:01:19,1.0,1025.0,378.3,388.2,356.63,put,2021-03-26,0.0027397260273972603,
TSLA210326P01050000,2021-03-15 04:00:52,,1050.0,404.35,413.2,475.8,put,2021-03-26,0.0027397260273972603,
TSLA210326P01075000,2021-03-11 17:34:41,2.0,1075.0,428.4,438.3,386.5,put,2021-03-26,0.0027397260273972603,
TSLA210326P01100000,2021-03-24 13:47:47,1.0,1100.0,454.35,463.2,441.08,put,2021-03-26,0.0027397260273972603,
TSLA210326P01125000,2021-03-15 04:00:53,,1125.0,478.3,488.2,477.85,put,2021-03-26,0.0027397260273972603,
TSLA210326P01150000,2021-03-02 15:12:12,,1150.0,503.3,513.2,440.85,put,2021-03-26,0.0027397260273972603,
