strike,2021-03-26,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-09-17
17.5,1.0,0.53125,0.421875,1.375,0.546875,0.4296875,0.8125,1.0625,0.5
20.0,1.0,0.53125,0.421875,1.375,0.546875,0.4296875,0.8125,1.1015625,0.5
22.5,1.0,0.53125,0.421875,1.375,0.546875,0.4296875,0.8125,1.140625,0.5
25.0,1.0,0.53125,0.421875,1.375,0.546875,0.4296875,0.8125,0.625,0.70703125
27.5,1.0,0.53125,0.421875,1.28125,0.546875,0.4296875,0.8125,0.890625,0.59765625
30.0,1.0,0.53125,0.421875,1.46875,0.546875,0.4296875,0.7395833333333334,0.578125,0.6015625
32.5,1.0,0.53125,0.421875,1.03125,0.546875,0.4296875,0.6666666666666666,0.5625,0.58203125
35.0,1.0,0.53125,0.421875,0.875,0.546875,0.4296875,0.59375,0.546875,0.4296875
37.5,1.0,0.53125,0.421875,0.5,0.546875,0.4296875,0.53515625,0.4765625,0.41796875
40.0,1.0,0.53125,0.421875,0.59375,0.546875,0.4296875,0.4765625,0.453125,0.388671875
42.5,1.0,0.53125,0.421875,0.53125,0.546875,0.4296875,0.4375,0.421875,0.37890625
44.0,1.0,0.53125,0.421875,0.5,0.546875,0.4296875,0.41796875,0.40234375,0.3720703125
45.0,1.0,0.53125,0.421875,0.46875,0.546875,0.4296875,0.3984375,0.3828125,0.365234375
45.5,1.0,0.53125,0.421875,0.4625,0.546875,0.4296875,0.39765625,0.379296875,0.36171875
46.0,1.0,0.53125,0.421875,0.45625,0.546875,0.4296875,0.396875,0.37578125,0.358203125
46.5,1.5,0.53125,0.421875,0.45,0.546875,0.4296875,0.39609375,0.372265625,0.3546875
47.0,1.5,0.53125,0.421875,0.44375,0.546875,0.4296875,0.3953125,0.36875,0.351171875
47.5,1.25,0.53125,0.421875,0.4375,0.546875,0.4296875,0.39453125,0.365234375,0.34765625
48.0,1.875,0.53125,0.421875,0.41875,0.546875,0.4296875,0.384375,0.36015625,0.3453125
48.5,1.25,0.4375,0.421875,0.4,0.5234375,0.421875,0.37421875,0.355078125,0.34296875
49.0,1.0,0.734375,0.421875,0.38125,0.48046875,0.4140625,0.3640625,0.35,0.340625
49.5,0.5,0.515625,0.421875,0.3625,0.4375,0.38671875,0.35390625,0.344921875,0.33828125
50.0,1.0,0.5,0.390625,0.34375,0.46484375,0.37890625,0.34375,0.33984375,0.3359375
50.5,1.0,0.40625,0.40625,0.3421875,0.40234375,0.37109375,0.340625,0.340234375,0.3361328125
51.0,0.8125,0.390625,0.34375,0.340625,0.384765625,0.3515625,0.3375,0.340625,0.336328125
51.5,0.625,0.390625,0.359375,0.3390625,0.3671875,0.38671875,0.334375,0.341015625,0.3365234375
52.0,0.6875,0.3984375,0.359375,0.3375,0.34375,0.3828125,0.33125,0.34140625,0.33671875
52.5,0.78125,0.359375,0.359375,0.3359375,0.36328125,0.3515625,0.328125,0.341796875,0.3369140625
53.0,0.53125,0.3671875,0.47265625,0.3375,0.41796875,0.4140625,0.330078125,0.337109375,0.3396484375
53.5,0.46875,0.38671875,0.37890625,0.3390625,0.328125,0.34765625,0.33203125,0.332421875,0.3423828125
54.0,0.40625,0.40625,0.3203125,0.340625,0.390625,0.3515625,0.333984375,0.327734375,0.3451171875
54.5,0.9140625,0.421875,0.33203125,0.3421875,0.3671875,0.318359375,0.3359375,0.323046875,0.3478515625
55.0,1.421875,0.4375,0.49609375,0.34375,0.3203125,0.32421875,0.337890625,0.318359375,0.3505859375
55.5,1.0859375,0.4765625,0.2890625,0.3796875,0.32421875,0.3193359375,0.34453125,0.324609375,0.3427734375
56.0,0.75,0.515625,0.2890625,0.415625,0.3818359375,0.314453125,0.351171875,0.330859375,0.3349609375
56.5,1.28125,0.7421875,0.41015625,0.4515625,0.439453125,0.3118489583333333,0.3578125,0.337109375,0.3271484375
57.0,1.5,0.5390625,0.41015625,0.4875,0.439453125,0.3092447916666667,0.364453125,0.343359375,0.3193359375
57.5,1.5,0.5390625,0.41015625,0.5234375,0.439453125,0.306640625,0.37109375,0.349609375,0.3115234375
58.0,1.5,0.5390625,0.41015625,0.462890625,0.439453125,0.275390625,0.38134765625,0.32568359375,0.303466796875
58.5,1.5,0.5390625,0.41015625,0.40234375,0.439453125,0.244140625,0.3916015625,0.3017578125,0.29541015625
59.0,1.5,0.5390625,0.41015625,0.341796875,0.439453125,0.244140625,0.40185546875,0.27783203125,0.287353515625
60.0,1.5,0.5390625,0.41015625,0.28125,0.439453125,0.244140625,0.412109375,0.25390625,0.279296875
61.0,1.5,0.5390625,0.41015625,0.28125,0.439453125,0.244140625,0.45703125,0.251953125,0.3408203125
62.5,1.5,0.5390625,0.41015625,0.28125,0.439453125,0.244140625,0.501953125,0.25,0.40234375
65.0,1.5,0.5390625,0.41015625,0.28125,0.439453125,0.244140625,0.6015625,0.2265625,0.37109375
70.0,1.5,0.5390625,0.41015625,0.28125,0.439453125,0.244140625,0.6015625,0.5703125,0.330078125
