strike,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-07-16,2021-09-17
22.5,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,1.640625,0.625
25.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,1.640625,0.625
30.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,1.640625,0.625
35.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,1.65234375,0.625
40.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,1.6640625,0.625
45.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,1.67578125,0.625
50.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,1.513671875,0.625
55.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,0.65625,0.625
60.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,0.7421875,0.625
65.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,0.8359375,0.625
67.5,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,0.7999770220588235,0.625
68.75,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,0.7640165441176471,0.625
70.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,0.7280560661764706,0.625
71.25,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.5546875,0.6920955882352942,0.625
72.5,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.8837890625,0.6561351102941176,0.625
73.75,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,1.212890625,0.6201746323529411,0.625
75.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,1.130859375,0.5842141544117647,0.625
77.5,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,1.048828125,0.5482536764705883,0.625
80.0,0.53125,0.59375,0.3046875,1.14453125,0.609375,0.31640625,0.966796875,0.5122931985294118,0.3203125
82.5,0.53125,0.59375,0.3046875,1.14453125,0.5872395833333334,0.31640625,0.884765625,0.47633272058823534,0.301171875
85.0,0.53125,0.59375,0.3046875,1.14453125,0.5651041666666666,0.31640625,0.802734375,0.4403722426470589,0.28203125
87.5,0.53125,0.59375,0.3046875,1.021484375,0.54296875,0.31640625,0.720703125,0.40441176470588236,0.262890625
90.0,0.53125,0.59375,0.3046875,0.8984375,0.5208333333333334,0.31640625,0.638671875,0.3684512867647059,0.24375
92.5,0.53125,0.59375,0.3046875,0.775390625,0.49869791666666663,0.31640625,0.556640625,0.33249080882352944,0.224609375
95.0,0.53125,0.59375,0.3046875,0.65234375,0.4765625,0.31640625,0.474609375,0.29653033088235303,0.19921875
97.5,0.53125,0.59375,0.3046875,0.5904017857142857,0.45870535714285715,0.31640625,0.392578125,0.2605698529411765,0.279296875
100.0,0.53125,0.59375,0.3046875,0.5284598214285714,0.4408482142857143,0.31640625,0.310546875,0.224609375,0.208984375
102.5,0.53125,0.6158854166666666,0.3046875,0.46651785714285715,0.42299107142857145,0.31640625,0.232421875,0.224365234375,0.244140625
103.0,0.53125,0.6380208333333334,0.3046875,0.40457589285714285,0.4051339285714286,0.31640625,0.2571614583333333,0.22412109375,0.24088541666666666
104.0,0.53125,0.66015625,0.3046875,0.34263392857142855,0.3872767857142857,0.31640625,0.2819010416666667,0.223876953125,0.23763020833333334
105.0,0.53125,0.6822916666666666,0.3046875,0.2806919642857143,0.36941964285714285,0.31640625,0.306640625,0.2236328125,0.234375
106.0,0.53125,0.7044270833333334,0.3046875,0.21875,0.3515625,0.31640625,0.29443359375,0.2293701171875,0.236328125
106.25,0.53125,0.7265625,0.3046875,0.296875,0.30078125,0.31640625,0.2822265625,0.235107421875,0.23828125
107.0,0.53125,0.7486979166666667,0.3046875,0.375,0.25,0.31640625,0.27001953125,0.2408447265625,0.240234375
107.5,0.53125,0.7708333333333334,0.3046875,0.3489583333333333,0.2109375,0.31640625,0.2578125,0.24658203125,0.2421875
108.0,0.53125,0.79296875,0.3046875,0.3229166666666667,0.171875,0.31640625,0.270263671875,0.2523193359375,0.252197265625
108.75,0.53125,0.564453125,0.3046875,0.296875,0.2109375,0.31640625,0.28271484375,0.258056640625,0.26220703125
109.0,0.53125,0.3359375,0.3359375,0.2708333333333333,0.25,0.31640625,0.295166015625,0.2637939453125,0.272216796875
110.0,0.53125,0.38671875,0.3671875,0.24479166666666666,0.2890625,0.31640625,0.3076171875,0.26953125,0.2822265625
111.0,0.48214285714285715,0.36997767857142855,0.3525390625,0.21875,0.140625,0.31640625,0.3076171875,0.2728271484375,0.282470703125
