strike,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-07-16
4.0,1.0,1.015625,1.5,0.984375,1.265625,1.1796875,1.71875
4.5,1.0,1.015625,1.5,0.984375,1.265625,1.1796875,1.71875
5.0,1.0,1.015625,1.5,0.984375,1.265625,1.1796875,1.71875
5.5,1.0,1.015625,1.5,0.984375,1.265625,1.1796875,1.421875
6.0,1.0,1.015625,1.25,0.984375,1.265625,1.1796875,1.125
7.0,1.0,1.015625,1.0,0.984375,1.265625,1.1796875,1.09375
8.0,1.0,1.015625,1.625,0.984375,1.265625,1.1796875,1.109375
9.0,1.0,1.015625,1.0,0.984375,1.265625,1.1796875,1.140625
10.0,1.0,1.015625,1.25,0.984375,1.265625,1.1796875,1.1328125
11.0,1.75,1.015625,1.1875,0.984375,1.265625,1.1796875,1.109375
12.0,1.5,1.015625,1.1875,0.984375,1.265625,1.1796875,1.125
13.0,1.5,1.015625,1.09375,0.984375,1.265625,1.171875,1.171875
14.0,1.0,1.015625,1.09375,0.984375,1.265625,1.25,1.13671875
14.5,0.96875,1.015625,1.1328125,0.984375,1.265625,1.1953125,1.146484375
15.0,0.9375,1.015625,1.171875,0.984375,1.265625,1.140625,1.15625
15.5,0.921875,1.015625,1.1796875,0.984375,1.21875,1.125,1.193359375
16.0,0.90625,1.015625,1.1875,1.1015625,1.171875,1.109375,1.23046875
16.5,0.90625,0.96875,1.19140625,1.296875,1.24609375,1.1796875,1.20703125
17.0,0.90625,1.03125,1.1953125,1.1484375,1.3203125,1.25,1.18359375
17.5,0.984375,1.046875,1.20703125,1.3125,1.22265625,1.275390625,1.16796875
18.0,1.0625,1.09375,1.21875,1.1796875,1.125,1.30078125,1.15234375
18.5,1.03125,1.140625,1.1875,1.0,1.1640625,1.326171875,1.208984375
19.0,1.0,1.046875,1.15625,1.28125,1.5625,1.3515625,1.265625
19.5,1.125,0.921875,1.2109375,0.6953125,1.09375,1.30859375,1.2265625
20.0,1.25,0.953125,1.265625,1.125,0.875,1.265625,1.1875
20.5,1.265625,0.9296875,1.28125,0.5,1.4453125,1.265625,1.12109375
21.0,1.28125,0.90625,1.296875,1.3984375,1.203125,1.265625,1.0546875
21.5,1.3828125,1.078125,1.328125,1.35546875,1.05859375,1.265625,1.130859375
22.0,1.484375,1.25,1.359375,1.3125,0.9140625,1.265625,1.20703125
22.5,1.5859375,1.25,1.359375,1.3203125,1.0,1.265625,1.201171875
23.0,1.6875,1.25,1.359375,1.4557291666666667,1.0,1.265625,1.1953125
23.5,1.6875,1.25,1.359375,1.5911458333333333,1.0,1.265625,1.283203125
24.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.37109375
24.5,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.35625
25.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.34140625
25.5,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.3265625
26.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.31171875
26.5,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.296875
27.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.28203125
27.5,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.2671875
28.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.25234375
28.5,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.2375
29.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.22265625
29.5,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.302734375
30.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.3828125
30.5,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.3232421875
31.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.263671875
31.5,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.2041015625
32.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.14453125
32.5,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.0849609375
33.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.025390625
34.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,0.9658203125
35.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,0.90625
36.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,0.9242788461538461
37.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,0.9423076923076923
38.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,0.9603365384615384
39.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,0.9783653846153846
40.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,0.9963942307692307
41.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.0144230769230769
42.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.0324519230769231
43.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.0504807692307692
44.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.0685096153846154
45.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.0865384615384615
46.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.1045673076923077
47.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.1225961538461537
48.0,1.6875,1.25,1.359375,1.7265625,1.0,1.265625,1.140625
