strike,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-07-16,2021-08-20
23.0,0.5,0.40625,0.5625,0.375,0.46875,0.40625,0.4140625,0.453125,0.453125
24.0,0.5,0.40625,0.5625,0.375,0.46875,0.40625,0.4140625,0.453125,0.4609375
25.0,0.5,0.40625,0.5625,0.375,0.46875,0.40625,0.4140625,0.453125,0.4140625
26.0,0.5,0.40625,0.5625,0.375,0.46875,0.40625,0.4140625,0.453125,0.4140625
27.0,0.5,0.40625,0.5625,0.375,0.46875,0.40625,0.4140625,0.4296875,0.3984375
28.0,0.5,0.40625,0.5625,0.375,0.46875,0.40625,0.4140625,0.4375,0.3828125
29.0,0.5,0.40625,0.5625,0.375,0.46875,0.40625,0.390625,0.390625,0.375
30.0,0.5,0.40625,0.5,0.375,0.46875,0.40625,0.3984375,0.37109375,0.3671875
31.0,0.5,0.40625,0.5,0.375,0.46875,0.40625,0.4296875,0.3671875,0.41015625
32.0,0.5,0.40625,0.453125,0.375,0.46875,0.38671875,0.3515625,0.359375,0.357421875
33.0,0.5,0.40625,0.4375,0.375,0.46875,0.359375,0.37109375,0.35546875,0.353515625
33.5,0.5,0.40625,0.421875,0.375,0.375,0.361328125,0.35546875,0.349609375,0.3505859375
34.0,0.5,0.40625,0.40625,0.375,0.3828125,0.36328125,0.33984375,0.34375,0.34765625
34.5,0.5,0.40625,0.390625,0.3828125,0.3671875,0.353515625,0.34375,0.345703125,0.3515625
35.0,0.46875,0.390625,0.375,0.3671875,0.359375,0.34375,0.34765625,0.34765625,0.35546875
35.5,0.4375,0.3671875,0.36328125,0.375,0.34375,0.337890625,0.3544921875,0.3447265625,0.3486328125
36.0,0.40625,0.328125,0.3515625,0.3359375,0.34375,0.33203125,0.361328125,0.341796875,0.341796875
36.5,0.359375,0.3125,0.34375,0.3515625,0.33984375,0.328125,0.34375,0.3349609375,0.3408203125
37.0,0.328125,0.3125,0.3359375,0.359375,0.3359375,0.32421875,0.326171875,0.328125,0.33984375
37.5,0.296875,0.296875,0.330078125,0.3359375,0.33984375,0.328125,0.3427734375,0.3349609375,0.341796875
38.0,0.28125,0.29296875,0.32421875,0.37109375,0.375,0.33203125,0.359375,0.341796875,0.34375
38.5,0.2734375,0.296875,0.3203125,0.37890625,0.34765625,0.3359375,0.3583984375,0.34765625,0.3408203125
39.0,0.2734375,0.2890625,0.31640625,0.3515625,0.515625,0.33984375,0.357421875,0.353515625,0.337890625
39.5,0.296875,0.328125,0.32421875,0.33984375,0.51953125,0.333984375,0.33984375,0.3505859375,0.341796875
40.0,0.390625,0.421875,0.33203125,0.3828125,0.37890625,0.328125,0.322265625,0.34765625,0.345703125
40.5,0.40625,0.3828125,0.373046875,0.4140625,0.36328125,0.330078125,0.41015625,0.3544921875,0.3470703125
41.0,0.3125,0.75,0.4140625,0.4453125,0.2265625,0.33203125,0.498046875,0.361328125,0.3484375
41.5,0.5,0.4921875,0.64453125,0.51953125,0.2643229166666667,0.3359375,0.474609375,0.4052734375,0.3498046875
42.0,1.15625,0.484375,0.875,0.59375,0.3020833333333333,0.33984375,0.451171875,0.44921875,0.351171875
42.5,0.8359375,0.5579427083333334,0.79296875,0.515625,0.33984375,0.4453125,0.3603515625,0.4482421875,0.3525390625
43.0,1.078125,0.6315104166666666,0.7109375,0.515625,0.33984375,0.55078125,0.26953125,0.447265625,0.35390625
43.5,1.078125,0.705078125,0.83203125,0.515625,0.33984375,0.5703125,0.30859375,0.4365234375,0.3552734375
44.0,1.078125,0.7786458333333333,0.953125,0.515625,0.33984375,0.58984375,0.34765625,0.42578125,0.356640625
44.5,1.078125,0.8522135416666666,1.072265625,0.515625,0.33984375,0.634765625,0.421875,0.4072265625,0.3580078125
45.0,1.078125,0.92578125,1.19140625,0.515625,0.33984375,0.6796875,0.49609375,0.388671875,0.359375
46.0,1.078125,0.92578125,0.625,0.515625,0.33984375,0.6796875,0.56640625,0.4833984375,0.38671875
47.0,1.078125,0.92578125,0.625,0.515625,0.33984375,0.6796875,0.5234375,0.578125,0.4140625
48.0,1.078125,0.92578125,0.625,0.515625,0.33984375,0.6796875,0.544921875,0.62109375,0.44140625
49.0,1.078125,0.92578125,0.625,0.515625,0.33984375,0.6796875,0.544921875,0.62109375,0.46875
50.0,1.078125,0.92578125,0.625,0.515625,0.33984375,0.6796875,0.544921875,0.62109375,0.49609375
