contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
C210326C00055000,2021-03-23 14:15:30,12.0,55.0,17.35,18.5,17.35,call,2021-03-26,0.0,
C210326C00057000,2021-03-26 17:56:07,3.0,57.0,15.5,16.5,15.3,call,2021-03-26,0.0,
C210326C00057500,2021-03-19 13:41:29,18.0,57.5,14.9,16.15,14.5,call,2021-03-26,0.0,
C210326C00058000,2021-02-16 17:14:56,1.0,58.0,13.5,18.4,7.05,call,2021-03-26,0.0,
C210326C00058500,2021-02-26 20:54:55,1.0,58.5,12.7,16.1,8.3,call,2021-03-26,0.0,
C210326C00059000,2021-02-26 16:00:35,2.0,59.0,13.35,14.55,12.63,call,2021-03-26,0.0,
C210326C00059500,2021-03-15 04:08:18,2.0,59.5,13.0,14.15,12.83,call,2021-03-26,0.0,
C210326C00060000,2021-03-25 19:44:31,1.0,60.0,12.2,13.85,11.75,call,2021-03-26,0.0,
C210326C00060500,2021-03-26 19:02:08,4.0,60.5,12.1,13.2,11.65,call,2021-03-26,0.0,
C210326C00061000,2021-03-19 19:55:05,1.0,61.0,11.65,12.75,10.75,call,2021-03-26,0.0,
C210326C00061500,2021-03-11 18:14:17,3.0,61.5,10.8,12.1,11.85,call,2021-03-26,0.0,
C210326C00062000,2021-03-24 15:38:34,1.0,62.0,10.5,12.2,9.8,call,2021-03-26,0.0,
C210326C00062500,2021-03-24 19:48:40,1.0,62.5,10.1,10.75,7.9,call,2021-03-26,0.0,
C210326C00063000,2021-03-24 14:39:34,1.0,63.0,9.65,10.35,9.02,call,2021-03-26,0.0,
C210326C00063500,2021-03-01 19:23:30,13.0,63.5,9.0,10.1,6.77,call,2021-03-26,0.0,
C210326C00064000,2021-03-24 18:39:39,4.0,64.0,8.55,9.3,9.0,call,2021-03-26,0.0,
C210326C00064500,2021-03-04 17:27:20,4.0,64.5,8.2,8.8,8.5,call,2021-03-26,0.0,
C210326C00065000,2021-03-19 15:18:11,1.0,65.0,7.6,8.3,7.7,call,2021-03-26,0.0,
C210326C00065500,2021-03-17 15:02:41,2.0,65.5,6.7,8.05,7.5,call,2021-03-26,0.0,
C210326C00066000,2021-03-25 15:44:57,30.0,66.0,6.65,7.2,5.45,call,2021-03-26,0.0,
C210326C00068500,2021-03-24 14:48:47,2.0,68.5,4.05,4.9,3.7,call,2021-03-26,0.0,
C210326C00069000,2021-03-26 19:02:49,755.0,69.0,3.7,4.15,3.15,call,2021-03-26,0.0,
C210326C00070000,2021-03-26 19:17:43,1514.0,70.0,2.82,3.15,2.9,call,2021-03-26,0.0,
