strike,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-09-17
7.0,0.8125,0.96875,0.625,1.125,0.453125,0.6875,0.625,0.46875
8.0,0.8125,0.96875,0.625,1.125,0.453125,0.6875,0.625,0.46875
9.0,0.8125,0.96875,0.625,1.125,0.453125,0.59375,0.5625,0.46875
10.0,0.8125,0.96875,0.625,1.125,0.453125,0.5,0.484375,0.4375
10.5,0.8125,0.96875,0.5625,1.125,0.453125,0.4921875,0.46484375,0.43359375
11.0,0.8125,0.96875,0.5,1.125,0.453125,0.484375,0.4453125,0.4296875
11.5,0.8125,0.96875,0.453125,1.125,0.453125,0.46875,0.43359375,0.423828125
12.0,0.8125,0.96875,0.40625,1.125,0.453125,0.453125,0.421875,0.41796875
12.5,0.8125,0.96875,0.390625,1.125,0.453125,0.4375,0.421875,0.41796875
13.0,0.8125,0.96875,0.375,1.125,0.5390625,0.421875,0.421875,0.41796875
13.5,0.8125,0.96875,0.40625,1.125,0.453125,0.4609375,0.44140625,0.419921875
14.0,0.8125,0.96875,0.4375,1.125,0.5625,0.5,0.4609375,0.421875
14.5,0.8125,0.96875,0.515625,1.125,0.421875,0.609375,0.4375,0.4296875
15.0,0.5,0.96875,0.59375,1.125,0.53125,0.71875,0.4140625,0.4375
15.5,0.96875,0.96875,0.59375,0.25,0.5625,0.7083333333333334,0.4609375,0.439453125
16.0,1.4375,0.96875,0.59375,0.75,0.5625,0.6979166666666666,0.5078125,0.44140625
16.5,1.4375,0.96875,0.59375,0.75,0.5625,0.6875,0.47265625,0.431640625
17.0,1.4375,0.96875,0.59375,0.75,0.5625,0.6770833333333334,0.4375,0.421875
17.5,1.4375,0.96875,0.59375,0.75,0.5625,0.6666666666666666,0.4453125,0.5546875
18.0,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,0.453125,0.6875
18.5,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,0.4609375,0.677734375
19.0,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,0.46875,0.66796875
19.5,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,0.6796875,0.708984375
20.0,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,0.890625,0.75
20.5,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,1.0234375,0.75
21.0,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,1.15625,0.75
22.0,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,1.1015625,0.75
23.0,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,1.046875,0.75
24.0,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,0.9921875,0.75
25.0,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,0.9375,0.75
26.0,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,0.9375,0.75
27.0,1.4375,0.96875,0.59375,0.75,0.5625,0.65625,0.9375,0.75
