strike,2021-04-16,2021-05-21,2021-08-20
2.0,1.75,1.0,0.953125
3.0,1.75,1.0,0.953125
3.5,1.375,1.0,0.953125
4.0,1.0,0.875,0.953125
4.5,0.96875,1.0,1.046875
5.0,0.9375,0.96875,1.0625
5.5,0.921875,0.9375,1.03125
6.0,0.90625,1.0625,1.140625
7.0,1.21875,1.046875,1.0234375
8.0,1.3125,1.140625,1.359375
9.0,1.3125,1.265625,1.21875
10.0,1.3125,1.390625,1.125
11.0,1.3125,1.03125,1.578125
12.0,1.3125,1.03125,1.625
13.0,1.3125,1.03125,1.671875
14.0,1.3125,1.03125,1.375
15.0,1.3125,1.03125,0.875
16.0,1.3125,1.03125,0.875
17.0,1.3125,1.03125,0.875
18.0,1.3125,1.03125,0.875
19.0,1.3125,1.03125,0.875
20.0,1.3125,1.03125,0.875
