strike,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-07-16
40.0,1.09375,0.4375,1.3671875,0.72265625,0.43359375,0.3359375,0.916015625,0.765625
45.0,1.09375,0.4375,1.3671875,0.72265625,0.43359375,0.3359375,0.916015625,0.765625
50.0,1.09375,0.4375,1.3671875,0.72265625,0.43359375,0.3359375,0.916015625,1.083984375
52.5,1.09375,0.4375,1.638671875,0.72265625,0.43359375,0.3359375,0.6416015625,0.9459635416666666
55.0,1.09375,0.4375,1.91015625,0.72265625,0.43359375,0.3359375,0.3671875,0.8079427083333333
57.5,1.09375,0.4375,1.2890625,0.72265625,0.43359375,0.3359375,0.857421875,0.669921875
60.0,1.09375,0.4375,1.1796875,0.72265625,0.43359375,0.3359375,0.5703125,0.412109375
62.5,1.09375,0.4375,0.9856770833333334,0.72265625,0.43359375,0.3359375,0.669921875,0.33203125
65.0,1.09375,0.4375,0.7916666666666667,0.72265625,0.43359375,0.3359375,0.458984375,0.451171875
67.5,1.09375,0.4375,0.59765625,0.72265625,0.43359375,0.330078125,0.318359375,0.37109375
70.0,1.09375,0.4375,0.5502232142857143,0.72265625,0.43359375,0.31640625,0.283203125,0.3291015625
71.0,1.09375,0.4375,0.5027901785714286,0.72265625,0.40904017857142855,0.3138020833333333,0.28125,0.31982421875
72.0,1.09375,0.4375,0.45535714285714285,0.72265625,0.38448660714285715,0.3111979166666667,0.279296875,0.310546875
72.5,1.09375,0.4375,0.40792410714285715,0.72265625,0.3599330357142857,0.30859375,0.27734375,0.30126953125
73.0,1.09375,0.4375,0.36049107142857145,0.72265625,0.3353794642857143,0.3046875,0.275390625,0.2919921875
74.0,0.421875,0.4375,0.3130580357142857,0.72265625,0.31082589285714285,0.30078125,0.2734375,0.28271484375
75.0,0.125,0.4375,0.265625,0.775390625,0.2862723214285714,0.296875,0.271484375,0.2734375
76.0,0.22265625,0.34765625,0.2779947916666667,0.453125,0.26171875,0.2962239583333333,0.2745768229166667,0.2745768229166667
77.0,0.3203125,0.2578125,0.2903645833333333,0.4290364583333333,0.27783203125,0.2955729166666667,0.2776692708333333,0.2757161458333333
77.5,0.326171875,0.259765625,0.302734375,0.4049479166666667,0.2939453125,0.294921875,0.28076171875,0.27685546875
78.0,0.33203125,0.26171875,0.3151041666666667,0.380859375,0.31005859375,0.296875,0.2838541666666667,0.2779947916666667
79.0,0.3125,0.2578125,0.3274739583333333,0.2734375,0.326171875,0.298828125,0.2869466145833333,0.2791341145833333
80.0,0.328125,0.3125,0.33984375,0.310546875,0.3125,0.30078125,0.2900390625,0.2802734375
81.0,0.30859375,0.2890625,0.337890625,0.3046875,0.369140625,0.2975260416666667,0.28759765625,0.2802734375
82.0,0.3125,0.27734375,0.3359375,0.298828125,0.314453125,0.2942708333333333,0.28515625,0.2802734375
82.5,0.31640625,0.275390625,0.333984375,0.3125,0.3154296875,0.291015625,0.28271484375,0.2802734375
83.0,0.3203125,0.2734375,0.33203125,0.326171875,0.31640625,0.287109375,0.2802734375,0.2802734375
84.0,0.296875,0.30078125,0.330078125,0.298828125,0.3046875,0.283203125,0.27783203125,0.2802734375
85.0,0.3125,0.296875,0.328125,0.333984375,0.30078125,0.279296875,0.275390625,0.2802734375
86.0,0.328125,0.30859375,0.3333333333333333,0.30859375,0.3125,0.28125,0.2760416666666667,0.2801106770833333
87.0,0.34375,0.33203125,0.3385416666666667,0.3203125,0.3125,0.283203125,0.2766927083333333,0.2799479166666667
87.5,0.375,0.345703125,0.34375,0.314453125,0.3125,0.28515625,0.27734375,0.27978515625
88.0,0.40625,0.359375,0.3489583333333333,0.30859375,0.3125,0.2858072916666667,0.2779947916666667,0.2796223958333333
89.0,0.515625,0.34375,0.3541666666666667,0.31640625,0.3125,0.2864583333333333,0.2786458333333333,0.2794596354166667
90.0,0.4375,0.390625,0.359375,0.40234375,0.30859375,0.287109375,0.279296875,0.279296875
91.0,0.46875,0.4140625,0.35546875,0.39453125,0.32421875,0.2877604166666667,0.287109375,0.27978515625
92.0,0.5,0.359375,0.3515625,0.38671875,0.34765625,0.2884114583333333,0.294921875,0.2802734375
92.5,0.578125,0.3828125,0.34765625,0.396484375,0.341796875,0.2890625,0.302734375,0.28076171875
95.0,0.65625,0.40625,0.34375,0.40625,0.3359375,0.30078125,0.310546875,0.28125
100.0,0.65625,0.59375,0.375,0.5234375,0.515625,0.3125,0.30859375,0.29296875
105.0,0.65625,0.59375,0.4375,0.5234375,0.515625,0.328125,0.34375,0.33984375
110.0,0.65625,0.59375,0.53125,0.5234375,0.515625,0.359375,0.328125,0.32421875
115.0,0.65625,0.59375,0.71875,0.5234375,0.515625,0.4453125,0.40625,0.34375
120.0,0.65625,0.59375,0.71875,0.5234375,0.515625,0.453125,0.4453125,0.34765625
125.0,0.65625,0.59375,0.71875,0.5234375,0.515625,0.46875,0.390625,0.34765625
