strike,2021-04-16,2021-04-23,2021-04-30,2021-05-21,2021-06-18,2021-09-17
1.0,1.0,1.4375,1.25,1.0,1.0625,1.328125
2.0,1.0,1.4375,1.25,1.0,1.0625,1.328125
3.0,1.0,1.4375,1.25,1.0,1.0625,1.328125
4.0,1.0,1.4375,1.25,0.9375,1.0625,1.328125
5.0,0.875,1.4375,1.25,1.109375,1.21875,1.34375
6.0,1.125,1.4375,1.25,1.328125,1.359375,1.515625
6.5,1.25,1.4375,1.25,1.328125,1.40625,1.515625
7.0,1.375,1.4375,1.25,1.328125,1.453125,1.515625
7.5,1.421875,1.4375,1.34375,1.3984375,1.453125,1.5390625
8.0,1.46875,1.4375,1.3125,1.46875,1.453125,1.5625
8.5,1.4453125,1.4375,1.5,1.46875,1.5390625,1.62109375
9.0,1.421875,1.4375,1.625,1.46875,1.625,1.6796875
9.5,1.3984375,1.625,1.3125,1.53125,1.6484375,1.70703125
10.0,1.375,1.625,1.0,1.59375,1.671875,1.734375
10.5,1.59375,1.6875,1.484375,1.59375,1.7109375,1.7109375
11.0,1.8125,1.875,1.96875,1.59375,1.75,1.6875
11.5,1.8125,1.84375,1.734375,1.671875,1.796875,1.55859375
12.0,1.8125,1.8125,1.5,1.75,1.84375,1.4296875
12.5,1.8125,1.78125,1.625,1.6875,1.8671875,1.52734375
13.0,1.8125,1.75,1.75,1.625,1.890625,1.625
13.5,1.8125,1.75,1.75,1.5625,1.8828125,1.62890625
14.0,1.8125,1.75,1.75,1.5,1.875,1.6328125
14.5,1.8125,1.75,1.75,1.5,1.875,1.6640625
15.0,1.8125,1.75,1.75,1.5,1.875,1.6953125
15.5,1.8125,1.75,1.75,1.5,1.65625,1.55859375
16.0,1.8125,1.75,1.75,1.5,1.4375,1.421875
16.5,1.8125,1.75,1.75,1.5,1.5625,1.5390625
17.0,1.8125,1.75,1.75,1.5,1.6875,1.65625
17.5,1.8125,1.75,1.75,1.5,1.78125,1.65625
18.0,1.8125,1.75,1.75,1.5,1.875,1.65625
19.0,1.8125,1.75,1.75,1.5,1.75,1.65625
20.0,1.8125,1.75,1.75,1.5,1.5625,1.65625
21.0,1.8125,1.75,1.75,1.5,1.375,1.65625
22.0,1.8125,1.75,1.75,1.5,1.375,1.796875
23.0,1.8125,1.75,1.75,1.5,1.375,1.828125
