strike,2021-04-01,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-21,2021-06-18,2021-06-30,2021-08-20,2021-09-17
140.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.640625,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
144.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.6342592592592593,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
145.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.6278935185185185,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
146.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.6215277777777778,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
147.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.6151620370370371,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
148.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.6087962962962963,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
149.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.6024305555555556,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
150.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5960648148148148,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
151.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5896990740740741,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
152.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5833333333333334,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
153.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5769675925925926,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
154.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5706018518518519,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
155.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5642361111111112,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
156.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5578703703703703,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
157.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5515046296296297,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
158.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5451388888888888,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
159.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5387731481481481,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
160.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5324074074074074,0.43359375,0.41796875,0.4296875,0.31640625,0.4013671875
161.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5260416666666666,0.43359375,0.41796875,0.4375,0.31640625,0.4013671875
162.0,0.5,0.40625,0.375,0.39453125,0.400390625,0.5196759259259259,0.43359375,0.41796875,0.453125,0.31640625,0.4013671875
