strike,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-21,2021-06-18,2021-09-17
1.0,1.625,1.8125,1.625,1.15625,1.5,0.875,1.171875
2.0,1.625,1.8125,1.625,1.15625,1.5,0.875,1.171875
3.0,1.625,1.8125,1.625,1.15625,0.5,0.875,1.171875
4.0,1.625,1.8125,1.625,1.15625,1.0,1.0625,1.28125
4.5,1.625,1.8125,1.625,1.15625,1.109375,1.15625,1.328125
5.0,1.625,1.8125,1.625,1.15625,1.21875,1.25,1.375
5.5,1.625,1.8125,1.625,1.1875,1.28125,1.328125,1.4140625
6.0,1.625,1.8125,1.625,1.34375,1.34375,1.40625,1.453125
6.5,1.625,1.8125,1.625,1.4375,1.421875,1.4375,1.4765625
7.0,1.625,1.8125,1.625,1.46875,1.5,1.46875,1.5
7.5,1.6875,1.8125,1.625,1.5,1.53125,1.5703125,1.53125
8.0,1.90625,1.8125,1.5,1.46875,1.5625,1.671875,1.5625
8.5,1.5625,1.8125,1.125,1.125,1.6484375,1.6875,1.62109375
9.0,1.75,1.8125,1.96875,1.21875,1.734375,1.703125,1.6796875
9.5,1.9375,1.75,1.8125,1.3125,1.7578125,1.71875,1.70703125
10.0,1.9375,1.875,1.65625,1.3125,1.78125,1.734375,1.734375
10.5,1.625,1.5625,1.671875,1.3125,1.796875,1.734375,1.74609375
11.0,1.9375,1.5625,1.6875,1.3125,1.8125,1.734375,1.7578125
11.5,1.9375,1.5625,1.6875,1.3125,1.84375,1.796875,1.7265625
12.0,1.9375,1.5625,1.6875,1.3125,1.875,1.859375,1.6953125
12.5,1.9375,1.5625,1.6875,1.3125,1.828125,1.890625,1.6640625
13.0,1.9375,1.5625,1.6875,1.3125,1.78125,1.921875,1.6328125
13.5,1.9375,1.5625,1.6875,1.3125,1.875,1.7109375,1.73828125
14.0,1.9375,1.5625,1.6875,1.3125,1.96875,1.5,1.84375
14.5,1.9375,1.5625,1.6875,1.3125,1.96875,1.65625,1.84375
15.0,1.9375,1.5625,1.6875,1.3125,1.96875,1.8125,1.84375
15.5,1.9375,1.5625,1.6875,1.3125,1.96875,1.84375,1.765625
16.0,1.9375,1.5625,1.6875,1.3125,1.96875,1.875,1.6875
16.5,1.9375,1.5625,1.6875,1.3125,1.96875,1.875,1.609375
17.0,1.9375,1.5625,1.6875,1.3125,1.96875,1.875,1.53125
17.5,1.9375,1.5625,1.6875,1.3125,1.96875,1.921875,1.53125
18.0,1.9375,1.5625,1.6875,1.3125,1.96875,1.96875,1.53125
19.0,1.9375,1.5625,1.6875,1.3125,1.96875,1.90625,1.53125
20.0,1.9375,1.5625,1.6875,1.3125,1.96875,1.90625,1.90625
21.0,1.9375,1.5625,1.6875,1.3125,1.96875,1.90625,1.53125
22.0,1.9375,1.5625,1.6875,1.3125,1.96875,1.90625,1.6875
