strike,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-21,2021-06-18,2021-07-16,2021-09-17
22.5,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.640625,1.125,0.46484375
25.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.640625,1.0,0.46484375
30.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.640625,0.75,0.46484375
35.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.640625,0.90625,0.46484375
40.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.640625,0.8125,0.46484375
45.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.640625,0.78125,0.46484375
50.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.640625,0.75,0.46484375
55.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.640625,0.6875,0.46484375
60.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.640625,0.6484375,0.46484375
65.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.640625,0.6015625,0.46484375
67.5,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.640625,0.5859375,0.46484375
68.75,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.609375,0.5703125,0.46484375
70.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.609375,0.5546875,0.46484375
71.25,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.6171875,0.54541015625,0.46484375
72.5,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.5859375,0.5361328125,0.46484375
73.75,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.609375,0.52685546875,0.451171875
75.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.5703125,0.517578125,0.4375
77.5,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.5390625,0.4912109375,0.421875
80.0,0.5,0.296875,0.6875,0.609375,0.322265625,0.298828125,0.51953125,0.46484375,0.40234375
82.5,0.5,0.296875,0.65625,0.609375,0.322265625,0.298828125,0.4921875,0.44140625,0.390625
85.0,0.5,0.296875,0.625,0.609375,0.322265625,0.298828125,0.46875,0.41796875,0.37890625
87.5,0.5,0.296875,0.59375,0.578125,0.322265625,0.298828125,0.44140625,0.400390625,0.37109375
90.0,0.5,0.296875,0.5625,0.546875,0.322265625,0.298828125,0.41796875,0.3828125,0.3564453125
92.5,0.5,0.296875,0.53125,0.5234375,0.322265625,0.298828125,0.3984375,0.37109375,0.3427734375
95.0,0.5,0.296875,0.5,0.5,0.322265625,0.298828125,0.3828125,0.359375,0.333984375
97.5,0.53125,0.296875,0.46875,0.47265625,0.322265625,0.298828125,0.373046875,0.3447265625,0.328125
100.0,0.5625,0.296875,0.4375,0.4453125,0.322265625,0.298828125,0.349609375,0.330078125,0.328125
102.0,0.5375,0.296875,0.425,0.434375,0.322265625,0.298828125,0.341796875,0.3275390625,0.324462890625
102.5,0.5125,0.296875,0.4125,0.4234375,0.322265625,0.298828125,0.333984375,0.325,0.32080078125
103.0,0.4875,0.296875,0.4,0.4125,0.322265625,0.298828125,0.33203125,0.3224609375,0.31884765625
104.0,0.4625,0.296875,0.3875,0.4015625,0.322265625,0.298828125,0.330078125,0.319921875,0.31689453125
105.0,0.4375,0.296875,0.375,0.390625,0.322265625,0.298828125,0.328125,0.3173828125,0.31494140625
106.0,0.4375,0.296875,0.3671875,0.3828125,0.322265625,0.298828125,0.326171875,0.3154296875,0.31396484375
107.0,0.4375,0.296875,0.359375,0.375,0.322265625,0.298828125,0.32421875,0.3134765625,0.31298828125
107.5,0.421875,0.296875,0.3515625,0.369140625,0.322265625,0.298828125,0.322265625,0.3115234375,0.31201171875
108.0,0.40625,0.296875,0.34375,0.36328125,0.322265625,0.298828125,0.322265625,0.3095703125,0.3111979166666667
109.0,0.390625,0.296875,0.33203125,0.3515625,0.322265625,0.298828125,0.322265625,0.3076171875,0.3103841145833333
110.0,0.359375,0.296875,0.32421875,0.341796875,0.322265625,0.298828125,0.322265625,0.3056640625,0.3095703125
111.0,0.359375,0.296875,0.31640625,0.337890625,0.322265625,0.298828125,0.322265625,0.30552455357142855,0.3102213541666667
112.0,0.34375,0.296875,0.30078125,0.33203125,0.322265625,0.298828125,0.322265625,0.30538504464285715,0.3108723958333333
112.5,0.328125,0.296875,0.2958984375,0.3330078125,0.322265625,0.298828125,0.322265625,0.3052455357142857,0.3115234375
