strike,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-21,2021-06-18,2021-07-16,2021-08-20
20.0,0.25,1.375,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.4140625
21.0,0.25,1.375,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.4140625
22.0,0.25,1.375,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.4140625
23.0,0.25,1.319078947368421,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.4140625
24.0,0.25,1.263157894736842,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.4140625
25.0,0.25,1.2072368421052633,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.4140625
26.0,0.25,1.1513157894736843,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.4140625
27.0,0.25,1.0953947368421053,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.34765625
28.0,0.25,1.0394736842105263,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.28125
29.0,0.25,0.9835526315789473,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.234375
30.0,0.25,0.9276315789473684,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.1875
30.5,0.25,0.8717105263157895,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.23828125
31.0,0.25,0.8157894736842105,0.25,0.28125,0.5,0.328125,0.3203125,0.3984375,0.2890625
31.5,0.25,0.7598684210526315,0.25,0.28125,0.5,0.328125,0.31640625,0.34765625,0.28125
32.0,0.25,0.7039473684210527,0.25,0.28125,0.5,0.328125,0.3125,0.296875,0.2734375
32.5,0.25,0.6480263157894737,0.25,0.28125,0.40625,0.328125,0.30859375,0.294921875,0.28125
33.0,0.25,0.5921052631578947,0.25,0.28125,0.3125,0.328125,0.3046875,0.29296875,0.2890625
33.5,0.25,0.5361842105263158,0.25,0.28125,0.3125,0.328125,0.2890625,0.291015625,0.28515625
34.0,0.25,0.48026315789473684,0.25,0.28125,0.3125,0.328125,0.2734375,0.2890625,0.28125
34.5,0.25,0.42434210526315785,0.25,0.28125,0.3125,0.326171875,0.279296875,0.2861328125,0.2763671875
35.0,0.25,0.368421052631579,0.25,0.28125,0.3125,0.32421875,0.28515625,0.283203125,0.271484375
35.5,0.25,0.3125,0.25,0.28125,0.3125,0.3125,0.29296875,0.2783203125,0.279296875
36.0,0.2578125,0.34375,0.25,0.28125,0.3125,0.30078125,0.30078125,0.2734375,0.287109375
36.5,0.265625,0.1875,0.2421875,0.33203125,0.30859375,0.3046875,0.298828125,0.2802734375,0.2861328125
37.0,0.2734375,0.3359375,0.30859375,0.3046875,0.30078125,0.30859375,0.296875,0.287109375,0.28515625
37.5,0.28125,0.296875,0.28125,0.3125,0.31640625,0.3046875,0.294921875,0.2880859375,0.28515625
38.0,0.265625,0.328125,0.3203125,0.3203125,0.30859375,0.30078125,0.29296875,0.2890625,0.28515625
38.5,0.2578125,0.328125,0.3203125,0.2890625,0.3125,0.302734375,0.28515625,0.28125,0.2890625
39.0,0.2578125,0.3203125,0.3046875,0.3046875,0.296875,0.3046875,0.27734375,0.2734375,0.29296875
39.5,0.2578125,0.3203125,0.32421875,0.31640625,0.33203125,0.302734375,0.2822265625,0.2822265625,0.2919921875
40.0,0.2578125,0.31640625,0.3125,0.3125,0.3046875,0.30078125,0.287109375,0.291015625,0.291015625
40.5,0.265625,0.31640625,0.3046875,0.30859375,0.30078125,0.30078125,0.2861328125,0.2880859375,0.2904296875
41.0,0.265625,0.3203125,0.30859375,0.30078125,0.29296875,0.30078125,0.28515625,0.28515625,0.28984375
41.5,0.28125,0.3203125,0.3046875,0.3046875,0.279296875,0.298828125,0.287109375,0.283203125,0.2892578125
42.0,0.28125,0.3203125,0.3125,0.30078125,0.265625,0.296875,0.2890625,0.28125,0.288671875
42.5,0.28125,0.328125,0.328125,0.3203125,0.294921875,0.296875,0.287109375,0.28125,0.2880859375
43.0,0.25,0.328125,0.3046875,0.3125,0.32421875,0.296875,0.28515625,0.28125,0.2875
43.5,0.25,0.34375,0.3203125,0.3125,0.32421875,0.296875,0.287109375,0.2802734375,0.2869140625
44.0,0.25,0.34375,0.3359375,0.3203125,0.32421875,0.296875,0.2890625,0.279296875,0.286328125
44.5,0.25,0.359375,0.33984375,0.3203125,0.32421875,0.30078125,0.2890625,0.28515625,0.2857421875
45.0,0.25,0.375,0.34375,0.3203125,0.32421875,0.3046875,0.2890625,0.291015625,0.28515625
46.0,0.25,0.375,0.34375,0.3203125,0.32421875,0.3046875,0.28125,0.2734375,0.28671875
47.0,0.25,0.40625,0.34375,0.3203125,0.32421875,0.3125,0.29296875,0.2734375,0.28828125
48.0,0.25,0.4375,0.34375,0.3203125,0.32421875,0.3125,0.296875,0.29296875,0.28984375
49.0,0.25,0.4375,0.34375,0.3203125,0.32421875,0.328125,0.2890625,0.296875,0.29140625
50.0,0.25,0.4375,0.34375,0.3203125,0.32421875,0.34375,0.3046875,0.2890625,0.29296875
