strike,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-21,2021-06-18,2021-06-30,2021-08-20,2021-09-17
140.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
160.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
161.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
162.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
163.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
164.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
165.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
166.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
167.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
168.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
169.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
170.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
171.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
172.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.3515625,0.267578125,0.23291015625,0.1796875
173.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.47705078125,0.267578125,0.23291015625,0.1796875
174.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.6025390625,0.267578125,0.23291015625,0.1796875
175.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.5647786458333334,0.267578125,0.23291015625,0.1796875
176.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.5270182291666666,0.267578125,0.23291015625,0.1796875
177.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.4892578125,0.267578125,0.23291015625,0.1796875
178.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.59033203125,0.267578125,0.23291015625,0.1796875
179.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.69140625,0.267578125,0.23291015625,0.1796875
180.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.310546875,0.267578125,0.23291015625,0.1796875
181.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.296875,0.3896484375,0.23291015625,0.302734375
182.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.29296875,0.51171875,0.23291015625,0.42578125
182.5,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.511962890625,0.5167236328125,0.23291015625,0.4007161458333333
183.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6708984375,0.73095703125,0.521728515625,0.23291015625,0.3756510416666667
184.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.6246337890625,0.5302734375,0.5267333984375,0.23291015625,0.3505859375
185.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.578369140625,0.4955078125,0.53173828125,0.23291015625,0.166015625
186.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.5321044921875,0.4607421875,0.5367431640625,0.23291015625,0.261962890625
187.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.48583984375,0.4259765625,0.541748046875,0.23291015625,0.35791015625
187.5,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.4395751953125,0.3912109375,0.5467529296875,0.23291015625,0.3543701171875
188.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.393310546875,0.3564453125,0.5517578125,0.23291015625,0.350830078125
189.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.3470458984375,0.44873046875,0.4736328125,0.23291015625,0.3472900390625
190.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.30078125,0.302734375,0.468650688559322,0.23291015625,0.34375
191.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.76171875,0.30106026785714285,0.4636685646186441,0.23291015625,0.23046875
192.0,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.655078125,0.2993861607142857,0.4586864406779661,0.23291015625,0.1171875
192.5,0.359375,0.3515625,0.22265625,0.2734375,0.28515625,0.5484375,0.29771205357142855,0.4537043167372881,0.23291015625,0.22607421875
