strike,2021-04-16,2021-05-21,2021-07-16
22.5,1.84375,0.234375,0.5546875
25.0,1.84375,0.234375,0.5546875
27.5,1.84375,0.234375,0.5546875
30.0,1.84375,0.234375,0.5546875
32.5,1.5625,0.234375,0.5546875
35.0,1.375,0.234375,0.5546875
37.5,1.6875,0.234375,0.5546875
40.0,1.125,0.234375,0.5546875
42.5,1.09375,0.234375,0.55859375
45.0,0.875,0.234375,0.44140625
47.5,0.9140625,0.234375,0.390625
50.0,0.65625,0.234375,0.3671875
52.5,0.625,0.234375,0.33203125
55.0,0.4375,0.234375,0.26171875
57.5,0.25,0.234375,0.23828125
60.0,0.2734375,0.234375,0.232421875
62.5,0.2578125,0.22265625,0.2265625
65.0,0.21484375,0.212890625,0.232421875
67.5,0.21875,0.212890625,0.2578125
70.0,0.2890625,0.212890625,0.2900390625
72.5,0.2890625,0.212890625,0.2900390625
75.0,0.2890625,0.212890625,0.2900390625
