strike,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-21,2021-06-18,2021-06-30,2021-09-17
23.0,0.28125,1.84375,0.2890625,0.30078125,0.2734375,1.83203125,0.34375,0.30859375,0.8046875
24.0,0.28125,1.84375,0.2890625,0.30078125,0.2734375,1.83203125,0.34375,0.30859375,0.8046875
25.0,0.28125,1.84375,0.2890625,0.30078125,0.2734375,1.83203125,0.34375,0.30859375,0.8046875
26.0,0.28125,1.84375,0.2890625,0.30078125,0.2734375,1.83203125,0.34375,0.30859375,0.8046875
27.0,0.28125,1.84375,0.2890625,0.30078125,0.2734375,1.83203125,0.34375,0.30859375,0.8046875
28.0,0.28125,1.84375,0.2890625,0.30078125,0.2734375,1.83203125,0.34375,0.30859375,0.8046875
29.0,0.28125,1.84375,0.2890625,0.30078125,0.2734375,1.83203125,0.34375,0.30859375,0.8046875
30.0,0.28125,1.84375,0.2890625,0.30078125,0.2734375,1.83203125,0.34375,0.30859375,0.8046875
31.0,0.28125,1.84375,0.2890625,0.30078125,0.2734375,1.83203125,0.34375,0.30859375,0.8046875
32.0,0.28125,1.84375,0.2890625,0.30078125,0.2734375,1.720703125,0.34375,0.30859375,0.8046875
33.0,0.28125,1.84375,0.2890625,0.30078125,0.2734375,1.609375,0.34375,0.30859375,0.7213541666666666
34.0,0.28125,1.75,0.2890625,0.30078125,0.2734375,1.498046875,0.34375,0.30859375,0.6380208333333334
35.0,0.28125,1.65625,0.2890625,0.30078125,0.2734375,1.38671875,0.34375,0.30859375,0.5546875
36.0,0.28125,1.5625,0.2890625,0.30078125,0.2734375,1.40625,0.34375,0.30859375,0.50078125
37.0,0.28125,1.46875,0.2890625,0.30078125,0.2734375,0.98828125,0.34375,0.30859375,0.446875
38.0,0.28125,1.375,0.2890625,0.30078125,0.2734375,1.453125,0.34375,0.30859375,0.39296875
39.0,0.28125,1.28125,0.2890625,0.30078125,0.2734375,0.7890625,0.34375,0.30859375,0.3390625
40.0,0.28125,1.1875,0.2890625,0.30078125,0.2734375,0.125,0.34375,0.30859375,0.28515625
41.0,0.28125,1.09375,0.2890625,0.30078125,0.2734375,0.17578125,0.34375,0.30859375,0.24609375
42.0,0.28125,1.0,0.2890625,0.30078125,0.2734375,0.2265625,0.34375,0.30859375,0.26171875
42.5,0.28125,0.90625,0.2890625,0.30078125,0.2734375,0.27734375,0.322265625,0.30859375,0.234375
43.0,0.28125,0.8125,0.2890625,0.30078125,0.2734375,0.328125,0.30078125,0.30859375,0.20703125
43.5,0.28125,0.71875,0.2890625,0.30078125,0.2734375,0.3427734375,0.3125,0.3115234375,0.21484375
44.0,0.28125,0.625,0.2890625,0.30078125,0.2734375,0.357421875,0.32421875,0.314453125,0.22265625
44.5,0.28125,0.53125,0.2890625,0.30078125,0.2734375,0.3720703125,0.310546875,0.3076171875,0.2578125
45.0,0.28125,0.4375,0.2890625,0.30078125,0.2734375,0.38671875,0.296875,0.30078125,0.29296875
45.5,0.28125,0.34375,0.2890625,0.30078125,0.2734375,0.3515625,0.3076171875,0.2841796875,0.2939453125
46.0,0.28125,0.25,0.2890625,0.30078125,0.2734375,0.31640625,0.318359375,0.267578125,0.294921875
46.5,0.28125,0.24609375,0.2890625,0.30078125,0.2734375,0.30859375,0.3175998263888889,0.28125,0.291015625
47.0,0.28125,0.2421875,0.2890625,0.30078125,0.25,0.30078125,0.3168402777777778,0.294921875,0.287109375
47.5,0.28125,0.23828125,0.2890625,0.30078125,0.2265625,0.3046875,0.3160807291666667,0.271484375,0.2861328125
48.0,0.28125,0.234375,0.2890625,0.30078125,0.203125,0.30859375,0.3153211805555556,0.248046875,0.28515625
48.5,0.28125,0.23046875,0.2890625,0.30078125,0.20703125,0.32421875,0.3145616319444444,0.24609375,0.2822265625
49.0,0.28125,0.3203125,0.2890625,0.30078125,0.21875,0.33984375,0.3138020833333333,0.244140625,0.279296875
49.5,0.28125,0.30078125,0.2890625,0.30078125,0.3203125,0.330078125,0.3130425347222222,0.2705078125,0.2890625
50.0,0.265625,0.3046875,0.2890625,0.30078125,0.3125,0.3203125,0.3122829861111111,0.296875,0.298828125
50.5,0.28125,0.3046875,0.265625,0.30078125,0.296875,0.3209635416666667,0.3115234375,0.29296875,0.298828125
51.0,0.2734375,0.32421875,0.3203125,0.30078125,0.28125,0.3216145833333333,0.3107638888888889,0.2890625,0.298828125
51.5,0.2734375,0.296875,0.3046875,0.27734375,0.294921875,0.322265625,0.3100043402777778,0.2900390625,0.2985026041666667
52.0,0.2890625,0.3046875,0.3125,0.30859375,0.30859375,0.3229166666666667,0.3092447916666667,0.291015625,0.2981770833333333
52.5,0.296875,0.3046875,0.26171875,0.31640625,0.306640625,0.3235677083333333,0.3084852430555556,0.2783203125,0.2978515625
53.0,0.296875,0.3203125,0.3125,0.30859375,0.26953125,0.32421875,0.3077256944444444,0.265625,0.2975260416666667
53.5,0.3125,0.3203125,0.3125,0.3046875,0.31640625,0.3203125,0.3069661458333333,0.283203125,0.2972005208333333
