strike,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-06-18,2021-07-16,2021-09-17
35.0,0.3125,1.25,0.359375,0.4140625,0.453125,0.390625,0.65625,0.53125,0.671875,0.443359375
40.0,0.3125,1.25,0.359375,0.4140625,0.453125,0.390625,0.65625,0.53125,0.65234375,0.443359375
42.5,0.3125,1.25,0.359375,0.4140625,0.453125,0.390625,0.65625,0.53125,0.5703125,0.443359375
45.0,0.3125,1.125,0.359375,0.4140625,0.453125,0.390625,0.65625,0.53125,0.52734375,0.443359375
47.5,0.3125,0.75,0.359375,0.4140625,0.453125,0.390625,0.625,0.53125,0.4921875,0.443359375
50.0,0.3125,0.5,0.359375,0.4140625,0.453125,0.390625,0.53125,0.4765625,0.453125,0.443359375
52.5,0.3125,0.59375,0.359375,0.4140625,0.453125,0.390625,0.4921875,0.4453125,0.435546875,0.41015625
55.0,0.3125,0.6875,0.359375,0.4140625,0.453125,0.390625,0.453125,0.4140625,0.41796875,0.384765625
57.5,0.3125,0.625,0.359375,0.4140625,0.453125,0.390625,0.4140625,0.39453125,0.375,0.3955078125
60.0,0.3125,0.53125,0.359375,0.4140625,0.453125,0.390625,0.3984375,0.37109375,0.36328125,0.3623046875
62.5,0.3125,0.46875,0.359375,0.4140625,0.4244791666666667,0.390625,0.3671875,0.361328125,0.349609375,0.3505859375
64.0,0.3125,0.4375,0.359375,0.4140625,0.3958333333333333,0.390625,0.3623046875,0.353515625,0.34375,0.349609375
65.0,0.3125,0.421875,0.359375,0.4140625,0.3671875,0.390625,0.357421875,0.345703125,0.337890625,0.3486328125
65.5,0.3125,0.41796875,0.359375,0.4140625,0.3671875,0.390625,0.35400390625,0.34375,0.337646484375,0.35009765625
66.0,0.3125,0.4140625,0.359375,0.4140625,0.39453125,0.390625,0.3505859375,0.341796875,0.33740234375,0.3515625
67.0,0.3125,0.3984375,0.359375,0.4140625,0.3359375,0.380078125,0.34716796875,0.33984375,0.337158203125,0.35302734375
67.5,0.3125,0.3828125,0.359375,0.4140625,0.33984375,0.36953125,0.34375,0.337890625,0.3369140625,0.3544921875
68.0,0.3125,0.390625,0.359375,0.4140625,0.34375,0.358984375,0.34453125,0.3375,0.3353515625,0.351171875
68.5,0.34375,0.390625,0.359375,0.4140625,0.41015625,0.3484375,0.3453125,0.337109375,0.3337890625,0.3478515625
69.0,0.328125,0.390625,0.359375,0.4140625,0.3876953125,0.337890625,0.34609375,0.33671875,0.3322265625,0.34453125
69.5,0.328125,0.38671875,0.359375,0.4140625,0.365234375,0.349609375,0.346875,0.336328125,0.3306640625,0.3412109375
70.0,0.3125,0.375,0.359375,0.37109375,0.361328125,0.361328125,0.34765625,0.3359375,0.3291015625,0.337890625
70.5,0.3125,0.3984375,0.34765625,0.349609375,0.37109375,0.373046875,0.346875,0.3345703125,0.3318359375,0.340234375
71.0,0.3125,0.37890625,0.34765625,0.37109375,0.380859375,0.384765625,0.34609375,0.333203125,0.3345703125,0.342578125
71.5,0.3046875,0.3779296875,0.21875,0.359375,0.333984375,0.396484375,0.3453125,0.3318359375,0.3373046875,0.344921875
72.0,0.30078125,0.376953125,0.349609375,0.34765625,0.40625,0.3515625,0.34453125,0.33046875,0.3400390625,0.347265625
72.5,0.328125,0.3759765625,0.35546875,0.37890625,0.37890625,0.35546875,0.34375,0.3291015625,0.3427734375,0.349609375
73.0,0.3125,0.375,0.3203125,0.349609375,0.3515625,0.3567708333333333,0.34375,0.332421875,0.3419921875,0.3462890625
73.5,0.296875,0.33984375,0.375,0.4453125,0.361328125,0.3580729166666667,0.34375,0.3357421875,0.3412109375,0.34296875
74.0,0.328125,0.3515625,0.376953125,0.4375,0.37109375,0.359375,0.34375,0.3390625,0.3404296875,0.3396484375
74.5,0.30859375,0.3984375,0.423828125,0.314453125,0.380859375,0.359375,0.34375,0.3423828125,0.3396484375,0.336328125
75.0,0.2890625,0.41015625,0.55078125,0.337890625,0.390625,0.359375,0.34375,0.345703125,0.3388671875,0.3330078125
75.5,0.30859375,0.41796875,0.30078125,0.5,0.376953125,0.359375,0.347265625,0.338671875,0.3359375,0.34375
76.0,0.328125,0.36328125,0.2890625,0.44140625,0.376953125,0.359375,0.35078125,0.331640625,0.3330078125,0.3544921875
76.5,0.34765625,0.296875,0.3046875,0.44140625,0.376953125,0.359375,0.354296875,0.324609375,0.330078125,0.365234375
77.0,0.3671875,0.28515625,0.3203125,0.44140625,0.376953125,0.359375,0.3578125,0.317578125,0.3271484375,0.3759765625
77.5,0.38671875,0.359375,0.39453125,0.44140625,0.376953125,0.359375,0.361328125,0.310546875,0.32421875,0.38671875
78.0,0.40625,0.57421875,0.46875,0.44140625,0.376953125,0.359375,0.37060546875,0.32421875,0.331787109375,0.3876953125
78.5,0.46875,0.5364583333333334,0.46875,0.44140625,0.376953125,0.359375,0.3798828125,0.337890625,0.33935546875,0.388671875
79.0,0.53125,0.4986979166666667,0.46875,0.44140625,0.376953125,0.359375,0.38916015625,0.3515625,0.346923828125,0.3896484375
80.0,0.53125,0.4609375,0.46875,0.44140625,0.376953125,0.359375,0.3984375,0.365234375,0.3544921875,0.390625
81.0,0.53125,0.703125,0.46875,0.44140625,0.376953125,0.359375,0.3893229166666667,0.3629557291666667,0.3606770833333333,0.3815104166666667
82.0,0.53125,0.7421875,0.46875,0.44140625,0.376953125,0.359375,0.3802083333333333,0.3606770833333333,0.3668619791666667,0.3723958333333333
82.5,0.53125,0.78125,0.46875,0.44140625,0.376953125,0.359375,0.37109375,0.3583984375,0.373046875,0.36328125
83.0,0.53125,0.7942708333333334,0.46875,0.44140625,0.376953125,0.359375,0.3932291666666667,0.3697916666666667,0.37109375,0.3626302083333333
84.0,0.53125,0.8072916666666666,0.46875,0.44140625,0.376953125,0.359375,0.4153645833333333,0.3811848958333333,0.369140625,0.3619791666666667
85.0,0.53125,0.8203125,0.46875,0.44140625,0.376953125,0.359375,0.4375,0.392578125,0.3671875,0.361328125
90.0,0.53125,1.03125,0.46875,0.44140625,0.376953125,0.359375,0.44921875,0.43359375,0.34765625,0.44140625
95.0,0.53125,1.21875,0.46875,0.44140625,0.376953125,0.359375,0.671875,1.009765625,0.34765625,0.49072265625
100.0,0.53125,1.40625,0.46875,0.44140625,0.376953125,0.359375,0.671875,1.009765625,0.34765625,0.5400390625
105.0,0.53125,1.5625,0.46875,0.44140625,0.376953125,0.359375,0.671875,1.009765625,0.34765625,0.5400390625
110.0,0.53125,1.5625,0.46875,0.44140625,0.376953125,0.359375,0.671875,1.009765625,0.34765625,0.5400390625
