strike,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-06-18,2021-09-17
3.0,1.75,0.34375,0.3125,0.5,0.53125,0.46875,0.8125,0.625,0.453125
5.0,1.75,0.34375,0.3125,0.5,0.53125,0.46875,0.8125,0.625,0.453125
6.0,1.75,0.34375,0.3125,0.5,0.53125,0.46875,0.8125,0.625,0.453125
7.0,1.75,0.34375,0.3125,0.5,0.53125,0.46875,0.8125,0.625,0.453125
8.0,1.75,0.34375,0.3125,0.5,0.53125,0.46875,0.8125,0.625,0.453125
9.0,1.75,0.34375,0.3125,0.5,0.53125,0.46875,0.625,0.5625,0.453125
10.0,1.75,0.34375,0.3125,0.5,0.53125,0.46875,0.53125,0.5,0.421875
10.5,1.75,0.34375,0.3125,0.5,0.53125,0.46875,0.4921875,0.46875,0.4140625
11.0,1.75,0.34375,0.3125,0.5,0.53125,0.46875,0.453125,0.4375,0.40625
11.5,1.75,0.34375,0.3125,0.5,0.5,0.453125,0.4375,0.41796875,0.40234375
12.0,1.75,0.34375,0.3125,0.46875,0.4375,0.4375,0.421875,0.3984375,0.3984375
12.5,1.75,0.34375,0.3125,0.453125,0.4375,0.4140625,0.4140625,0.390625,0.39453125
13.0,1.75,0.34375,0.3125,0.4375,0.421875,0.4140625,0.40625,0.3828125,0.390625
13.5,1.75,0.34375,0.3125,0.4375,0.4375,0.4140625,0.40625,0.3828125,0.38671875
14.0,1.75,0.34375,0.3125,0.4375,0.4296875,0.4140625,0.40625,0.3828125,0.3828125
14.5,1.75,0.4375,0.3125,0.53125,0.51171875,0.4140625,0.40625,0.39453125,0.390625
15.0,1.75,0.4375,0.40625,0.46875,0.59375,0.4140625,0.40625,0.40625,0.3984375
15.5,1.75,0.875,0.75,0.96875,0.59375,0.4140625,0.40625,0.55078125,0.40234375
16.0,1.75,0.625,0.65625,0.9375,0.59375,0.4140625,0.40625,0.6953125,0.40625
16.5,1.75,0.7734375,0.65625,0.959375,0.59375,0.4140625,0.546875,0.56640625,0.47265625
17.0,1.75,0.921875,0.65625,0.98125,0.59375,0.4140625,0.6875,0.4375,0.5390625
17.5,1.75,1.0703125,0.65625,1.003125,0.59375,0.4140625,0.8515625,0.546875,0.484375
18.0,1.75,1.21875,0.65625,1.025,0.59375,0.4140625,1.015625,0.65625,0.4296875
18.5,1.75,1.3671875,0.65625,1.046875,0.59375,0.4140625,1.0859375,0.73828125,0.603515625
19.0,1.75,1.515625,0.65625,1.046875,0.59375,0.4140625,1.15625,0.8203125,0.77734375
19.5,1.75,1.6640625,0.65625,1.046875,0.59375,0.4140625,1.03125,0.76953125,0.669921875
20.0,1.75,1.8125,0.65625,1.046875,0.59375,0.4140625,0.90625,0.71875,0.5625
20.5,1.75,1.8125,0.65625,1.046875,0.59375,0.4140625,0.90625,0.65625,0.5625
21.0,1.75,1.8125,0.65625,1.046875,0.59375,0.4140625,0.90625,0.59375,0.5625
22.0,1.75,1.8125,0.65625,1.046875,0.59375,0.4140625,0.90625,0.8125,0.5625
23.0,1.75,1.8125,0.65625,1.046875,0.59375,0.4140625,0.90625,0.9583333333333334,0.5625
24.0,1.75,1.8125,0.65625,1.046875,0.59375,0.4140625,0.90625,1.1041666666666667,0.5625
25.0,1.75,1.8125,0.65625,1.046875,0.59375,0.4140625,0.90625,1.25,0.5625
26.0,1.75,1.8125,0.65625,1.046875,0.59375,0.4140625,0.90625,1.25,0.5625
27.0,1.75,1.8125,0.65625,1.046875,0.59375,0.4140625,0.90625,1.25,0.5625
