contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
JPM210409C00149000,2021-04-05 19:30:54,16.0,149.0,4.85,5.05,4.6,call,2021-04-09,0.010958904109589041,
JPM210409C00150000,2021-04-05 19:17:33,568.0,150.0,3.95,4.25,3.87,call,2021-04-09,0.010958904109589041,0.18359375
JPM210409C00152500,2021-04-05 19:50:20,1490.0,152.5,2.21,2.26,2.25,call,2021-04-09,0.010958904109589041,0.2421875
JPM210409C00155000,2021-04-05 19:50:46,5673.0,155.0,0.96,1.01,0.96,call,2021-04-09,0.010958904109589041,0.234375
JPM210409C00157500,2021-04-05 19:51:28,1720.0,157.5,0.34,0.36,0.37,call,2021-04-09,0.010958904109589041,0.24609375
JPM210409C00160000,2021-04-05 19:50:28,3164.0,160.0,0.11,0.12,0.11,call,2021-04-09,0.010958904109589041,0.25
JPM210409C00162500,2021-04-05 19:31:33,496.0,162.5,0.03,0.04,0.04,call,2021-04-09,0.010958904109589041,0.28125
JPM210409C00165000,2021-04-05 18:59:30,2289.0,165.0,0.01,0.02,0.02,call,2021-04-09,0.010958904109589041,0.3125
JPM210409C00167500,2021-04-05 14:40:32,55.0,167.5,0.01,0.03,0.02,call,2021-04-09,0.010958904109589041,0.375
JPM210409C00170000,2021-04-05 17:12:46,145.0,170.0,0.0,0.1,0.01,call,2021-04-09,0.010958904109589041,0.25
JPM210409C00172500,2021-04-05 15:29:51,2.0,172.5,0.0,0.01,0.01,call,2021-04-09,0.010958904109589041,0.25
JPM210409C00175000,2021-03-31 15:07:35,6.0,175.0,0.0,0.01,0.01,call,2021-04-09,0.010958904109589041,0.5
JPM210409C00177500,2021-04-05 13:30:02,2.0,177.5,0.0,0.09,0.04,call,2021-04-09,0.010958904109589041,0.625
JPM210409C00180000,2021-04-05 15:01:05,10.0,180.0,0.0,0.01,0.01,call,2021-04-09,0.010958904109589041,0.5
JPM210409C00185000,2021-03-18 19:40:06,6.0,185.0,0.0,0.02,0.18,call,2021-04-09,0.010958904109589041,0.9375
JPM210409C00190000,2021-03-30 17:50:14,,190.0,0.0,0.01,0.02,call,2021-04-09,0.010958904109589041,0.8125
JPM210409C00195000,2021-03-01 18:51:44,,195.0,0.0,0.02,0.34,call,2021-04-09,0.010958904109589041,1.296875
JPM210409C00210000,2021-03-22 16:15:08,9.0,210.0,0.0,0.01,0.01,call,2021-04-09,0.010958904109589041,1.0
