strike,2021-04-09,2021-04-16,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-05-21,2021-06-18,2021-07-16
25.0,0.3125,1.0,0.341796875,0.33984375,0.4453125,0.384765625,0.4296875,0.546875,0.5625
30.0,0.3125,1.0,0.341796875,0.33984375,0.4453125,0.384765625,0.4296875,0.546875,0.5625
35.0,0.3125,1.0,0.341796875,0.33984375,0.4453125,0.384765625,0.4296875,0.546875,0.5625
40.0,0.3125,1.0,0.341796875,0.33984375,0.4453125,0.384765625,0.4296875,0.546875,0.5625
45.0,0.3125,1.0,0.341796875,0.33984375,0.4453125,0.384765625,0.4296875,0.546875,0.5625
50.0,0.3125,1.15625,0.341796875,0.33984375,0.4453125,0.384765625,0.4296875,0.546875,0.5078125
52.5,0.3125,0.75,0.341796875,0.33984375,0.4453125,0.384765625,0.4296875,0.515625,0.484375
55.0,0.3125,0.875,0.341796875,0.33984375,0.4453125,0.384765625,0.4296875,0.484375,0.44921875
57.5,0.3125,0.75,0.341796875,0.33984375,0.4453125,0.384765625,0.4296875,0.42578125,0.4375
60.0,0.3125,0.6875,0.341796875,0.33984375,0.4453125,0.384765625,0.4296875,0.3984375,0.375
62.5,0.3125,0.625,0.341796875,0.33984375,0.4453125,0.384765625,0.40625,0.375,0.396484375
65.0,0.3125,0.5625,0.341796875,0.33984375,0.4453125,0.384765625,0.3828125,0.34765625,0.33984375
67.5,0.3125,0.484375,0.341796875,0.33984375,0.39453125,0.384765625,0.353515625,0.3359375,0.34765625
70.0,0.3125,0.4296875,0.341796875,0.33984375,0.34375,0.384765625,0.341796875,0.31640625,0.3154296875
71.0,0.3125,0.41015625,0.341796875,0.33984375,0.34765625,0.384765625,0.3359375,0.3131510416666667,0.3128255208333333
72.0,0.3125,0.390625,0.341796875,0.33984375,0.3515625,0.34375,0.330078125,0.3098958333333333,0.3102213541666667
72.5,0.3125,0.3828125,0.341796875,0.33984375,0.35546875,0.34375,0.32421875,0.306640625,0.3076171875
73.0,0.3125,0.375,0.341796875,0.33984375,0.359375,0.34375,0.3177083333333333,0.3033854166666667,0.3050130208333333
74.0,0.3125,0.3671875,0.32421875,0.33984375,0.35546875,0.34375,0.3111979166666667,0.3001302083333333,0.3024088541666667
75.0,0.296875,0.35546875,0.32421875,0.33984375,0.3125,0.34375,0.3046875,0.296875,0.2998046875
76.0,0.28125,0.3515625,0.3203125,0.333984375,0.33984375,0.34375,0.3059895833333333,0.2942708333333333,0.3020833333333333
77.0,0.26171875,0.34765625,0.30859375,0.33203125,0.359375,0.34375,0.3072916666666667,0.2916666666666667,0.3043619791666667
77.5,0.255859375,0.349609375,0.3076171875,0.330078125,0.3603515625,0.34375,0.30859375,0.2890625,0.306640625
78.0,0.25,0.3515625,0.306640625,0.328125,0.361328125,0.34375,0.310546875,0.2864583333333333,0.3089192708333333
79.0,0.1640625,0.30859375,0.341796875,0.37109375,0.2734375,0.34375,0.3125,0.2838541666666667,0.3111979166666667
80.0,0.22265625,0.3515625,0.30859375,0.3359375,0.306640625,0.34375,0.314453125,0.28125,0.3134765625
81.0,0.28125,0.2890625,0.4140625,0.16015625,0.312890625,0.34375,0.3059895833333333,0.2887369791666667,0.31396484375
82.0,0.3489583333333333,0.3333333333333333,0.47265625,0.326171875,0.319140625,0.34375,0.2975260416666667,0.2962239583333333,0.314453125
82.5,0.41666666666666663,0.3776041666666667,0.4296875,0.326171875,0.325390625,0.34375,0.2890625,0.3037109375,0.31494140625
83.0,0.484375,0.421875,0.38671875,0.326171875,0.331640625,0.34375,0.3020833333333333,0.3111979166666667,0.3154296875
84.0,0.5520833333333333,0.34375,0.3515625,0.326171875,0.337890625,0.34375,0.3151041666666667,0.3186848958333333,0.31591796875
85.0,0.6197916666666666,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.328125,0.326171875,0.31640625
86.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.3411458333333333,0.3095703125,0.3479817708333333
87.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.3541666666666667,0.29296875,0.3795572916666667
87.5,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.3671875,0.2763671875,0.4111328125
88.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.3645833333333333,0.259765625,0.44270833333333337
89.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.3619791666666667,0.2431640625,0.4742838541666667
90.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.359375,0.2265625,0.505859375
91.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.359375,0.2373046875,0.5374348958333334
92.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.359375,0.248046875,0.5690104166666667
92.5,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.359375,0.2587890625,0.6005859375
95.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.359375,0.26953125,0.6321614583333334
100.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.359375,0.5166015625,0.6637369791666667
105.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.359375,0.763671875,0.6953125
110.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.359375,0.763671875,0.701171875
115.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.359375,0.763671875,0.701171875
120.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.359375,0.763671875,0.701171875
125.0,0.6875,0.3359375,0.3515625,0.326171875,0.337890625,0.34375,0.359375,0.763671875,0.701171875
