contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
HEXO210416C00001000,2021-04-06 15:47:08,2.0,1.0,5.2,5.35,5.4,call,2021-04-16,0.0273972602739726,
HEXO210416C00002000,2021-03-30 13:32:07,1.0,2.0,4.2,4.45,4.9,call,2021-04-16,0.0273972602739726,
HEXO210416C00003000,2021-03-30 17:44:30,1.0,3.0,3.2,3.45,3.35,call,2021-04-16,0.0273972602739726,
HEXO210416C00004000,2021-04-05 13:38:21,1.0,4.0,2.14,2.54,2.3,call,2021-04-16,0.0273972602739726,1.5
HEXO210416C00005000,2021-04-06 17:08:06,305.0,5.0,1.2,1.44,1.32,call,2021-04-16,0.0273972602739726,1.0
HEXO210416C00006000,2021-04-06 19:58:02,121.0,6.0,0.45,0.55,0.5,call,2021-04-16,0.0273972602739726,0.8125
HEXO210416C00007000,2021-04-06 19:58:54,347.0,7.0,0.13,0.14,0.13,call,2021-04-16,0.0273972602739726,0.875
HEXO210416C00008000,2021-04-06 19:57:43,274.0,8.0,0.0,0.07,0.05,call,2021-04-16,0.0273972602739726,1.125
HEXO210416C00009000,2021-04-06 18:15:33,20.0,9.0,0.05,0.06,0.04,call,2021-04-16,0.0273972602739726,1.375
HEXO210416C00010000,2021-04-06 18:48:01,54.0,10.0,0.01,0.04,0.03,call,2021-04-16,0.0273972602739726,1.5
HEXO210416C00011000,2021-04-06 17:54:19,5.0,11.0,0.0,0.02,0.05,call,2021-04-16,0.0273972602739726,
HEXO210416C00012000,2021-04-06 18:47:49,5.0,12.0,0.0,0.04,0.01,call,2021-04-16,0.0273972602739726,1.0
HEXO210416C00013000,2021-03-31 17:34:40,1.0,13.0,0.0,0.09,0.04,call,2021-04-16,0.0273972602739726,
HEXO210416C00014000,2021-04-05 17:29:42,5.0,14.0,0.0,0.01,0.01,call,2021-04-16,0.0273972602739726,
HEXO210416C00015000,2021-03-24 16:32:18,1.0,15.0,0.0,0.08,0.05,call,2021-04-16,0.0273972602739726,
HEXO210416C00016000,2021-03-24 16:04:16,1.0,16.0,0.0,0.19,0.07,call,2021-04-16,0.0273972602739726,
HEXO210416C00017000,2021-04-06 13:49:29,3.0,17.0,0.0,0.05,0.01,call,2021-04-16,0.0273972602739726,
HEXO210416P00002000,2021-03-22 13:30:10,,2.0,0.0,0.01,0.01,put,2021-04-16,0.0273972602739726,
HEXO210416P00003000,2021-04-06 16:31:45,40.0,3.0,0.0,0.04,0.04,put,2021-04-16,0.0273972602739726,
HEXO210416P00004000,2021-04-01 16:28:39,14.0,4.0,0.0,0.06,0.01,put,2021-04-16,0.0273972602739726,1.0
HEXO210416P00005000,2021-04-06 18:55:48,2.0,5.0,0.01,0.04,0.02,put,2021-04-16,0.0273972602739726,0.875
HEXO210416P00006000,2021-04-06 19:28:08,179.0,6.0,0.2,0.21,0.2,put,2021-04-16,0.0273972602739726,0.8125
HEXO210416P00007000,2021-04-06 18:28:53,108.0,7.0,0.82,1.09,0.9,put,2021-04-16,0.0273972602739726,1.0
HEXO210416P00008000,2021-04-05 15:10:12,30.0,8.0,1.68,2.13,1.78,put,2021-04-16,0.0273972602739726,1.125
HEXO210416P00009000,2021-03-19 14:00:34,10.0,9.0,2.43,2.95,2.22,put,2021-04-16,0.0273972602739726,
HEXO210416P00010000,2021-03-30 15:10:59,1.0,10.0,3.65,3.95,3.7,put,2021-04-16,0.0273972602739726,
HEXO210416P00011000,2021-04-06 17:17:09,2.0,11.0,4.65,5.2,4.72,put,2021-04-16,0.0273972602739726,1.0
HEXO210416P00012000,2021-04-05 13:44:18,1.0,12.0,5.3,5.85,5.62,put,2021-04-16,0.0273972602739726,
HEXO210416P00014000,2021-03-15 13:37:27,,14.0,7.45,8.15,6.65,put,2021-04-16,0.0273972602739726,
HEXO210416P00016000,2021-02-22 14:49:47,,16.0,9.1,9.7,9.0,put,2021-04-16,0.0273972602739726,
HEXO210521C00003500,2021-04-05 19:03:40,1.0,3.5,2.72,2.93,3.1,call,2021-05-21,0.1232876712328767,1.90625
HEXO210521C00004000,2021-04-05 17:33:47,1.0,4.0,2.25,2.36,2.41,call,2021-05-21,0.1232876712328767,1.125
HEXO210521C00004500,2021-04-06 18:07:46,1.0,4.5,1.8,1.89,1.86,call,2021-05-21,0.1232876712328767,0.75
HEXO210521C00005000,2021-04-06 19:16:58,249.0,5.0,1.36,1.52,1.4,call,2021-05-21,0.1232876712328767,0.6875
HEXO210521C00005500,2021-04-06 18:45:21,25.0,5.5,0.97,1.17,1.1,call,2021-05-21,0.1232876712328767,0.78125
HEXO210521C00006000,2021-04-06 19:57:51,38.0,6.0,0.81,0.89,0.86,call,2021-05-21,0.1232876712328767,0.8125
HEXO210521C00007000,2021-04-06 19:58:39,209.0,7.0,0.5,0.54,0.52,call,2021-05-21,0.1232876712328767,0.890625
HEXO210521C00008000,2021-04-06 19:05:05,243.0,8.0,0.32,0.35,0.31,call,2021-05-21,0.1232876712328767,0.921875
HEXO210521C00009000,2021-04-06 19:43:22,226.0,9.0,0.18,0.23,0.21,call,2021-05-21,0.1232876712328767,1.0
HEXO210521C00010000,2021-04-06 19:42:52,180.0,10.0,0.15,0.16,0.15,call,2021-05-21,0.1232876712328767,1.0625
HEXO210521C00011000,2021-04-05 19:51:58,15.0,11.0,0.1,0.17,0.12,call,2021-05-21,0.1232876712328767,1.125
HEXO210521C00012000,2021-04-06 18:44:45,4.0,12.0,0.04,0.14,0.08,call,2021-05-21,0.1232876712328767,1.125
HEXO210521C00013000,2021-04-06 18:28:34,5.0,13.0,0.02,0.25,0.07,call,2021-05-21,0.1232876712328767,1.25
HEXO210521C00014000,2021-03-31 18:47:46,1.0,14.0,0.05,0.08,0.09,call,2021-05-21,0.1232876712328767,1.375
HEXO210521C00015000,2021-04-06 19:03:41,17.0,15.0,0.01,0.12,0.05,call,2021-05-21,0.1232876712328767,1.375
HEXO210521C00016000,2021-04-06 15:31:21,1.0,16.0,0.0,0.23,0.02,call,2021-05-21,0.1232876712328767,1.25
HEXO210521C00017000,2021-03-29 19:53:14,2.0,17.0,0.0,0.49,0.04,call,2021-05-21,0.1232876712328767,1.375
HEXO210521C00018000,2021-03-24 14:39:17,1.0,18.0,0.0,0.5,0.13,call,2021-05-21,0.1232876712328767,1.8125
HEXO210521C00019000,2021-04-06 19:14:11,12.0,19.0,0.0,0.07,0.03,call,2021-05-21,0.1232876712328767,1.5
HEXO210521C00020000,2021-04-06 18:52:05,2.0,20.0,0.01,0.11,0.03,call,2021-05-21,0.1232876712328767,1.5
