contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
UAMY210416C00002500,2021-04-06 19:58:02,1573,2.5,0.05,0.1,0.1,call,2021-04-16,0.0273972602739726,
UAMY210416C00005000,2021-04-06 18:58:53,1,5.0,0.0,0.05,0.05,call,2021-04-16,0.0273972602739726,
UAMY210416P00002500,2021-04-06 18:53:12,5,2.5,1.1,1.25,1.2,put,2021-04-16,0.0273972602739726,
UAMY210416P00005000,2021-04-05 13:32:40,1,5.0,3.6,3.7,3.77,put,2021-04-16,0.0273972602739726,
UAMY210521C00002500,2021-04-06 19:58:52,732,2.5,0.15,0.2,0.15,call,2021-05-21,0.1232876712328767,
UAMY210521C00005000,2021-04-06 19:52:55,411,5.0,0.0,0.1,0.05,call,2021-05-21,0.1232876712328767,
UAMY210521P00002500,2021-04-06 17:52:26,1,2.5,1.25,1.4,1.35,put,2021-05-21,0.1232876712328767,
UAMY210521P00005000,2021-03-18 17:25:32,10,5.0,3.6,3.8,3.7,put,2021-05-21,0.1232876712328767,
UAMY210820C00002500,2021-04-06 19:59:17,268,2.5,0.3,0.4,0.35,call,2021-08-20,0.3726027397260274,1.8125
UAMY210820C00005000,2021-04-06 17:00:13,11,5.0,0.1,0.2,0.15,call,2021-08-20,0.3726027397260274,1.8125
UAMY210820P00002500,2021-03-31 14:52:30,6,2.5,1.3,1.55,1.6,put,2021-08-20,0.3726027397260274,
UAMY210820P00005000,2021-03-18 19:01:11,5,5.0,3.7,4.0,4.1,put,2021-08-20,0.3726027397260274,
