contractSymbol,lastTradeDate,volume,strike,bid,ask,lastPrice,call_put,exp_date,time to maturity,implied volatility
UVXY210409C00008500,2021-04-06 19:57:21,299.0,8.5,0.01,0.02,0.02,call,2021-04-09,0.00821917808219178,
UVXY210409C00009000,2021-04-06 15:50:28,139.0,9.0,0.01,0.03,0.01,call,2021-04-09,0.00821917808219178,
UVXY210409C00009500,2021-04-06 19:04:20,152.0,9.5,0.01,0.02,0.01,call,2021-04-09,0.00821917808219178,
UVXY210409C00010000,2021-04-06 19:42:20,323.0,10.0,0.01,0.02,0.02,call,2021-04-09,0.00821917808219178,
UVXY210409C00010500,2021-04-06 15:55:33,53.0,10.5,0.01,0.02,0.02,call,2021-04-09,0.00821917808219178,
UVXY210409C00011000,2021-04-06 16:45:35,13.0,11.0,0.0,0.01,0.02,call,2021-04-09,0.00821917808219178,
UVXY210409C00011500,2021-04-06 18:59:00,1.0,11.5,0.0,0.01,0.01,call,2021-04-09,0.00821917808219178,
UVXY210409C00012000,2021-04-06 18:50:35,29.0,12.0,0.0,0.01,0.01,call,2021-04-09,0.00821917808219178,
UVXY210409C00012500,2021-04-06 18:50:53,213.0,12.5,0.0,0.02,0.01,call,2021-04-09,0.00821917808219178,
UVXY210409C00013000,2021-04-05 17:04:20,3.0,13.0,0.0,0.02,0.01,call,2021-04-09,0.00821917808219178,
UVXY210409C00013500,2021-04-01 15:31:54,16.0,13.5,0.0,0.02,0.02,call,2021-04-09,0.00821917808219178,
UVXY210409C00014000,2021-04-05 19:09:19,2.0,14.0,0.0,0.02,0.02,call,2021-04-09,0.00821917808219178,
UVXY210409C00014500,2021-04-01 16:55:49,246.0,14.5,0.0,0.02,0.02,call,2021-04-09,0.00821917808219178,
UVXY210409C00015000,2021-04-05 17:30:33,15.0,15.0,0.0,0.02,0.02,call,2021-04-09,0.00821917808219178,
UVXY210409C00015500,2021-04-01 16:13:05,71.0,15.5,0.0,0.02,0.02,call,2021-04-09,0.00821917808219178,
UVXY210409C00016000,2021-04-06 19:37:43,2.0,16.0,0.0,0.01,0.01,call,2021-04-09,0.00821917808219178,
UVXY210409C00017000,2021-03-31 19:24:00,16.0,17.0,0.0,0.01,0.02,call,2021-04-09,0.00821917808219178,
UVXY210409C00018000,2021-04-01 13:30:02,10.0,18.0,0.0,0.01,0.01,call,2021-04-09,0.00821917808219178,
UVXY210409C00019000,2021-04-06 15:43:58,1.0,19.0,0.0,0.01,0.01,call,2021-04-09,0.00821917808219178,
UVXY210409C00020000,2021-04-05 14:49:11,136.0,20.0,0.0,0.01,0.01,call,2021-04-09,0.00821917808219178,
UVXY210409P00010500,2021-04-05 18:10:24,5.0,10.5,5.25,5.4,5.28,put,2021-04-09,0.00821917808219178,
UVXY210409P00011000,2021-04-06 19:07:03,14.0,11.0,5.75,5.9,5.84,put,2021-04-09,0.00821917808219178,
UVXY210409P00011500,2021-04-06 18:26:28,2.0,11.5,6.15,6.4,6.36,put,2021-04-09,0.00821917808219178,
UVXY210409P00012000,2021-04-06 15:21:26,6.0,12.0,6.65,6.9,6.9,put,2021-04-09,0.00821917808219178,
UVXY210409P00013000,2021-03-31 19:30:52,1.0,13.0,7.7,7.9,7.39,put,2021-04-09,0.00821917808219178,
UVXY210409P00013500,2021-04-06 13:39:17,1.0,13.5,8.2,8.4,8.4,put,2021-04-09,0.00821917808219178,
UVXY210409P00014000,2021-03-31 19:59:58,187.0,14.0,8.65,8.9,8.4,put,2021-04-09,0.00821917808219178,
UVXY210409P00014500,2021-03-22 16:53:14,4.0,14.5,9.2,9.4,8.35,put,2021-04-09,0.00821917808219178,
UVXY210409P00015000,2021-03-18 16:16:33,,15.0,9.7,9.9,8.55,put,2021-04-09,0.00821917808219178,
UVXY210409P00015500,2021-03-25 20:00:08,,15.5,10.15,10.4,9.26,put,2021-04-09,0.00821917808219178,
UVXY210409P00016000,2021-03-18 16:17:30,,16.0,10.65,10.9,9.5,put,2021-04-09,0.00821917808219178,
UVXY210409P00017000,2021-03-18 16:17:36,,17.0,11.65,11.9,10.47,put,2021-04-09,0.00821917808219178,
UVXY210409P00018000,2021-03-18 16:17:43,,18.0,12.65,12.9,11.43,put,2021-04-09,0.00821917808219178,
UVXY210409P00020000,2021-04-05 20:00:30,2.0,20.0,14.65,14.9,14.9,put,2021-04-09,0.00821917808219178,
UVXY210416C00007000,2021-04-06 20:13:57,1657.0,7.0,0.09,0.1,0.1,call,2021-04-16,0.0273972602739726,1.5625
UVXY210416C00007500,2021-04-06 19:48:31,89.0,7.5,0.07,0.09,0.08,call,2021-04-16,0.0273972602739726,1.75
UVXY210416C00008000,2021-04-06 19:44:06,1878.0,8.0,0.06,0.07,0.06,call,2021-04-16,0.0273972602739726,1.75
UVXY210416C00008500,2021-04-06 19:53:57,181.0,8.5,0.04,0.06,0.05,call,2021-04-16,0.0273972602739726,1.875
UVXY210416C00009000,2021-04-06 20:14:45,499.0,9.0,0.04,0.05,0.05,call,2021-04-16,0.0273972602739726,
UVXY210416C00009500,2021-04-06 19:04:20,59.0,9.5,0.03,0.05,0.05,call,2021-04-16,0.0273972602739726,
UVXY210416C00010000,2021-04-06 20:00:55,2634.0,10.0,0.03,0.04,0.04,call,2021-04-16,0.0273972602739726,
UVXY210416C00010500,2021-04-06 18:06:42,44.0,10.5,0.03,0.04,0.03,call,2021-04-16,0.0273972602739726,
UVXY210416C00011000,2021-04-06 18:29:51,32.0,11.0,0.03,0.04,0.04,call,2021-04-16,0.0273972602739726,
UVXY210416C00011500,2021-04-06 16:07:27,21.0,11.5,0.02,0.04,0.02,call,2021-04-16,0.0273972602739726,
UVXY210416C00012000,2021-04-06 17:59:01,247.0,12.0,0.02,0.04,0.02,call,2021-04-16,0.0273972602739726,
UVXY210416C00012500,2021-04-05 15:17:19,112.0,12.5,0.02,0.04,0.04,call,2021-04-16,0.0273972602739726,
UVXY210416C00013000,2021-04-05 16:20:18,432.0,13.0,0.01,0.04,0.03,call,2021-04-16,0.0273972602739726,
UVXY210416C00014000,2021-04-06 18:31:31,7.0,14.0,0.01,0.03,0.03,call,2021-04-16,0.0273972602739726,
UVXY210416C00015000,2021-04-06 18:23:03,848.0,15.0,0.02,0.03,0.03,call,2021-04-16,0.0273972602739726,
UVXY210416C00016000,2021-04-06 19:57:14,126.0,16.0,0.01,0.02,0.02,call,2021-04-16,0.0273972602739726,
UVXY210416C00017000,2021-04-06 20:05:58,41.0,17.0,0.01,0.03,0.03,call,2021-04-16,0.0273972602739726,
UVXY210416C00018000,2021-04-06 19:26:33,15.0,18.0,0.01,0.03,0.02,call,2021-04-16,0.0273972602739726,
UVXY210416C00019000,2021-04-06 17:10:59,103.0,19.0,0.01,0.03,0.02,call,2021-04-16,0.0273972602739726,
UVXY210416C00020000,2021-04-06 17:34:36,511.0,20.0,0.01,0.02,0.01,call,2021-04-16,0.0273972602739726,
UVXY210416P00007500,2021-04-06 17:49:08,4.0,7.5,2.3,2.41,2.41,put,2021-04-16,0.0273972602739726,1.875
UVXY210416P00008000,2021-04-06 20:09:06,51.0,8.0,2.81,2.89,2.83,put,2021-04-16,0.0273972602739726,1.5
